a	<i>romanization</i><br><ol><li>Romanization of 𒀀 (a)</li></ol>
𒀭𒅎|Iškur|ᵈiškur	<i>name</i><br><ol><li>Ishkur (the Sumerian god of storm)</li></ol>
𒀭𒆗|lamma|lammar|ᵈlammar|ᵈlama₂|𒆗|ᵈlamma	<i>noun</i><br><ol><li>a lammar deity, a lamassu (a female tutelary deity, good genie, guardian spirit, corresponding to the Akkadian lamassum)</li></ol>
𒀭𒆘|alad|ᵈalad|𒆘	<i>name</i><br><ol><li>an alad spirit (a male tutelary deity, corresponding to the Akkadian šēdum)</li></ol>
𒀭𒆠|an-ki|ānki	<i>noun</i><br><ol><li>the universe, heaven and earth</li></ol>
𒀭𒈹|ᵈinana|Inanak	<i>name</i><br><ol><li>Inanna</li></ol>
𒀭𒈾|anna|an-na	<i>noun</i><br><ol><li>a metal (tin or lead)</li></ol>
𒀭𒉎𒂂𒄷	<i>noun</i><br><ol><li>Anzu (lionheaded eagle)</li></ol>
𒀭𒊨|an-dul|andul	<i>noun</i><br><ol><li>shade, cover</li><li>protection</li></ol>
𒀭𒊺𒉀|Nisaba|ᵈnisaba₂ written four times in a cross shape|𒀭𒉀|ᵈnisaba₂|𒉀|ᵈnisaba|𒀱|Nisabak|nisaba₂	<i>name</i><br><ol><li>Nisaba (Also Nidaba. Sumerian goddess of grain, knowledge, and scribal arts, patron deity of the city of Ereš)</li></ol>
𒀭𒋀𒆠|𒋀𒆠|ᵈnanna	<i>name</i><br><ol><li>Nanna, the moon god, patron of Ur (corresponding to Akkadian Sin)</li></ol>
𒀭𒌉|dig̃irdumu|dig̃ir-dumu	<i>noun</i><br><ol><li>divine son</li></ol>
𒀭𒌒𒁕|anubda|an-ub-da	<i>noun</i><br><ol><li>(cosmology, geography) quarter, corner (of the universe)</li></ol>
𒀭𒌒𒁕𒇹𒁀|anubda limmubâk|an-ub-da limmu₂-ba	<i>noun</i><br><ol><li>(geography) the four world quarters</li></ol>
𒀭𒌓|𒌓|utu|Utu|ᵈutu	<i>name</i><br><ol><li>the sun god Utu (city-god of Larsa)</li></ol>
𒀭𒎏𒄈𒋢|Ning̃irsuk|ᵈnin-g̃ir₂-su	<i>name</i><br><ol><li>Ningirsu (chief male god of the Lagaš state)</li></ol>
𒀭𒎏𒄢|ᵈnin-sumun₂|Ninsumunak|ᵈnin-sun₂	<i>name</i><br><ol><li>Ninsun</li></ol>
𒀯|mul₂|𒋼|mul	<i>noun</i><br><ol><li>star, constellation</li></ol><br><i>verb</i><br><ol><li>to shine, sparkle, glitter</li><li>to be radiant, radiate</li><li>to spread (branches)</li></ol>
𒀲|anše	<i>noun</i><br><ol><li>donkey</li><li>equid</li></ol>
𒀲𒆳𒊏|sisi	<i>noun</i><br><ol><li>horse</li></ol>
𒀲𒋙𒀭|𒀲𒋙𒀯|𒋙𒀯|kunga|𒋙𒀭	<i>noun</i><br><ol><li>a kind of equid (probably a donkey-onager cross)</li></ol>
𒀳|𒇽𒀳|uru₄|engar|uru|apin|absin|absin₃	<i>noun</i><br><ol><li>furrow</li><li>plough</li><li>farmer</li></ol><br><i>verb</i><br><ol><li>to sow, till, plow, cultivate</li></ol>
𒀳𒇲|apinla|apin-la₂	<i>noun</i><br><ol><li>tenancy, rent</li><li>tenant, lessee</li><li>cultivator, planter, tiller</li></ol>
𒀵|𒀴|arad|ir₃|arad₂	<i>noun</i><br><ol><li>male slave, male servant</li></ol>
𒀸|ge|dili|aš|ge₁₅	<i>verb</i><br><ol><li>to be one, single, individual</li><li>to be single, unique, one</li><li>to be alone</li></ol><br><i>noun</i><br><ol><li>blow</li><li>wound</li><li>stroke (of the stylus)</li><li>writing, exemplar, written copy</li></ol>
𒀹	<i>noun</i><br><ol><li>One half ikû (unit of area).</li></ol>
𒀺	<i>noun</i><br><ol><li>A quarter ikû (unit of area).</li></ol>
𒀾|aš₂	<i>verb</i><br><ol><li>to curse, be cursed</li></ol>
𒁀|bâk|ba|bâ	<i>noun</i><br><ol><li>allotment, distribution, share</li></ol><br><i>verb</i><br><ol><li>to divide up, allot, distribute, assign</li><li>to give as a gift or a share</li><li>to reduce, diminish, deteriorate</li></ol>
𒁁|badr|til|UŠX|bař|MUNSUB|bad|idim|uš|sumun|𒍖|uš₂	<i>verb</i><br><ol><li>to open up, spread wide, separate</li><li>to untie, unravel, reveal</li><li>to be distant, remote, removed</li><li>to thresh</li><li>to be old</li><li>to be complete, completed, finished, ended, done with</li><li>to finish off, bring to an end</li><li>to be old, longlasting</li><li>to be dead, die</li><li>to kill</li></ol><br><i>noun</i><br><ol><li>underground waters</li><li>spring</li><li>death</li><li>blood</li></ol>
𒁆|balag̃	<i>noun</i><br><ol><li>(music) balang (a large drum or harp)</li><li>song, lament</li></ol>
𒁇|bar	<i>noun</i><br><ol><li>exterior, outer appearance</li><li>back, shoulder, edge</li><li>body, skin</li><li>fleece</li><li>outsider, stranger, other</li></ol><br><i>verb</i><br><ol><li>to lie outside, be outside</li><li>to go away, send out, set aside, release</li><li>to cut open, slit</li><li>to delimit, allot (fields)</li></ol>
𒁇𒊩|barsal|bar-sal	<i>noun</i><br><ol><li>a kind of sheep</li></ol>
𒁈|barag|bara₂	<i>noun</i><br><ol><li>sanctum, dais, throne</li><li>sovereign, ruler, king</li><li>a package made with sackcloth</li></ol>
𒁉|be|ba|kaš|bi|bâ|bâk|𒁀|be₂	<i>det</i><br><ol><li>(enclitic) this (near to the speaker)</li></ol><br><i>pron</i><br><ol><li>(enclitic) its (third-person non-human possessive pronoun)</li></ol><br><i>noun</i><br><ol><li>beer</li><li>alcoholic drink</li></ol>
𒁍|suř|gid|gid₂|sud₄	<i>verb</i><br><ol><li>to be long</li><li>to lengthen, stretch</li><li>to pull, tow, drag</li><li>to lead (an animal)</li><li>to measure, survey</li><li>to milk</li></ol>
𒁑|bulug	<i>noun</i><br><ol><li>chisel</li><li>needle, pin, seal-pin</li><li>stake</li><li>boundary</li></ol>
𒁓|bur	<i>noun</i><br><ol><li>shallow (stone) bowl, platter, vessel</li></ol>
𒁔|ušum	<i>noun</i><br><ol><li>snake</li></ol>
𒁛|akan₃|akan|𒁥|ubur₂|𒇖|ubur	<i>noun</i><br><ol><li>nipple, udder, teat</li><li>(human) breast, teat, bosom</li><li>(vessel) spout</li></ol>
𒁞|kiši₈|kiši₉|𒁝|kiši|𒁬|kiši₆|𒊾	<i>noun</i><br><ol><li>ant</li></ol>
𒁦|amaš	<i>noun</i><br><ol><li>sheepfold</li></ol>
𒁮|dam	<i>noun</i><br><ol><li>spouse (wife or husband)</li></ol>
𒁮𒃼|damgar|dam-gar₃	<i>noun</i><br><ol><li>merchant</li></ol>
𒁯|gun₃|gunu	<i>verb</i><br><ol><li>to be speckled, spotted</li><li>to be colourful, multicoloured, decorated</li><li>(in cuneiform signs names) gunû, hatched (a sign with vertical, horizontal or oblique strokes written on it to differentiate it from an otherwise identical sign, e.g.: the sign 𒅊 is described as igi gunû, i.e. the sign 𒅆 (igi) with horizontal strokes written on it.)</li></ol>
𒁯𒈗𒄷|mušen	<i>noun</i><br><ol><li>rooster, cock</li></ol>
𒁱|dara|duraḫ₂|duraḫ|daraḫ|dara₄	<i>noun</i><br><ol><li>bezoar (Persian wild goat), mountain goat</li></ol><br><i>verb</i><br><ol><li>to be red, brown</li><li>blood</li></ol>
𒁲|di|silim|sa|sa₂	<i>noun</i><br><ol><li>lawsuit, trial, legal decision</li></ol><br><i>verb</i><br><ol><li>present participle and infinitive stem of 𒅗 (du₁₁, dug₄ /dug/, “to speak”)</li><li>to be equal to, match</li><li>to be healthy, well, whole, safe</li><li>to heal, make healthy</li></ol>
𒁲𒋻|didkuř|𒁲⫽𒋻|di kudr|did kuř|di ku₅|di-ku₅|di kud|di-kud	<i>noun</i><br><ol><li>judge</li><li>judging</li></ol><br><i>verb</i><br><ol><li>to judge</li></ol>
𒁳|dib|dab	<i>verb</i><br><ol><li>to pass, go past, pass by, go along</li><li>to go through, to cross over</li></ol>
𒁴|dim	<i>noun</i><br><ol><li>post, pillar, pole</li><li>binding, knot, bond</li></ol>
𒁵|mun₄|mun|𒋀	<i>noun</i><br><ol><li>salt</li></ol>
𒁶|gen|gin₇|dim|gen₇|dim₂|gim	<i>particle</i><br><ol><li>(enclitic, equative case marker) like, as</li></ol><br><i>verb</i><br><ol><li>to build, fashion, form, create</li><li>to make like, make into</li><li>to act, behave like</li></ol>
𒁶𒈠|dimma|dema|𒅗𒄭|dim₂-ma|dima	<i>noun</i><br><ol><li>thought, planning</li><li>judgment, discernment</li><li>instruction</li></ol>
𒁷|til|kurun₂|kurun|tin	<i>noun</i><br><ol><li>beer (made from barley malt and/or emmer wheat, and probably sweetened and strengthened with grape syrup)</li></ol>
𒁹|sag̃tak₄|sag̃tak|santak₄|diš	<i>num</i><br><ol><li>one, 1</li></ol><br><i>noun</i><br><ol><li>(mathematics) triangle</li><li>wedge (of a cuneiform sign)</li></ol>
𒁺|tum₂|de|sug|sug₂|𒁲|𒁺𒁺|laḫ|di|with mass nouns 𒁺|g̃en|tum|su₈|sub|de₆|𒌋|tum₃|g̃e₂₆|šug|sub₂|laḫ₄|with countable nouns 𒁻|šu₄|perfective singular with mass nouns 𒁺|𒉐|gub|du|gin|𒁻|𒂷|laḫ₅|𒁺|re₇|with countable nouns	<i>verb</i><br><ol><li>perfective singular with mass nouns of 𒁺 (tum₂ /tum/, “to bring”)</li><li>to come, go, move about</li><li>(intransitive) to stand</li><li>(transitive) to erect, set up</li><li>to bring in, deliver</li><li>to take away, carry off</li></ol>
𒁻|šug|sub|su₈|sub₂|laḫ₅|laḫ₄|sug|sug₂|𒁺𒁺|šu₄|𒌋|re₇|laḫ	<i>verb</i><br><ol><li>imperfective and perfective plural with countable nouns of 𒁺 (tum₂ /tum/, “to bring”)</li></ol>
𒁼|suḫuš	<i>noun</i><br><ol><li>sole (of the foot)</li><li>base, foundation</li></ol>
𒁾|dub|meš|mes|𒈩|𒎌|kišib₃|kišib	<i>noun</i><br><ol><li>tablet</li><li>cylinder seal, sealed tablet</li></ol>
𒁾𒊬|dubsar|dub-sar	<i>noun</i><br><ol><li>scribe</li></ol>
𒂁|dug	<i>noun</i><br><ol><li>clay pot</li></ol>
𒂂|dugud	<i>verb</i><br><ol><li>to be heavy</li><li>to be important</li></ol>
𒂃|du|du₈|duḫ|dur	<i>verb</i><br><ol><li>to caulk, spread</li><li>to bake</li><li>to free, let loose, let go, release</li><li>to fall free, fall away</li><li>to open, untie, take off</li></ol>
𒂄|šaḫ₂|𒋚|šaḫ	<i>noun</i><br><ol><li>pig</li></ol>
𒂆|gig̃|gig̃₄|gin₂|𒂅	<i>noun</i><br><ol><li>(unit of weight) shekel (1/60 𒈠𒈾 (mana), corresponding to 8 gr.)</li></ol>
𒂇|𒂆|𒂅|gig̃|gig̃₄|nig̃ir|nimgir|gin₂	<i>noun</i><br><ol><li>herald</li></ol>
𒂊|eg₂|e₄|eg|𒀀|e	<i>intj</i><br><ol><li>(vocative interjection) hey</li></ol><br><i>noun</i><br><ol><li>levee, irrigation ditch, embankment (a broad earthen wall which accommodated a ditch or small canal running along its top)</li></ol><br><i>verb</i><br><ol><li>perfective plural and imperfective stem of 𒅗 (du₁₁, dug₄ /dug/, “to speak”)</li></ol>
𒂊𒍢|e-ze₂|eze	<i>noun</i><br><ol><li>(Emesal) sheep, ram</li></ol>
𒂍|ē|e₂	<i>noun</i><br><ol><li>house, household, estate</li><li>temple</li></ol>
𒂍𒀀|e₂-duru₅|eduru	<i>noun</i><br><ol><li>village</li></ol>
𒂍𒀭𒈾|e₂-an-na|E'anak	<i>name</i><br><ol><li>Eanna, temple of Inanna in Uruk.</li></ol>
𒂍𒁾𒁀𒀀|edubak|𒂍𒁾𒁀|e₂-dub-ba|e₂-dub-ba-a	<i>noun</i><br><ol><li>school</li><li>storehouse</li></ol>
𒂍𒃲|ēgal|e₂-gal	<i>noun</i><br><ol><li>palace</li><li>temple</li></ol>
𒂍𒃻𒂵|e₂-nig̃₂-gur₁₁|ēnig̃gur	<i>noun</i><br><ol><li>depot</li></ol>
𒂍𒄄𒀀|e₂-gi₄-a|egia	<i>noun</i><br><ol><li>bride</li><li>prospective daughter-in-law</li></ol>
𒂍𒆳|e₂-kur|Ekur	<i>name</i><br><ol><li>Ekur (Sumerian shrine complex thought to be the place where the assembly of the gods took place. It's the Sumerian equivalent of the Greek Mount Olympus)</li></ol>
𒂍𒈨𒌍|emeš|e₂-me-eš	<i>noun</i><br><ol><li>summer</li></ol>
𒂍𒋞|SIG₄|e₂-gar₈|egar|𒋞	<i>noun</i><br><ol><li>wall (of a building)</li></ol>
𒂍𒐐|Eninnu|e₂-ninnu	<i>name</i><br><ol><li>E-ninnu (the temple of Ning̃irsuk in G̃irsu)</li></ol>
𒂔|eden|edin	<i>noun</i><br><ol><li>plain, desert, steppe, open country</li></ol>
𒂕|egir₄|𒋞|egir₆|𒈝|𒌈|egir|egir₅	<i>noun</i><br><ol><li>back, end, rear</li><li>after, afterwards</li><li>estate, inheritance</li></ol>
𒂖|sikil	<i>verb</i><br><ol><li>to be pure, clean, pristine, virginal</li><li>to purify, clean</li></ol>
𒂗|enna|en	<i>noun</i><br><ol><li>lord</li></ol>
𒂗𒆤𒆠|nibruᵏⁱ|𒂗𒆤|nibru|Nibru	<i>name</i><br><ol><li>Nippur (city of the great chief god Enlil)</li></ol>
𒂗𒈨𒇷|ensi₃|ensi|𒂚𒇷	<i>noun</i><br><ol><li>dream interpreter</li></ol>
𒂗𒈾|en-na|enna|en|𒂗	<i>conj</i><br><ol><li>(place) as far as, up to</li><li>(time) until</li><li>as much as</li></ol>
𒂚	<i>noun</i><br><ol><li>Ligature of 𒂗 and 𒈨</li></ol>
𒂞|𒋁|eren|erin|šeš₄|šeš₂|šeš	<i>verb</i><br><ol><li>to anoint</li></ol>
𒂟|erin₂|erin	<i>noun</i><br><ol><li>troops, workers, work-gang, conscripts</li></ol><br><i>verb</i><br><ol><li>to yoke, harness</li></ol>
𒂠|še₃|gir|še|ḫug̃|ge₇|gi₇|g̃ir|/š/|gir₁₅	<i>particle</i><br><ol><li>(place) to, towards</li><li>(time) up to, until</li><li>(purpose) for</li><li>(cause) because of, for the sake of</li><li>as for, regarding</li></ol><br><i>verb</i><br><ol><li>to pacify</li><li>to be native, indigenous, local, domestic, domesticated</li><li>to be noble</li></ol>
𒂠𒋤𒉣𒂠𒌅|saman₃|saman₂|𒂠𒋤𒂠𒌅|𒂠𒁍𒂠𒉣𒂠𒌅|𒊺𒁍𒉣𒂠|𒊺𒂠𒉣𒁍|𒂠𒋤𒉣𒌅𒂠|saman|𒂠𒋤𒌓𒉣𒂠𒌅|𒂠𒁍𒉣𒂠𒌅	<i>noun</i><br><ol><li>tethering rope</li></ol>
𒂡|ḫi-ir|šir₃|šir|ezen|ḫir|ezem|𒄭𒅕	<i>noun</i><br><ol><li>festival</li><li>song</li></ol><br><i>verb</i><br><ol><li>to squeeze, tighten</li></ol>
𒂦|bad₃|bad	<i>noun</i><br><ol><li>wall, fortification</li></ol>
𒂵|ga	<i>noun</i><br><ol><li>milk</li><li>suckling (as attribute of animals)</li></ol><br><i>verb</i><br><ol><li>to bring, carry</li></ol>
𒂵𒁉𒊑|gabiri|ga-bi-ri	<i>noun</i><br><ol><li>mountain</li></ol>
𒂵𒊭𒀭|ga-ša-an|𒃽|gašan	<i>noun</i><br><ol><li>(Emesal) lady, queen</li></ol>
𒂷|markers 𒂷|g̃e|g̃a₂-a|bisag̃₂|𒋃|g̃en|𒂷𒂊|bisag̃|bešeg̃|𒂷𒀀|𒋄|bisag̃₃|pisan|g̃a|g̃a₂-e|pisag̃|g̃e₂₆	<i>noun</i><br><ol><li>basket, container, box</li><li>register (a tablet line division)</li></ol><br><i>pron</i><br><ol><li>I (first-person independent personal pronoun)</li></ol>
𒂷𒄑|šita|𒄑𒂷𒄑|šita₂|udug|udug₂	<i>noun</i><br><ol><li>weapon, mace</li></ol>
𒂼|ama|dag̃al	<i>noun</i><br><ol><li>mother</li><li>breadth, width</li></ol><br><i>verb</i><br><ol><li>to be wide, broad, vast, widespread</li></ol>
𒂼𒅈𒄄|𒂼𒅈𒅆|ama-gi₄|amargi|𒂼𒄄|ama-ar-gi₈|ama-ar-gi₄	<i>noun</i><br><ol><li>freedom (particularly from debt or bondage, manumission)</li><li>reversion (return to a previous state)</li></ol>
𒃉	<i>noun</i><br><ol><li>(Old Sumerian) Alternative form of 𒃞 (men)</li></ol>
𒃞|men	<i>noun</i><br><ol><li>crown, tiara (a kind of crown or turban)</li></ol>
𒃢|sila₄|sila	<i>noun</i><br><ol><li>male lamb</li></ol>
𒃣|𒉦|arḫuš₅|𒀉𒌉|𒀉𒊩|𒂑|arḫuš₃|arḫuš₆|arḫuš₂|arḫuš|𒉥	<i>noun</i><br><ol><li>womb</li><li>afterbirth</li><li>membrane</li><li>compassion</li></ol>
𒃩|dan₃|dan	<i>verb</i><br><ol><li>to be pure, clear</li><li>to clean</li></ol>
𒃮|gaba	<i>noun</i><br><ol><li>chest, breast</li><li>frontier</li><li>coast</li><li>the opposite side of the Tigris</li></ol>
𒃮𒊑|gaba ri|𒃮⫽𒊑	<i>verb</i><br><ol><li>to confront, advance against</li><li>to equal</li></ol>
𒃮𒋗𒃻|gaba-šu-g̃ar|gabašug̃ar	<i>noun</i><br><ol><li>rival</li></ol>
𒃲|gal|𒃲𒃲	<i>noun</i><br><ol><li>a large cup</li></ol><br><i>adj</i><br><ol><li>big, large, great, full-grown</li></ol><br><i>verb</i><br><ol><li>to be big, large, great</li><li>to be older, elder, eldest</li></ol>
𒃲𒁔|𒁔𒃲|ušum-gal|ušumgal	<i>noun</i><br><ol><li>(poetic) great serpent, dragon</li><li>lion, King of the Beasts</li></ol>
𒃲𒉌|santana	<i>noun</i><br><ol><li>(chief) gardener</li></ol>
𒃴|galam	<i>noun</i><br><ol><li>staircase, stair, step (of a ladder)</li></ol><br><i>verb</i><br><ol><li>to be skillful, elaborate, clever, to make artfully</li></ol>
𒃵|gurum|gam	<i>verb</i><br><ol><li>to bend, bow down</li><li>to lay low, subdue</li><li>to kill</li></ol>
𒃶𒅅|ḫeg̃al|ḫe₂-g̃al₂	<i>noun</i><br><ol><li>abundance, prosperity</li></ol>
𒃷|ašag|gana₂|gana|gan₂	<i>noun</i><br><ol><li>field, cultivated ground or land</li><li>(geometry) area (of a geometric figure)</li></ol>
𒃻|form 𒂷𒂷|𒂷𒂷|ninda|nig̃₂|g̃a-g̃a|nig̃|g̃a₂-g̃a₂|g̃ar	<i>verb</i><br><ol><li>to put, place, set, situate</li><li>to set up, establish, institute</li><li>to appoint</li></ol><br><i>noun</i><br><ol><li>thing</li><li>bread</li><li>food</li></ol>
𒃻𒀉𒃻|nig̃'ag̃ar|nig̃₂-a₂-g̃ar	<i>noun</i><br><ol><li>deception</li></ol>
𒃻𒁀|nig̃ba|nig̃₂-ba	<i>noun</i><br><ol><li>gift</li><li>allotment, portion</li></ol>
𒃻𒂵|nig̃gur|nig̃₂-gur₁₁	<i>noun</i><br><ol><li>property</li></ol>
𒃻𒄃|nig̃gilim|nig̃₂-gilim	<i>noun</i><br><ol><li>a kind of rodent</li><li>vermin</li></ol>
𒃻𒄢|nig̃₂-gul|nig̃gul	<i>noun</i><br><ol><li>hatchet, maul</li></ol>
𒃻𒅮𒈾|nig̃buna|nig̃₂-bun₂-na	<i>noun</i><br><ol><li>turtle, tortoise</li><li>a kind of snake</li></ol>
𒃻𒊮𒀀|kadra|kadra₂|𒃻𒊮	<i>noun</i><br><ol><li>greeting gifts, present (to a superior)</li><li>bribe</li><li>offering</li></ol>
𒃾|g̃eštin	<i>noun</i><br><ol><li>wine</li><li>vine</li></ol>
𒄀|gin|sig₁₇|gi-in|𒄀𒅔|gi|sissig|𒁺|gin₆	<i>noun</i><br><ol><li>reed</li><li>a measuring reed</li><li>a unit of length equal to 6 𒌑 (kuš₃, “cubits”).</li></ol><br><i>verb</i><br><ol><li>(intransitive) to be firm, permanent</li><li>(intransitive) to be true, correct, normal</li><li>(transitive) to make firm</li><li>(transitive) to confirm, establish, verify</li></ol>
𒄀𒁾𒁀|gidubak|gi-dub-ba	<i>noun</i><br><ol><li>stylus (used to write on clay tablets)</li></ol>
𒄀𒄃|ᵍⁱgilim|𒄃|gilim	<i>noun</i><br><ol><li>clasp</li><li>foliage</li><li>forest</li><li>rope (of entwined reed cords), cables (used as construction material)</li></ol>
𒄀𒄥|gi-gur|gigur	<i>noun</i><br><ol><li>a reed measuring basket</li></ol>
𒄀𒆤|𒆤|ᵍⁱkid|kid	<i>noun</i><br><ol><li>reed mat</li></ol>
𒄀𒍣|gizi|gi-zi	<i>noun</i><br><ol><li>fresh reed, young reed, reed shoots, fodder reed</li></ol>
𒄃|gi₁₆|gil|gib|gilim|gilib	<i>verb</i><br><ol><li>to cross, lie across, bar, block</li></ol>
𒄄|𒄀|gi₄|gi	<i>verb</i><br><ol><li>to return</li><li>to send back, send over</li><li>to send (as a messenger)</li><li>to turn away, turn back</li><li>to bar, close, lock away</li></ol>
𒄇|𒈦𒌋|gidim₂|gidim|𒌜|gidim₄	<i>noun</i><br><ol><li>ghost (spirit of a deceased person)</li></ol>
𒄈|g̃ir₂|g̃iri|g̃iri₂	<i>noun</i><br><ol><li>dagger</li></ol>
𒄈𒋢𒆠|g̃ir₂-suᵏⁱ|G̃irsu	<i>name</i><br><ol><li>G̃irsu (a Sumerian town within the city-state of Lagash, northwest of Lagash, modern Tell Telloh)</li></ol>
𒄊|g̃iri|g̃ir₃|𒄌|g̃iri₁₆|g̃iri₃	<i>noun</i><br><ol><li>foot</li><li>way, path, route</li><li>(UR III administrative texts) via</li></ol>
𒄊𒉻𒁺|g̃iripařa|g̃iri₃-pad-ra₂	<i>noun</i><br><ol><li>bone</li></ol>
𒄋|alim	<i>noun</i><br><ol><li>bison</li></ol>
𒄑|g̃iš|g̃eš	<i>noun</i><br><ol><li>tree</li><li>wood, timber, log</li><li>yoke</li></ol>
𒄑𒀠	<i>noun</i><br><ol><li>reed fencing</li></ol>
𒄑𒁍𒁕	<i>noun</i><br><ol><li>spear, lance</li><li>a kind of military service</li></ol>
𒄑𒂞|𒋁|eren|erin|šeš₂|𒂞|šeš	<i>noun</i><br><ol><li>cedar</li></ol>
𒄑𒄀𒁍	<i>noun</i><br><ol><li>a kind of reed</li><li>a kind of flute</li></ol>
𒄑𒄉|𒋆𒄉	<i>noun</i><br><ol><li>myrtle</li></ol>
𒄑𒄒|šennur|𒄒	<i>noun</i><br><ol><li>plum</li><li>plum tree</li></ol>
𒄑𒄖𒍝|𒄖𒍝|gu-za|guza	<i>noun</i><br><ol><li>chair, throne</li></ol>
𒄑𒄯|𒄑⫽𒄯|g̃eš ḫur|g̃ešḫur	<i>noun</i><br><ol><li>drawing, plan</li><li>divine design</li></ol><br><i>verb</i><br><ol><li>to incise, draw, make a plan or drawing</li></ol>
𒄑𒅅|ig|𒅅	<i>noun</i><br><ol><li>door</li></ol>
𒄑𒆕	<i>noun</i><br><ol><li>nail, peg, stud</li><li>arrowhead</li><li>a part of the rib</li></ol>
𒄑𒆕𒋾	<i>noun</i><br><ol><li>arrow</li></ol>
𒄑𒆪|dab|𒁳|dab₆|𒍏|tukul|𒆪	<i>noun</i><br><ol><li>stick</li><li>mace, weapon, arms</li><li>pestle</li></ol>
𒄑𒆵𒆠|Umma|ummaᵏⁱ|umma|𒄑𒆵	<i>name</i><br><ol><li>Umma (an ancient Sumerian city)</li></ol>
𒄑𒇀|𒇀|gigir₂|𒄑𒇥|𒇕|𒇥|gigir|gigir₃	<i>noun</i><br><ol><li>charriot</li></ol>
𒄑𒇵|eš₂₂|𒇵|eš	<i>noun</i><br><ol><li>terebinth</li><li>almond tree</li></ol>
𒄑𒈠|peš₃|peš|𒈠	<i>noun</i><br><ol><li>fig</li></ol>
𒄑𒈦	<i>noun</i><br><ol><li>a kind of plant</li></ol>
𒄑𒈩|𒈩|mes	<i>noun</i><br><ol><li>a mes tree, mes wood (name of a tree which wood was used to make furniture, possibly hackberry)</li></ol>
𒄑𒈪|g̃issu	<i>noun</i><br><ol><li>shade, shadow</li><li>protection, aegis</li></ol>
𒄑𒉼|pana|𒉼	<i>noun</i><br><ol><li>(weaponry) bow</li><li>(design, mathematics) bow</li></ol>
𒄑𒉼𒁶	<i>noun</i><br><ol><li>bow maker</li></ol>
𒄑𒊏|𒄑⫽𒊏|g̃eš raḫ|g̃eš raḫ₂	<i>verb</i><br><ol><li>to beat, slay</li><li>to thresh</li></ol>
𒄑𒋆𒊍|𒄑𒊍	<i>noun</i><br><ol><li>myrtle</li></ol>
𒄑𒌆𒉿𒁺|g̃eštug gub|g̃eštug₂ gub|𒄑𒌆𒉿⫽𒁺	<i>verb</i><br><ol><li>to pay attention, plan</li></ol>
𒄑𒌆𒉿𒋔|𒄑𒉌|g̃izzal₂|𒋔𒋡|g̃izzal|g̃iš-zal|𒄐|g̃izzal₃	<i>noun</i><br><ol><li>ear</li><li>hearing, attention</li></ol>
𒄑𒌆𒉿𒋔𒀝|g̃izzal a₅|𒄑𒌆𒉿𒋔⫽𒀝|g̃izzal ak	<i>verb</i><br><ol><li>to pay attention</li></ol>
𒄑𒌇|𒄑⫽𒌇|g̃eš tuku	<i>verb</i><br><ol><li>to hear</li><li>to listen</li><li>to obey, heed</li></ol>
𒄑𒌉𒂠|𒄑𒄿𒇻|𒄿𒇻|kug̃|kug̃₄|𒌉𒂠|kug̃₅|kun₅|kun₄	<i>noun</i><br><ol><li>stairs, ladder</li></ol>
𒄖|gu	<i>noun</i><br><ol><li>flax, linen</li><li>thread, cord, string</li><li>snare</li></ol>
𒄖𒆸|gunig̃in|gu-nig̃in₂|gu-kilib	<i>noun</i><br><ol><li>bale</li></ol>
𒄖𒋧|𒅗𒋧|gu₃-šum₂|gu-šum₂|gušum	<i>noun</i><br><ol><li>wedge impression, cuneiform sign</li></ol>
𒄘|gun₂|gu₂-un|gun|gu|gu₂|𒄘𒌦	<i>noun</i><br><ol><li>neck, shoulders</li><li>edge, bank, shore (of a canal, river, sea)</li><li>totality</li><li>load, burden</li><li>tax, tribute, rent</li><li>(unit of weight) talent</li></ol>
𒄞|gu₄|guř|gud	<i>noun</i><br><ol><li>bull, ox</li><li>cattle</li><li>calf</li><li>lion</li></ol>
𒄞𒉌|gud'i|gud-i₃	<i>noun</i><br><ol><li>fattened ox</li></ol>
𒄠|am	<i>noun</i><br><ol><li>wild bull</li></ol>
𒄠𒋛|amsi|am-si	<i>noun</i><br><ol><li>elephant</li></ol>
𒄠𒋛𒄯𒊏𒀭|am-si-ḫar-ra-an|amsiḫarran	<i>noun</i><br><ol><li>camel</li></ol>
𒄢|gul	<i>verb</i><br><ol><li>to crush, grind, break up</li><li>to demolish, destroy</li></ol>
𒄣|guz|kum|gum	<i>verb</i><br><ol><li>to crash, smash, pulverise</li><li>to kill, slaughter, execute</li></ol>
𒄤|gaz	<i>verb</i><br><ol><li>to kill, slaughter, execute</li><li>to break, grind, crumble</li></ol>
𒄥|g̃uruš|gur	<i>verb</i><br><ol><li>to turn, bend</li><li>to wrap, twist, wind</li><li>to place into a bundle</li></ol><br><i>noun</i><br><ol><li>young adult male, able-bodied male worker, semi-free male worker</li></ol>
𒄧|gurun₄|𒇫|gurun	<i>noun</i><br><ol><li>fruit, flower</li><li>sex appeal</li></ol>
𒄩|kud|ku₆	<i>noun</i><br><ol><li>fish</li></ol>
𒄩𒇻𒂠|ḫa-lu-ub₂|𒃑|ḫalub	<i>noun</i><br><ol><li>a kind of cherry tree</li></ol>
𒄩𒍝𒈝|ḫa-za-num₂|ḫazanum	<i>noun</i><br><ol><li>mayor (local royal representative)</li></ol>
