'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
Chiu	<i>name</i><br><ol><li>a Filipino-Chinese surname from Min Nan, most notably borne by:</li></ol>
Claveria	<i>name</i><br><ol><li>Any of several places in the Philippines named in honor to Spanish Governor-General Narciso Clavería y Zaldúa</li></ol>
Co	<i>name</i><br><ol><li>Abbreviation of company, Alternative form of Co.</li></ol>
Cojuangco	<i>name</i><br><ol><li>a Filipino-Chinese surname from Min Nan, borne by a known political and business clan in the Philippines</li></ol>
Comelec	<i>name</i><br><ol><li>Abbreviation of Commission or Elections.</li></ol>
Concepcion	<i>name</i><br><ol><li>Any of several places in the Philippines named after the Immaculate Conception:</li><li>A municipality of Tarlac, Philippines.</li><li>KC Concepcion, Filipina actress and singer.</li></ol>
Consolacion	<i>name</i><br><ol><li>A municipality of Cebu, Philippines.</li></ol>
Corcuera	<i>name</i><br><ol><li>A municipality of Romblon, Philippines.</li></ol>
Cotabato	<i>name</i><br><ol><li>Cotabato (a province of the Philippines)</li><li>Cotabato (an independent city in Maguindanao, Philippines)</li></ol>
Cuenca	<i>name</i><br><ol><li>A municipality of Batangas, Philippines.</li></ol>
DILG	<i>name</i><br><ol><li>Acronym of Department of the Interior and Local Government.</li></ol>
DOLE	<i>name</i><br><ol><li>Acronym of Department of Labor and Employment.</li></ol>
Dagohoy	<i>name</i><br><ol><li>Francisco Dagohoy (real name: Francisco Sendrijas), Boholano who led the longest rebellion in Filipino history</li><li>Dagohoy (a municipality of Bohol, Philippines)</li></ol>
Dagupan	<i>name</i><br><ol><li>Dagupan (a city in Pangasinan, Philippines)</li></ol>
Dalmasya	<i>name</i><br><ol><li>Dalmatia</li></ol>
Danes|Danesa|Danés	<i>adj</i><br><ol><li>Danish (pertaining to Denmark)</li></ol><br><i>noun</i><br><ol><li>Danish; Dane (person)</li><li>Danish language</li></ol>
Daong-daungan|Daóng-daúngan|ᜇᜂᜅ᜔ᜇᜏ᜔ᜅᜈ᜔	<i>name</i><br><ol><li>(astronomy) Ursa Major</li></ol>
Dapitan	<i>name</i><br><ol><li>Dapitan (a city in Zamboanga del Norte, Philippines)</li></ol>
Dasma	<i>name</i><br><ol><li>(colloquial) Dasmariñas (a barangay of Makati, Philippines)</li><li>(informal) Dasmariñas (a city in Cavite, Philippines)</li></ol>
Dasmariñas	<i>name</i><br><ol><li>Dasmariñas (a city in Cavite, Philippines)</li><li>A barangay of Makati, Philippines</li></ol>
Datu	<i>noun</i><br><ol><li>(historical) honorific used before the name of a ruler of the various pre-colonial & modern indigenous peoples of the Philippines: Lord; Chief; Chieftain; daimyo</li></ol>
Davao	<i>name</i><br><ol><li>Davao City (a city in the Davao Region, Philippines)</li><li>Davao Region (a region of the Philippines)</li><li>Davao (a former province of the Philippines)</li><li>Davao River</li><li>Davao Gulf</li></ol>
Davao Occidental|Davao Occidentál	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Davao Occidental (a province of the Philippines)</li></ol>
Davao Oriental|Davao Orientál	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Davao Oriental (a province of the Philippines)</li></ol>
Davao de Oro	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Davao de Oro (a province of the Philippines)</li></ol>
Davao del Norte	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Davao del Norte (a province of the Philippines)</li></ol>
Davao del Sur	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Davao del Sur (a province of the Philippines)</li></ol>
David	<i>name</i><br><ol><li>(biblical) David</li></ol>
Dayang	<i>noun</i><br><ol><li>honorific used before the name of a noble lady of the various pre-colonial polities of the Philippines: Lady</li></ol>
De Guzman|De Guzmán	<i>name</i><br><ol><li>Alternative letter-case form of de Guzman</li></ol>
De Jesus|De Jesús	<i>name</i><br><ol><li>Alternative letter-case form of de Jesus</li></ol>
De Leon	<i>name</i><br><ol><li>Alternative letter-case form of de Leon</li></ol>
De Ocampo	<i>name</i><br><ol><li>Alternative letter-case form of de Ocampo</li></ol>
De Vera	<i>name</i><br><ol><li>Alternative letter-case form of de Vera</li></ol>
Dee	<i>name</i><br><ol><li>a Chinese Filipino surname from Min Nan, most notably borne by:</li></ol>
Del Castillo	<i>name</i><br><ol><li>Alternative letter-case form of del Castillo</li></ol>
Del Gallego	<i>name</i><br><ol><li>A municipality of Camarines Sur.</li></ol>
Del Rosario	<i>name</i><br><ol><li>Alternative letter-case form of del Rosario</li></ol>
Dela Cruz	<i>name</i><br><ol><li>Alternative letter-case form of dela Cruz</li></ol>
Dela Peña	<i>name</i><br><ol><li>Alternative letter-case form of dela Peña</li></ol>
Dela Rosa	<i>name</i><br><ol><li>A street in Makati.</li><li>Ronald dela Rosa, Director of the Philippine National Police (2016-2018) and incumbent director of the Bureau of Corrections.</li></ol>
Dela Torre	<i>name</i><br><ol><li>Alternative letter-case form of dela Torre</li></ol>
Delos Reyes	<i>name</i><br><ol><li>Alternative letter-case form of delos Reyes</li></ol>
Delos Santos	<i>name</i><br><ol><li>Alternative letter-case form of delos Santos</li></ol>
Digos	<i>name</i><br><ol><li>Digos (a city and capital of Davao del Sur, Philippines)</li></ol>
Dinagat	<i>name</i><br><ol><li>Dinagat (an island in the Philippines)</li><li>Dinagat (a municipality of the Dinagat Islands, Philippines)</li></ol>
Dinamarka	<i>name</i><br><ol><li>Denmark (a country in Northern Europe)</li></ol>
Dipolog	<i>name</i><br><ol><li>Dipolog (a city and capital of Zamboanga del Norte, Philippines)</li></ol>
Dis.	<i>name</i><br><ol><li>Abbreviation of Disyembre: Dec.</li></ol>
Disyembre	<i>name</i><br><ol><li>December</li></ol>
Diyos|Diyós|Dios|Diós	<i>noun</i><br><ol><li>God</li></ol>
Diyos ko|Diyos ko!	<i>intj</i><br><ol><li>oh my God!</li></ol>
Doktor|Doktora	<i>noun</i><br><ol><li>(medicine, sciences) honorific used before the name of a male doctor: Doctor</li></ol>
Doktora|Doktor	<i>noun</i><br><ol><li>(medicine, sciences) honorific used before the name of a female doctor: Doctor</li></ol>
Dolores	<i>name</i><br><ol><li>Dolores (a municipality of Quezon, Philippines)</li></ol>
Dominggo|Domingo	<i>noun</i><br><ol><li>(archaic) Sunday</li></ol>
Dominikano	<i>noun</i><br><ol><li>(Catholicism) Dominican (member of the Dominican order)</li></ol><br><i>adj</i><br><ol><li>(Catholicism) Dominican (relating to the Dominican order)</li></ol>
Don	<i>noun</i><br><ol><li>title of a gentleman</li></ol>
Doña Remedios Trinidad	<i>name</i><br><ol><li>Doña Remedios Trinidad (a municipality of Bulacan, Philippines)</li></ol>
Dra.|Dr.	<i>noun</i><br><ol><li>(medicine, sciences) abbreviation of doktora: Dr. (as a female title)</li></ol>
Drakula|Drákula	<i>name</i><br><ol><li>Dracula (fictional vampire)</li></ol>
Dueñas	<i>name</i><br><ol><li>A municipality of Iloilo.</li></ol>
Dumaguete	<i>name</i><br><ol><li>Dumaguete (a city and capital of Negros Oriental, Philippines)</li></ol>
Dy	<i>name</i><br><ol><li>a Chinese Filipino surname from Min Nan</li></ol>
Eba|Eva	<i>noun</i><br><ol><li>(Abrahamic religion, biblical) Eve</li></ol>
Ebanghelyo|ᜁᜊᜅ᜔ᜑᜒᜎ᜔ᜌᜓ	<i>noun</i><br><ol><li>gospel</li></ol>
Echague	<i>name</i><br><ol><li>Echague (a municipality of Isabela, Philippines)</li></ol>
Edad Medya	<i>name</i><br><ol><li>(historical) Middle Ages</li></ol>
Eden|Edén	<i>name</i><br><ol><li>(biblical) Eden</li></ol>
Ehipto	<i>name</i><br><ol><li>Egypt (a country in North Africa)</li></ol>
Ekwador|Ekwadór	<i>name</i><br><ol><li>Ecuador (a country in South America)</li></ol>
Eliseo	<i>name</i><br><ol><li>(biblical) Elisha</li></ol>
Emperador|Emperadora	<i>noun</i><br><ol><li>honorific used before the name of an emperor: Emperor</li></ol>
Emperadora|Emperador	<i>noun</i><br><ol><li>honorific used before the name of an empress: Empress</li></ol>
Ene.	<i>name</i><br><ol><li>Abbreviation of Enero: Jan</li></ol>
Enero	<i>name</i><br><ol><li>January</li></ol>
Epikureismo	<i>noun</i><br><ol><li>(philosophy) Epicureanism</li></ol>
Epipanya	<i>name</i><br><ol><li>Epiphany</li></ol>
Escalante	<i>name</i><br><ol><li>A city in Negros Occidental, Philippines.</li></ol>
Eskosya	<i>name</i><br><ol><li>Scotland</li></ol>
Eslobakya	<i>name</i><br><ol><li>Slovakia (a country in Europe)</li></ol>
Eslobenya|Islobenya	<i>name</i><br><ol><li>Slovenia (a country in Europe)</li></ol>
Espanya	<i>noun</i><br><ol><li>Spain (a country in Europe)</li></ol>
Espanyol|Espanyól|Espanyola	<i>adj</i><br><ol><li>Spanish (pertaining to Spain)</li></ol><br><i>noun</i><br><ol><li>Spaniard; Spanish (person)</li><li>Spanish language</li></ol>
España	<i>name</i><br><ol><li>España Boulevard (a boulevard in Manila)</li></ol>
Esperanto	<i>noun</i><br><ol><li>Esperanto (language)</li></ol>
Espiritu Santo|Espíritú Santo	<i>name</i><br><ol><li>(Christianity) Holy Spirit; Holy Ghost</li></ol>
Estados Unidos|istarus unirus|ᜁᜐ᜔ᜆᜇᜓᜐ᜔ ᜂᜈᜒᜇᜓᜐ᜔	<i>name</i><br><ol><li>United States (a country in North America)</li></ol>
Este	<i>adj</i><br><ol><li>The eastern part of a region</li></ol>
Estonya	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Etiyopiya	<i>name</i><br><ol><li>Ethiopia (a country in East Africa)</li></ol>
Eukaristiya|Eukarístiya|ᜌᜓᜃᜇᜒᜐ᜔ᜆᜒᜌ	<i>noun</i><br><ol><li>(Christianity) Eucharist; Holy Communion</li></ol>
Ezra	<i>name</i><br><ol><li>(religion) Ezra, Esdras</li></ol>
FX	<i>noun</i><br><ol><li>(automobiles) a Tamaraw FX vehicle</li><li>(road transport) a public transport service typically using a Tamaraw FX vehicle</li></ol>
Filipina|Filipino	<i>noun</i><br><ol><li>(proscribed) alternative form of Pilipina, feminine of Pilipino: female Filipino; Filipina (person)</li></ol>
Filipinas	<i>name</i><br><ol><li>(proscribed) alternative form of Pilipinas</li></ol>
Filipino|Filipina	<i>noun</i><br><ol><li>Filipino language (national language of the Philippines)</li><li>(proscribed) alternative form of Pilipino: Filipino (person)</li><li>(obsolete, historical) male Philippine-born person of pure or majority Spanish descent</li></ol><br><i>adj</i><br><ol><li>(proscribed) alternative form of Pilipino: Filipino (pertaining to the Philippines)</li></ol>
Flores de Mayo	<i>name</i><br><ol><li>(Catholicism) Flores de Mayo (Philippine festival in the month of May as a Marian devotion)</li></ol>
Fukien	<i>name</i><br><ol><li>the Hokkien language.</li><li>(dated) Former name of Fujian. province of China.</li></ol><br><i>noun</i><br><ol><li>(colloquial) A group of Han Chinese people whose traditional ancestral homes are in southern Fujian, South China, especially those that ancestrally spoke the Hokkien language.</li><li>(dated) Any person from Fujian.</li></ol><br><i>adj</i><br><ol><li>Of or relating to the province of Fujian in China.</li><li>(colloquial) Of or relating to the Fujianese people.</li><li>(colloquial) Of or relating to the Hokkien language.</li></ol>
GI	<i>noun</i><br><ol><li>(informal, colloquial, humorous, slang) Initialism of Genuine Intsik (Chinese) (a term referring to any ethnic Chinese person in the Philippines described to be profoundly Chinese in behavior, speech, demeanor, or likeness, especially those born and raised in China or Taiwan.)</li></ol>
GRO	<i>noun</i><br><ol><li>(possibly dated, derogatory, offensive) a sex worker; a prostitute</li></ol>
Gabaldon	<i>name</i><br><ol><li>A municipality of Nueva Ecija, Philippines.</li></ol>
Gabon|Gabón	<i>name</i><br><ol><li>Gabon (a country in Central Africa)</li></ol>
Gabriel|Gabriél	<i>name</i><br><ol><li>(biblical) Gabriel</li></ol>
Gales|Galesa|Galés	<i>name</i><br><ol><li>Wales (country)</li></ol><br><i>noun</i><br><ol><li>Welsh (person)</li><li>Welsh language</li></ol>
Gapan|Gapán	<i>name</i><br><ol><li>Gapan (a city in Nueva Ecija, Philippines)</li></ol>
Gapo|Gapó	<i>name</i><br><ol><li>(slang) Olongapo (a city in Zambales province, Philippines)</li></ol>
Gat	<i>noun</i><br><ol><li>historical title of nobility for a man of recognized prominence or greatness, especially of Philippine heroes: Lord; Sir (used before a name)</li></ol>
General Emilio Aguinaldo|Generál Emilio Aguinaldo	<i>name</i><br><ol><li>General Emilio Aguinaldo (a municipality of Cavite, Philippines)</li></ol>
General Mariano Alvarez|Generál Mariano Álvarez	<i>name</i><br><ol><li>General Mariano Alvarez (a municipality of Cavite, Philippines)</li></ol>
General Tinio	<i>name</i><br><ol><li>General Tinio (a municipality of Nueva Ecija, Philippines)</li></ol>
General Trias|Generál Trias	<i>name</i><br><ol><li>General Trias (a city in Cavite, Philippines)</li></ol>
Ginang|Gng.	<i>noun</i><br><ol><li>(formal) honorific used before the name of a married woman: Mrs.; ma'am</li></ol>
Gining	<i>noun</i><br><ol><li>(formal) form of address for a young woman: Miss; Ms. (used before a name)</li></ol>
Ginoo|Ginoó|G.	<i>noun</i><br><ol><li>(formal) honorific used before the name of a gentleman: Mister; Mr.</li><li>(archaic) honorific used before a name of a lady of rank: Madam</li></ol>
Gitnang Luzon|Gitnáng Luzón	<i>name</i><br><ol><li>Central Luzon (a region of the Philippines)</li></ol>
Gitnang Panahon|Gitnáng Panahón	<i>name</i><br><ol><li>(historical) Middle Ages</li></ol>
Gitnang Silangan|gitnang silangan|ᜄᜒᜆ᜔ᜈᜅ᜔ ᜐᜒᜎᜅᜈ᜔|Gitnáng Silangan	<i>name</i><br><ol><li>Middle East</li></ol>
Gomburza	<i>name</i><br><ol><li>(historical) Mariano Gómez, José Burgos, and Jacinto Zamora (three Filipino Catholic priests executed through the garrote in 1872)</li></ol>
Gonzaga	<i>name</i><br><ol><li>A municipality of Cagayan.</li></ol>
Gotiko|Gótikó	<i>adj</i><br><ol><li>Gothic</li></ol>
Gran Britanya|Gran Bretanya	<i>name</i><br><ol><li>Great Britain</li><li>United Kingdom</li><li>(loosely) British Isles</li><li>(historical) British Empire</li></ol>
Gresya	<i>name</i><br><ol><li>Greece (a country in Southern Europe)</li></ol>
Griyego|Griyega|Griyego	<i>adj</i><br><ol><li>Greek (pertaining to Greek)</li></ol><br><i>noun</i><br><ol><li>Greek (person)</li><li>Greek language</li></ol>
Guagua	<i>name</i><br><ol><li>Guagua (a municipality of Pampanga, Philippines)</li></ol>
Guimaras|Guimarás	<i>name</i><br><ol><li>Guimaras (a province of the Philippines)</li><li>Guimaras (an island in the Philippines)</li></ol>
Guimba	<i>name</i><br><ol><li>Guimba (a municipality of Nueva Ecija, Philippines)</li></ol>
Guinayangan	<i>name</i><br><ol><li>Guinayangan (a municipality of Quezon, Philippines)</li></ol>
Gumaca	<i>name</i><br><ol><li>Gumaca (a municipality of Quezon, Philippines)</li></ol>
Guwatemala	<i>name</i><br><ol><li>Guatemala (a country in Central America)</li></ol>
Guyana	<i>name</i><br><ol><li>Guyana (a country in South America)</li></ol>
Haba	<i>name</i><br><ol><li>Java (an island in Indonesia)</li></ol>
Hamayka	<i>name</i><br><ol><li>Jamaica (an island and country in the Caribbean)</li></ol>
Hanunuo|Hánunúo	<i>noun</i><br><ol><li>Hanunuo people (ethnic group in Mindoro, Philippines)</li><li>Hanunuo (lanugage)</li><li>Hanunuo (script)</li></ol>
Hapon|Hapón|Sapon|Sapón	<i>name</i><br><ol><li>Japan (a country in East Asia)</li></ol><br><i>noun</i><br><ol><li>Japanese (person)</li><li>Japanese (language)</li></ol><br><i>adj</i><br><ol><li>Japanese (pertaining to Japan)</li></ol>
Hapones|Haponés|Haponesa	<i>noun</i><br><ol><li>Japanese (person)</li></ol>
Hari	<i>noun</i><br><ol><li>honorific used before the name of a king: King</li></ol>
Hariraya Puasa|ᜑᜇᜒᜇᜌ ᜉᜓᜀᜐ	<i>name</i><br><ol><li>(Islam) Eid al-Fitr (feast celebrated after the end of Ramadan)</li></ol>
Haway|Hawáy	<i>name</i><br><ol><li>Hawaii (a state of the United States)</li></ol>
Hawayano|Hawayana	<i>adj</i><br><ol><li>Hawaiian (pertaining to Hawaii)</li></ol><br><i>noun</i><br><ol><li>Hawaiian (person)</li><li>Hawaiian language</li></ol>
Hehoba|ᜑᜒᜑᜓᜊ	<i>name</i><br><ol><li>Jehovah</li></ol>
Hekasi|Hékasi	<i>noun</i><br><ol><li>geography, history, and civics (school subject)</li></ol>
Hen.	<i>noun</i><br><ol><li>abbreviation of heneral: Gen. (title)</li></ol>
Hermosa	<i>name</i><br><ol><li>Hermosa (a municipality of Bataan, Philippines)</li></ol>
Hesukristo	<i>name</i><br><ol><li>(Christianity) Jesus Christ</li></ol>
Hesus|Hesús	<i>name</i><br><ol><li>(Christianity) Jesus</li></ol>
Heswita	<i>noun</i><br><ol><li>(Catholicism) Jesuit</li></ol><br><i>adj</i><br><ol><li>(Catholicism) Jesuit</li></ol>
Hilagang Agusan	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Agusan del Norte (a province of the Philippines)</li></ol>
Hilagang Camarines	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Camarines Norte (a province of the Philippines)</li></ol>
Hilagang Davao	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Davao del Norte (a province of the Philippines)</li></ol>
Hilagang Ilocos	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Ilocos Norte (a province of the Philippines)</li></ol>
Hilagang Korea	<i>name</i><br><ol><li>North Korea (a country in East Asia)</li></ol>
Hilagang Lanao	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Lanao del Norte (a province of the Philippines)</li></ol>
Hilagang Leyte	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Alternative form of Leyte: Northern Leyte (a province of the Philippines)</li></ol>
Hilagang Mindanao|Hilagang Mindanáo	<i>name</i><br><ol><li>Northern Mindanao (a region of the Philippines)</li></ol>
Hilagang Samar	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Northern Samar (a province of the Philippines)</li></ol>
Hinduismo|Indoismo	<i>noun</i><br><ol><li>Hinduism</li></ol>
Hispanismo	<i>noun</i><br><ol><li>(common) Alternative form of Ispanismo: Hispanism</li></ol>
Ho	<i>name</i><br><ol><li>a Filipino-Chinese surname from Min Nan of Chinese origin, most notably borne by:</li></ol>
Hong Kong|Hong Kóng|Hongkóng|Hongkong	<i>name</i><br><ol><li>Hong Kong (a city, an island and special administrative region in southern China)</li></ol>
Hudas	<i>name</i><br><ol><li>(biblical) Judas</li></ol>
Hudyo|Hudyó	<i>adj</i><br><ol><li>Jewish (pertaining to the Jews)</li><li>(figuratively) wily</li></ol><br><i>noun</i><br><ol><li>Jew; Jewish (person)</li></ol>
Huk	<i>noun</i><br><ol><li>(historical) member of the Hukbalahap</li></ol>
Hukbalahap	<i>name</i><br><ol><li>(historical) Hukbalahap (Filipino guerrilla movement that fought against the Japanese during World War II and lasted until the Magsaysay administration)</li></ol>
