ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܐܟܘܡܐ|kuma|ܐ݇ܟܘܼܡܵܐ|ܐ݇ܟܘܼܡܬܵܐ|ܐ݇ܟܘܼܡܹ̈ܐ	<i>adj</i><br><ol><li>black</li><li>dark, sunburnt</li></ol><br><i>noun</i><br><ol><li>black (color)</li><li>black (person)</li><li>(anatomy) pupil</li><li>(in the plural) black garments worn by Abbasids, judges, or those in mourning</li></ol>
ܐܟܠ|ḵol|ܐܵܟ݂ܠܹܢ|āḵlēt|āḵlāt|ܐܟ݂ܝܼܠ ܠܵܘܟ݂ܘܿܢ|ܐ݇ܟ݂ܵܠܵܐ|ḵīl lan|ܐܵܟ݂ܠܲܚ|āḵlīton|āḵlān|ḵīl lhon|ܐܟ݂ܝܼܠ ܠܹܗ|ܐܵܟ݂ܠܝܼ|ḵīl lēh|ܐܵܟ݂ܠܵܢ|ܐܵܟ݂ܹܠ|ܐܟ݂ܝܼܠ ܠܲܢ|ܐܟ݂ܝܼܠ ܠܝܼ|āḵēl|ܐܟ݂ܝܼܠ ܠܵܗ̇|ܐ݇ܟ݂ܝܼܠܵܐ|ܐܟ݂ܝܼܠ ܠܘܼܟ݂|ܐܟ݂ܘܿܠ|ḵīl lī|ܐܟ݂ܘܿܠܘܼܢ|ḵīl lāḵ|ḵīl lāh|āḵlī|ܐܟ݂ܘܿܠܝ|ܐܟ݂ܝܼܠ ܠܵܟ݂ܝ|ḵolun|ḵīl lāwḵon|ܐܵܟ݂ܠܹܬ|āḵlaḥ|āḵlā|ḵīl luḵ|āḵlēn|ܐܵܟ݂ܠܝܼܬܘܿܢ|ܐܵܟ݂ܠܵܐ|ܐܟ݂ܝܼܠ ܠܗܘܿܢ|ܐܵܟ݂ܠܵܬܝ	<i>verb</i><br><ol><li>(transitive) to eat, to consume (food)</li></ol>
ܐܟܠܩܪܨܐ|rāwḵon|rī|ܪܲܢ̈|ܐܵܟ݂ܹܠܩܹܲܗ|ܐܵܟ݂ܹܠܩܲܘܼܟ݂|ܐܵܟ݂ܠܲܝ̈ ܩܲܪܨܵܐ|ܐܵܟ݂ܹܠܩܲܗܘܿܢ|ran|ܪܲܝ̈|āḵēlqahon|āḵēlqaan|ܪܵܟ݂ܝ̈|ܪ̈ܘܿܗ̇|ܪܹ̈ܗ|ruḵ|ܐܵܟ݂ܹܠܩܲܲܢ|āḵēlqaā|āḵēlqaāḵ|ܪܗ̈ܘܿܢ|ܐܵܟ݂ܹܠܩܲ|ܪܝܼ̈|āḵēlqēyah|ܐܵܟ݂ܹܠܩܲܵܟ݂ܝ|rhon|ܪܘܼ̈ܟ݂|rē|āḵēlqarṣā|āḵēlqaī|ܐܵܟ݂ܹܠܩܲܪ̈ܨܹܐ|ray|ܪܹ̈ܐ|rēh|āḵēlqauḵ|roh|ܐܵܟ݂ܹܠܩܲܝܼ|āḵēlqaoh|rāḵ|āḵēlqa|ܐܵܟ݂ܹܠܩܲܘܿܗ̇|ܐܵܟ݂ܹܠܩܲܪܨܵܐ|āḵēlqaāwḵon|ܐܵܟ݂ܹܠܩܲܵܐ|ܐܵܟ݂ܹܠܩܲܵܘܟ݂ܘܿܢ|ܪܵܘ̈ܟ݂ܘܿܢ	<i>noun</i><br><ol><li>accuser, slanderer</li><li>enemy, adversary</li></ol><br><i>name</i><br><ol><li>(religion) Satan, the Devil</li></ol>
ܐܟܠܪܡܫܐ|ḵāramšē|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܘܗܝ|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܘܼܟ݂|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫܹܗ|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫܵܘܟ݂ܘܿܢ|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܵܘܟ݂ܘܿܢ|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫܘܼܟ݂|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܝܼ|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫܵܐ|ḵāramšwh|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܲܢ|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫܲܢ|ḵāramšuḵ|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܲܝ|ḵāramš|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫ|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܗܘܿܢ|ḵāramšhon|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܵܟ݂ܝ|ḵāramšoh|ḵāramšī|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫܵܟ݂ܝ|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫܗܘܿܢ|ܐ݇ܟ݂ܵܠ݇ܪܲܡܫܘܿܗ̇|ḵāramšā|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܘܿܗ̇|ܐ݇ܟ݂ܵܠ݇ܪ̈ܲܡܫܹܐ|ḵāramšāḵ|ḵāramšan|ḵāramšēh|ḵāramšāwḵon|ḵāramšay	<i>noun</i><br><ol><li>dinner, supper (The main meal of the day, often eaten in the evening.)</li></ol>
ܐܟܡ|ܐܟܝܼܡ ܠܝܼ|ܐܟ̰ܝܼܡ ܠܵܗ̇|āčmīton|kīm lī|ܐܟܝܼܡ ܠܹܗ|āčmī|ܐܟ̰ܝܼܡ ܠܲܢ|ܐܵܟܡܝܼ|kīm luḵ|čīm lēh|kīm lāwḵon|ܐܟܘܿܡ|āčmēt|ܐܵܟܡܹܢ|ākmī|ܐܵܟܡܹܬ|ܐܟܝܼܡܵܐ|ākmīton|ܐܟ̰ܝܼܡ ܠܘܼܟ݂|čīm luḵ|āčmaḥ|ܐܵܟ̰ܡܵܬܝ|ܐܟ̰ܝܼܡ ܠܵܟ݂ܝ|kom|āčmān|komun|ܐܵܟ̰ܡܹܬ|akem|ܐܟ̰ܘܿܡܝ|kīm lhon|ܐܟ̰ܘܿܡ|ܐܵܟ̰ܡܵܢ|ačem|āčmāt|kīm lāh|ākmān|ākēm|ܐܟܝܼܡ ܠܘܼܟ݂|ākmēt|kīm lēh|āčēm|ܐܵܟܡܲܚ|ܐܟ̰ܝܼܡ ܠܹܗ|ܐܟܝܼܡ ܠܵܗ̇|ܐܵܟ̰ܡܝܼ|ܐ݇ܟܵܡܵܐ|ܐܟܝܼܡ ܠܵܘܟ݂ܘܿܢ|ܐܟܝܼܡ ܠܗܘܿܢ|kīm lan|ܐܟܝܼܡ ܠܵܟ݂ܝ|ܐܵܟܡܝܼܬܘܿܢ|ܐܵܟ̰ܡܝܼܬܘܿܢ|ܐܟ̰ܵܡܵܐ|āčmēn|ܐܟ̰ܝܼܡ ܠܗܘܿܢ|čīm lāh|ākmēn|ܐܟܘܿܡܘܼܢ|ākmā|ākmaḥ|ܐܵܟ̰ܡܲܚ|čīm lāḵ|ܐܵܟ̰ܹܡ|ܐ݇ܟܝܼܡܵܐ|ܐܵܟܡܵܢ|čīm lhon|ܐܟܘܿܡܝ|āčmā|ܐܵܟܡܵܐ|čīm lāwḵon|čīm lan|ܐܟܝܼܡ ܠܲܢ|ܐܵܟ̰ܡܹܢ|čom|čīm lī|ܐܟ̰ܝܼܡ ܠܝܼ|ܐܵܟܡܵܬܝ|kīm lāḵ|ܐܟ̰ܘܿܡܘܼܢ|ܐܵܟ̰ܡܵܐ|čomun|ܐܵܟܹܡ|ākmāt|ܐܟ̰ܝܼܡ ܠܵܘܟ݂ܘܿܢ	<i>verb</i><br><ol><li>to close, shut</li><li>to blacken</li></ol>
ܐܟܪ|ܐܟܝܼܪܵܘܟ݂ܘܿܢ|kīrī|ܐܵܟܪܹܬ|ākrān|ܐܟܘܿܪ|ākrēn|ākraḥ|ܐܵܟܪܲܚ|ܐܵܟܹܪ|kīrēh|ākrīton|ܐܵܟܪܵܐ|ܐܟܝܼܪܝܼ|ܐܟܝܼܪܵܗ̇|kīrāh|ܐܵܟܪܝܼ|kīruḵ|kīrāwḵon|ܐܵܟܪܝܼܬܘܿܢ|ākrēt|ākrī|kīrhon|kīrāḵ|kīran|ܐ݇ܟܝܼܪܵܐ|ܐܟܝܼܪܘܼܟ݂|ܐܟܘܿܪܝ|ܐܟܝܼܪܲܢ|ܐܵܟܪܹܢ|ܐܵܟܪܵܬ|ākrāt|ܐܟܝܼܪܹܗ|kor|ܐܟܝܼܪܵܟ݂ܝ|ākrā|ܐܟܝܼܪܗܘܿܢ|korun|ܐܵܟܪܵܢ|ܐܟܘܿܪܘܼܢ|ākēr|ܐ݇ܟܵܪܵܐ	<i>verb</i><br><ol><li>to farm</li><li>to plough, cultivate</li></ol>
ܐܟܪܐ|ܐܲܟܵܪܬܵܐ|ܐܲܟܵܪܹ̈ܐ|ܐܲܟܵܪܵܘܟ݂ܘܿܢ|ܐܲܟܵܪ|ܐܲܟܵ̈ܪܹܐ|ܐܲܟܵ̈ܪܝܼ|akkārā|ܐܲܟܵ̈ܪܘܗܝ|akkārwh|akkārāwḵon|ܐܲܟܵ̈ܪܵܟ݂ܝ|akkārāḵ|akkāran|akkārhon|ܐܲܟܵܪܘܼܟ݂|akkāroh|ܐܲܟܵ̈ܪܵܘܟ݂ܘܿܢ|ܐܲܟܵ̈ܪܗܘܿܢ|akkārēh|ܐܲܟܵܪܲܢ|ܐܲܟܵܪܵܐ|ܐܲܟܵܪܵܟ݂ܝ|ܐܲܟܵ̈ܪܘܿܗ̇|ܐܲܟܵܪܹܗ|ܐܲܟܵ̈ܪܘܼܟ݂|akkār|akkāruḵ|ܐܲܟܵ̈ܪܲܝ|akkārī|akkārē|ܐܲܟܵܪܗܘܿܢ|ܐܲܟܵ̈ܪܲܢ|akkāray|ܐܲܟܵܪܘܿܗ̇	<i>noun</i><br><ol><li>farmer, husbandman, plowman (worker of the land who keeps livestock, especially on a farm)</li></ol>
ܐܠܗܐ|ܐܲܠܵܗ|ܐܲܠܵܗܵܐ|ܐܲܠܵܗܵܟ݂ܝ|allāhuḵ|ܐܲܠܵܗܹ̈ܐ|allāhhon|ܐܲܠܵܗܗܘܿܢ|allāhay|ܐܲܠܵܗܵܘ̈ܟ݂ܘܿܢ|ܐܲܠܵܗܵܟ݂ܝ̈|ܐܲܠܵܗܗ̈ܘܿܢ|ܐܲܠܵܗܲܝ̈|allāhan|ܐܲܠܵܗܘܼܟ݂|ܐܲܠܵܗܘܼ̈ܟ݂|allāhī|ܐܲܠܵܗܘܿܗ̇|allāhēh|ܐܲܠܵܗܬܵܐ|ܐܲܠܵܗܝܼ|ܐܲܠܵܗ̈ܘܿܗ̇|ܐܲܠܵܗܝܼ̈|allāh|ܐܲܠܵܗܘܼ̈ܗܝ|ܐܲܠܵܗܲܢ|allāhā|allāhuh|ܐܲܠܵܗܲܢ̈|ܐܲܠܵܗܵܘܟ݂ܘܿܢ|allāhāḵ|ܐܲܠܵܗܹܗ|allāhāwḵon|allāhē|allāhoh	<i>noun</i><br><ol><li>(religion) god, deity</li></ol><br><i>name</i><br><ol><li>God</li></ol>
ܐܠܘ|ālu|ܐܲܠܘܼ	<i>intj</i><br><ol><li>(telephony) used to confirm that the person being addressed is listening, or to confirm if anyone is listening</li></ol>
ܐܠܝܫܒܥ|ܐܹܠܝܼܫܒ݂ܲܥ|ēlīšwaʿ	<i>name</i><br><ol><li>(biblical) Elisheba (wife of Aaron)</li><li>(biblical) Elizabeth (mother of John the Baptist)</li></ol>
ܐܠܡܢܝܐ|ܐܲܠܡܵܢܝܼܵܐ|almāniyā|almānāyē|ܐܲܠܡܵܢܵܝܵܐ • m ܐܲܠܡܵܢܵܝܬܵܐ • f ܐܲܠܡܵܢܵܝܹ̈ܐ|almānāytā|almānāyā	<i>name</i><br><ol><li>Germany (a country in Europe; official name: Federal Republic of Germany)</li></ol><br><i>adj</i><br><ol><li>German</li></ol>
ܐܠܦܐ|ilpay|ilpē|ܐܲܠܦܘܼ̈ܟ݂|ܐܲܠܦܝܼ̈|ilp|ilphon|ܐܸܠܦ|ܐܲܠܦܲܝ̈|ܐܲܠܦܗ̈ܘܿܢ|ܐܲܠܦܵܟ݂ܝ̈|ܐܲܠܦ|alp|ܐܲܠܦܘܿܗ̇|ܐܲܠܦܲܢ̈|ܐܸܠܦܵܘܟ݂ܘܿܢ|ܐܸܠܦܹܗ|ܐܸܠܦܘܼܟ݂|ܐܲܠܦܹ̈ܐ|ilpāwḵon|alpāwḵon|ܐܲܠܦܹܗ|alpē|ܐܸܠܦܲܝ̈|ܐܸܠܦܲܢ|ilpan|ilpāḵ|ܐܲܠܦܵܐ|ܐܸܠܦܵܟ݂ܝ|alphon|ܐܸܠܦܵܘ̈ܟ݂ܘܿܢ|ilpī|ܐܸܠܦܵܟ݂ܝ̈|ܐܲܠܦܲܢ|alpay|alpoh|ܐܸܠܦܹ̈ܐ|ܐܲܠܦܘܼ̈ܗܝ|ܐܲܠܦܵܘ̈ܟ݂ܘܿܢ|alpā|ܐܲܠܦܵܘܟ݂ܘܿܢ|ܐܸܠܦܵܐ|ܐܸܠܦܲܢ̈|ܐܸܠܦ̈ܘܿܗ̇|ܐܸܠܦܗܘܿܢ|ܐܲܠܦܝܼ|ܐܲܠܦ̈ܘܿܗ̇|ܐܲܠܦܘܼܟ݂|ܐܸܦܠܵܐ|ilpoh|ܐܸܠܦܘܼ̈ܟ݂|ܐܸܠܦܘܿܗ̇|alpī|alpēh|ܐܸܠܦܗ̈ܘܿܢ|alpan|ilpā|alpāḵ|ilpuḵ|ܐܸܠܦܘܼ̈ܗܝ|alpuḵ|ܐܸܠܦܝܼ|ܐܲܠܦܗܘܿܢ|ilpuh|ܐܲܠܦܵܟ݂ܝ|ilpēh|alpuh|ܐܸܠܦܝܼ̈	<i>num</i><br><ol><li>thousand (1000)</li></ol><br><i>noun</i><br><ol><li>boat</li></ol><br><i>name</i><br><ol><li>(astronomy) Argo Navis</li><li>(astronomy) setting of Pleiades</li></ol>
ܐܠܦܒܝܬ|ܐܵܠܲܦܒܹܝܬ݂|ālapbēṯ	<i>noun</i><br><ol><li>alphabet: The set of letters used when writing in a language.</li></ol>
ܐܠܦܝܘܬܐ|alpāywāt|ܐܲܠܦܵܝܘܼܬܹܗ|alpāyutēh|ܐܲܠܦܵܝܘܼܬܲܢ|ܐܲܠܦܵܝܘܵܬܝܼ̈|alpāyutāḵ|alpāyutī|ܐܲܠܦܵܝܘܵܬܵܟ݂ܝ̈|ܐܲܠܦܵܝܘܼܬܵܟ݂ܝ|alpāywāthon|ܐܲܠܦܵܝܘܵܬ̈ܘܿܗ̇|ܐܲܠܦܵܝܘܼܬܗܘܿܢ|alpāywātāwḵon|ܐܲܠܦܵܝܘܵܬܹ̈ܐ|alpāyutan|ܐܲܠܦܵܝܘܵܬ̈|ܐܲܠܦܵܝܘܼܬ|ܐܲܠܦܵܝܘܼܬܝܼ|alpāywātāḵ|alpāyutāwḵon|ܐܲܠܦܵܝܘܼܬܵܐ|alpāyutā|alpāyut|ܐܲܠܦܵܝܘܵܬܗ̈ܘܿܢ|ܐܲܠܦܵܝܘܼܬܘܼܟ݂|alpāyutoh|ܐܲܠܦܵܝܘܵܬܵܘ̈ܟ݂ܘܿܢ|ܐܲܠܦܵܝܘܵܬܘܼ̈ܗܝ|alpāywātuh|ܐܲܠܦܵܝܘܼܬܘܿܗ̇|alpāywātuḵ|alpāywātē|alpāyutuḵ|ܐܲܠܦܵܝܘܵܬܲܢ̈|alpāywātan|ܐܲܠܦܵܝܘܵܬܘܼ̈ܟ݂|alpāyuthon|ܐܲܠܦܵܝܘܼܬܵܘܟ݂ܘܿܢ|alpāywātī|alpāywātoh	<i>noun</i><br><ol><li>millennium</li></ol>
ܐܡܝܪܘܬܐ|amīrwātoh|ܐܲܡܝܼܪܘܼܬܘܼܟ݂|amīrwāthon|amīrutāwḵon|ܐܲܡܝܼܪ̈ܘܵܬܲܢ|ܐܲܡܝܼܪ̈ܘܵܬܘܿܗ̇|ܐܲܡܝܼܪܘܼܬ|ܐܲܡܝܼܪܘܼܬܝܼ|amīrwātuḵ|ܐܲܡܝܼܪܘܼܬܵܘܟ݂ܘܿܢ|amīrwātē|amīrutan|amīrwātāḵ|ܐܲܡܝܼܪܘܼܬܲܢ|ܐܲܡܝܼܪ̈ܘܵܬܹܐ|amīrutēh|ܐܲܡܝܼܪ̈ܘܵܬܵܟ݂ܝ|ܐܲܡܝܼܪ̈ܘܵܬܘܼܗܝ|amīrutī|amīrut|ܐܲܡܝܼܪ̈ܘܵܬܵܘܟ݂ܘܿܢ|amīrwātan|ܐܲܡܝܼܪܘܼܬܗܘܿܢ|amīruthon|ܐܲܡܝܼܪܘܼܬܘܿܗ̇|amīrwātuh|ܐܲܡܝܼܪܘܼܬܵܟ݂ܝ|ܐܲܡܝܼܪ̈ܘܵܬܘܼܟ݂|ܐܲܡܝܼܪ̈ܘܵܬ|ܐܲܡܝܼܪܘܼܬܹܗ|amīrutoh|amīrwātāwḵon|amīrutā|ܐܲܡܝܼܪ̈ܘܵܬܗܘܿܢ|ܐܲܡܝܼܪ̈ܘܵܬܝܼ|amīrwātī|amīrutuḵ|amīrutāḵ|amīrwāt|ܐܲܡܝܼܪܘܼܬܵܐ	<i>noun</i><br><ol><li>Emirate</li></ol>
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ|amīrwātē ʿārābāyātē mḥaydātē|ܐܲܡܝܼܪ̈ܘܵܬܹܐ ܥܵܪ̈ܵܒܵܝܵܬܹܐ ܡܚܲܝܕܵܬܹ̈ܐ	<i>name</i><br><ol><li>United Arab Emirates (a country in Asia)</li></ol>
ܐܡܪ|mor|ܐܵܡܪܵܬ|morun|mīrī|ܐܵܡܪܵܢ|āmrān|ܐܵܡܪܲܚ|ܐܵܡܪܵܐ|āmrāt|āmēr|ܐܡܝܼܪܝܼ|mīruḵ|ܐܡܘܿܪܝ|ܐܡܝܼܪܘܼܟ݂|ܐܵܡܪܹܬ|ܐܡܝܼܪܵܟ݂ܝ|āmraḥ|ܐܵܡܪܝܼܬܘܿܢ|mīran|āmrī|ܐܡܝܼܪܵܘܟ݂ܘܿܢ|ܐܵܡܹܪ|ܐ݇ܡܵܪܵܐ|ܐܵܡܪܹܢ|ܐܡܘܿܪ|ܐܡܝܼܪܵܗ̇|āmrīton|ܐܡܝܼܪܲܢ|ܐܡܘܿܪܘܼܢ|mīrāh|ܐ݇ܡܝܼܪܵܐ|mīrhon|ܐܡܝܼܪܗܘܿܢ|mīrāḵ|mīrēh|āmrēn|mīrāwḵon|āmrēt|ܐܵܡܪܝܼ|āmrā|ܐܡܝܼܪܹܗ	<i>verb</i><br><ol><li>to say</li><li>to tell</li><li>(colloquial) to think, to believe</li></ol>
ܐܡܪܐ|ܐܸܡܪܵܐ|imrā	<i>name</i><br><ol><li>Aries (constellation and zodiac sign)</li></ol>
ܐܢ|in|ܐܸܢ	<i>conj</i><br><ol><li>(conditional) if</li></ol>
ܐܢ ܒܣܡܐ ܠܘܟ|ܐܸܢ ܒܵܣܡܵܐ ܠܘܼܟ݂|in bāsmāloḳ	<i>phrase</i><br><ol><li>(formal) please, if you please</li></ol>
ܐܢܐ|ānuḵ|ܐܵܢܵܘܟ݂ܘܿܢ|ܐܵܢܵܟ݂ܝ|ܐܵܢ|ānāḵ|ānay|ܐܵܢܘܼ̈ܗܝ|ānhon|ܐܵܢܝܼ̈|ܐܲܚܢܲܢ|ānoh|ܐܵܢܲܢ̈|ܐܵܢܲܢ|ܐܵܢܵܟ݂ܝ̈|ān|ānuh|ܐܵܢܗܘܿܢ|ܐܵܢܘܼ̈ܟ݂|ānē|ܐܵܢܘܼܟ݂|ܐܵܢܲܝ̈|ānēh|ānā|ānī|ānan|ānāwḵon|ܐܵܢܘܿܗ̇|ܐܵܢܝܼ|ܐܵܢܗ̈ܘܿܢ|ܐܵܢܹܗ|ana|ܐܵܢܵܘ̈ܟ݂ܘܿܢ|ܐܵܢ̈ܘܿܗ̇|ܐܵܢܹ̈ܐ|ܐܵܢܵܐ	<i>pron</i><br><ol><li>(personal) I</li><li>(intensive) I myself</li></ol><br><i>noun</i><br><ol><li>(psychology) ego</li></ol>
ܐܢܓܠܝܐ|anglia|ܐܵܢܔܠܝܼܵܐ	<i>name</i><br><ol><li>England (region of the island of Great Britain)</li></ol>
ܐܢܕܘܢܣܝܐ|indonesiya|indonesaya|ܐܸܢܕܘܿܢܹܣܝܼܵܐ|ܐܸܢܕܘܿܢܹܣܵܝܵܐ|ܐܸܢܕܘܿܢܹܣܵܝܬܵܐ|ܐܸܢܕܘܿܢܹܣܵܝܹ̈ܐ	<i>name</i><br><ol><li>A country in maritime Southeast Asia; modern Republic of Indonesia (since 1950). Capital: Jakarta.</li></ol><br><i>adj</i><br><ol><li>indonesian: Of or pertaining to Indonesia.</li></ol><br><i>noun</i><br><ol><li>Indonesian: A person from Indonesia.</li></ol>
ܐܢܕܘܪܐ|ܐܲܢܕܘܿܪܵܐ|āndora	<i>name</i><br><ol><li>Andorra: A tiny country in Europe, between Spain and France. Official name: Principality of Andorra</li></ol>
ܐܢܘ|ʾānū|ܐܵܢܘܼ	<i>name</i><br><ol><li>(Mesopotamian mythology) Anu: An ancient Mesopotamian god being supreme source of all authority. Corresponding to the Roman god Jupiter and the Greek god Zeus.</li></ol>
ܐܢܛܪܬܝܩܐ|Ānṭartīqa|ܐܲܢܛܵܪܬܝܼܩܵܐ	<i>name</i><br><ol><li>Antarctica: The southernmost continent, south of the Southern Ocean, containing the South Pole.</li></ol>
ܐܢܝ|ܗ̇ܝ|ܐܵܢܝܼ|ܗܝ|āya|anī|ܗ̇ܘ|ܗܘ|āwa	<i>pron</i><br><ol><li>(personal) they</li><li>(intensive) they themselves</li><li>sometimes used somewhat like a definite article; the</li><li>(demonstrative) these, those</li></ol>
ܐܢܢܣ|({{{pl.abs.}}})|ܐܵܢܵܢܵܣ|ܐܵܢܵܢܵܣܹ̈ܗ|ananas|ܐܵܢܵܢܵܣܘܼ̈ܟ݂|ānānāsāwḵon|ānānāsuḵ|ܐܵܢܵܢܵܣ̈ܲܢ|ܐܵܢܵܢܵܣܝܼ|ܐܵܢܵܢܵܣܵܘ̈ܟ݂ܘܿܢ|ܐܵܢܵܢܵܣܝܼ̈|ܐܵܢܵܢܵܣܵܟ݂ܝ̈|{{{pl.abs.}}}|ܐܵܢܵܢܵܣܗ̈ܘܿܢ|ܐܵܢܵܢܵܣܵܟ݂ܝ|ܐܵܢܵܢܵܣܘܿܗ̇|ānānāsan|ܐܵܢܵܢܵܣܹ̈ܐ|ānānās|ānānāsē|ānānāsī|{{{sg.abs.}}}|ܐܵܢܵܢܵܣܗܘܿܢ|ܐܵܢܵܢܵܣ̈ܘܿܗ̇|ānānāsoh|ānānāsāḵ|ܐܵܢܵܢܵܣܲܢ|ܐܵܢܵܢܵܣܹܗ|ܐܵܢܵܢܵܣܘܼܟ݂|{{{sg.cstr.}}}|ܐܵܢܵܢܵܣܵܘܟ݂ܘܿܢ|ānānāshon|{{{pl.cstr.}}}|({{{sg.abs.}}})|ānānāsēh	<i>noun</i><br><ol><li>pineapple: a large juicy tropical fruit consisting of aromatic edible yellow flesh surrounded by a tough segmented skin and topped with a tuft of stiff leaves.</li></ol>
ܐܢܢܩܝܐ|ܐܵܢܲܢܩܵܝܬܵܐ|ܐܵܢܲܢܩܵܝܵܐ|ānanqāyā|ܐܵܢܲܢܩܵܝܹ̈ܐ	<i>adj</i><br><ol><li>important, significant</li></ol>
ܐܢܩܪܐ|ܐܲܢܩܵܪܵܐ|Anqāra	<i>name</i><br><ol><li>Ankara (the capital city of Turkey)</li></ol>
ܐܢܬ|āt|ܐܲܢ݇ܬ|ܐܲܢ݇ܬܝ|ܐܲܚܬܘܿܢ	<i>pron</i><br><ol><li>(personal) you, thou</li><li>(intensive) you yourself</li></ol>
ܐܢܬܝ|ܐܲܢ݇ܬ|at|ܐܲܢ݇ܬܝ|ܐܲܚܬܘܿܢ	<i>pron</i><br><ol><li>(personal) you, thou</li><li>(intensive) you yourself</li></ol>
ܐܢܬܬܐ|ܐܲܢ݇ܬܲܬ|ܢܸܫܵܟ݂ܝ̈|ܢܸܫܗ̈ܘܿܢ|nišuḵ|nišoh|attēh|niššē|attāḵ|ܐܲܢ݇ܬܬܵܟ݂ܝ|ܢܸܫܵܘ̈ܟ݂ܘܿܢ|nišuh|niššāwḵon|attan|niššay|attā|nišī|ܢܸܫܲܝ̈|atat|ܓܲܒ݂ܪܵܐ|atthon|ܢܸܫܘܼ̈ܟ݂|niššāḵ|ܢܸܫ̈ܘܿܗ̇|atṯā|nišhon|ܐܲܢ݇ܬܬܘܼܟ݂|attī|ܐܲܢ݇ܬܬܵܘܟ݂ܘܿܢ|ܢܸܫܝܼ̈|ܐܲܢ݇ܬܬܲܢ|ܐܲܢ݇ܬܬܝܼ|ܐܲܢ݇ܬܬܗܘܿܢ|ܢܸܫܲܢ̈|attuḵ|ܐܲܢ݇ܬܬܘܿܗ̇|ܐܲܢ݇ܬܬܵܐ|attoh|ܐܲܢ݇ܬܬܹܗ|ܢܸܫܘܼ̈ܗܝ|attāwḵon|niššan|ܢܸܫܹ̈ܐ	<i>noun</i><br><ol><li>woman, wife</li></ol>
ܐܣܐ|ܐܵܣܹܝܬ|ܐܣܹܐ ܠܵܘܟ݂ܘܿܢ|ܐܣܵܝܵܐ|āsēn|asīyāt|ܐܲܣܹܝܬ|ܐܘܼܣܹܐ ܠܗܘܿܢ|ܐܲܣܹܐ|asē|ܐܵܣܹܐ|asīyān|ܐܘܼܣܹܐ ܠܵܟ݂ܝ|usē luḵ|ܐܲܣܘܼܝܹܐ|ܐܘܼܣܝܼܵܐ|usē lēh|ܐܵܣܹܝܬܘܿܢ|ܐܣܹܐ ܠܘܼܟ݂|ܐܲܣܝܼܵܢ|sē lhon|āsaḥ|sē lāh|ܐܣܝܼ|ܐܣܹܐ ܠܹܗ|assētwn|āsēt|āsī|assēn|usē lan|ܐܵܣܝܵܬܝ|āsyān|ܐܘܼܣܹܐ ܠܵܗ̇|ܐܲܣܹܝܡܘܼܢ|sē lēh|āsyā|āsē|ܐܣܹܐ ܠܲܢ|usē lāwḵon|āsēton|assēmun|ܐܣܹܐ ܠܝܼ|ܐܣܹܐ|assaḥ|ܐܣܹܐ ܠܗܘܿܢ|ܐܵܣܝܼ|ܐܘܼܣܹܐ ܠܲܢ|ܐܣܹܝܡܘܼܢ|ܐܸܣܝܵܐ|sē lāwḵon|usē lhon|ܐܵܣܝܵܐ|ܐܵܣܲܚ|usē lāḵ|sēmun|ܐܲܣܝܼ|ܐܘܼܣܹܐ ܠܹܗ|ܐܲܣܹܝܢ|assē|ܐܘܼܣܹܐ ܠܘܼܟ݂|ܐܲܣܝܼܵܬܝ|usē lāh|ܐܘܼܣܹܐ ܠܝܼ|ܐܵܣܹܝܢ|asīyā|sē lan|āsyāt|ܐܘܼܣܹܐ ܠܵܘܟ݂ܘܿܢ|sē|sē lāḵ|ܐܲܣܹܝܬܘܢ|assēt|sē lī|ܐܣܹܐ ܠܵܗ̇|ܐܲܣܲܚ|ܐܵܣܝܵܢ|ܐܲܣܝܼܵܐ|asī|sē luḵ|sī|usē lī|ܐܣܹܐ ܠܵܟ݂ܝ	<i>verb</i><br><ol><li>(intransitive) to heal, to be healed</li><li>(transitive) to heal</li></ol>
