Ahadi|Ahad	<i>name</i><br><ol><li>Sunday</li></ol>
tapar|otapar|yotapar|motapar|nitapar|itapar|fotapar|mitapar|notapar|totapar	<i>verb</i><br><ol><li>(stative) to be surprised</li></ol>
tapaya	<i>noun</i><br><ol><li>papaya (Carica papaya)</li></ol>
tapu	<i>noun</i><br><ol><li>an anchor</li></ol>
tarate	<i>noun</i><br><ol><li>an orchid</li></ol>
taratib|itaratib|totaratib|notaratib|mitaratib|otaratib|nitaratib|fotaratib|motaratib|yotaratib	<i>verb</i><br><ol><li>(stative) to be in order, orderly</li></ol>
tare|notare|nitare|itare|mitare|fotare|otare|motare|totare|yotare	<i>verb</i><br><ol><li>(intransitive) to crawl</li></ol>
tarigu	<i>noun</i><br><ol><li>flour</li></ol>
tarima|notarima|totarima|yotarima|mitarima|motarima|fotarima|otarima|nitarima|itarima	<i>verb</i><br><ol><li>(transitive) to accept (something)</li></ol>
tarupa	<i>noun</i><br><ol><li>a wooden sandal</li></ol>
tarusi	<i>noun</i><br><ol><li>the wahoo (Acanthocybium solandri)</li><li>any of several fish (mackerels) in the genus Scomberomorus</li></ol>
tas	<i>noun</i><br><ol><li>a bag</li></ol>
tasa|motasa|totasa|otasa|itasa|nitasa|yotasa|fotasa|notasa|mitasa	<i>noun</i><br><ol><li>a small gong</li></ol><br><i>verb</i><br><ol><li>(stative) to be bald</li></ol>
tasmin	<i>noun</i><br><ol><li>the pennant coralfish and/or the schooling bannerfish (Heniochus acuminatus, Heniochus diphreutes)</li></ol>
tasube	<i>noun</i><br><ol><li>prayer beads, misbaha</li><li>the Indian shot (Canna indica)</li></ol>
tata|تاتة	<i>noun</i><br><ol><li>a splint</li><li>a kind of cylindrical basket generally made of bamboo strips, historically used to transport fruit and betel nut</li></ol>
tatabako	<i>noun</i><br><ol><li>Caesar weed, Congo jute (Urena lobata)</li></ol>
tatabola	<i>noun</i><br><ol><li>any (or all) of several species of fish in Toxotes; the archerfish</li></ol>
tatabuan|تتبوان	<i>noun</i><br><ol><li>a set of a double row of gong chimes, the totobuang</li></ol>
tatabuang	<i>noun</i><br><ol><li>a set of a double row of gong chimes, the totobuang</li></ol>
tatameri	<i>noun</i><br><ol><li>any (or all) of the several following fish: Zenopsis nebulosa, Zenopsis conchifer, Antigonia rhomboidea, Mene maculata, and fish in the family Leiognathidae</li></ol>
tatapa	<i>noun</i><br><ol><li>a winnowing basket</li></ol>
tato	<i>noun</i><br><ol><li>any of several fish among the triggerfish (Balistidae) and the filefish (Monacanthidae)</li></ol>
tau|notau|yotau|mitau|itau|fotau|motau|totau|otau|nitau	<i>verb</i><br><ol><li>to pull</li></ol>
tauge	<i>noun</i><br><ol><li>bean sprout</li></ol>
tauja|تاؤجة	<i>noun</i><br><ol><li>sea cucumber, trepang</li></ol>
tautau|otautau|itautau|totautau|nitautau|yotautau|fotautau|notautau|motautau|mitautau	<i>verb</i><br><ol><li>(stative) to be steady, fixed</li></ol>
tawaf|fotawaf|itawaf|nitawaf|mitawaf|notawaf|yotawaf|totawaf|motawaf|otawaf|طواف	<i>verb</i><br><ol><li>(transitive) to circumambulate</li><li>to perform the tawaf</li></ol>
tawasela	<i>noun</i><br><ol><li>the Moluccan albizia (Falcataria moluccana)</li></ol>
tebu|fotebu|motebu|itebu|mitebu|nitebu|totebu|notebu|otebu|yotebu	<i>verb</i><br><ol><li>(intransitive) to jump</li><li>(intransitive) to rebound, ricochet</li></ol>
tede|fotede|otede|nitede|totede|motede|yotede|notede|itede|mitede	<i>verb</i><br><ol><li>(transitive) to lift, raise</li></ol>
tee	<i>noun</i><br><ol><li>tea</li></ol>
tege|fotege|nitege|otege|totege|notege|itege|motege|yotege|mitege	<i>verb</i><br><ol><li>(intransitive) to drip</li></ol>
tego|motego|fotego|yotego|itego|mitego|totego|nitego|otego|تىݢو|notego	<i>verb</i><br><ol><li>(intransitive) to sit</li><li>(intransitive) to live, reside</li><li>(intransitive) to be situated</li></ol>
tegotego|notegotego|fotegotego|totegotego|itegotego|yotegotego|mitegotego|motegotego|otegotego|nitegotego	<i>verb</i><br><ol><li>(intransitive) to sit relaxedly, leisurely</li></ol>
tela	<i>noun</i><br><ol><li>maize, corn</li></ol>
telefon	<i>noun</i><br><ol><li>telephone</li></ol>
temo|otemo|totemo|notemo|itemo|fotemo|yotemo|nitemo|mitemo|motemo	<i>verb</i><br><ol><li>(intransitive) to crow</li><li>(transitive) to scold</li><li>(transitive) to slander</li></ol>
teo	<i>noun</i><br><ol><li>seawater</li></ol>
teoteo|noteoteo|miteoteo|toteo|toteoteo|yoteoteo|moteoteo|oteoteo|foteoteo|iteoteo|niteoteo	<i>verb</i><br><ol><li>(stative) to be salty</li></ol><br><i>noun</i><br><ol><li>any of the trees Cordia myxa, Cordia blancoi, and Cordia dichotoma</li></ol>
tera|itera|notera|motera|mitera|totera|yotera|fotera|nitera|otera	<i>verb</i><br><ol><li>(intransitive) to perch, alight</li></ol>
tero|totero|otero|yotero|itero|mitero|fotero|motero|notero|nitero	<i>verb</i><br><ol><li>to hit, to make a hit</li></ol>
teru|toteru|miteru|yoteru|iteru|noteru|moteru|foteru|oteru|niteru	<i>verb</i><br><ol><li>(transitive) to put or place up high</li><li>(transitive) to carry on one's head</li></ol>
tes	<i>noun</i><br><ol><li>a test</li><li>an examination (for school, etc.)</li></ol>
tetateta|otetateta|nitetateta|motetateta|fotetateta|itetateta|yotetateta|notetateta|totetateta|mitetateta	<i>verb</i><br><ol><li>(stative) to be soaking wet</li></ol>
tete	<i>noun</i><br><ol><li>grandfather</li></ol>
teto|foteto|iteto|miteto|noteto|oteto|yoteto|toteto|niteto|moteto	<i>verb</i><br><ol><li>(transitive) to chop</li><li>(transitive) to mince</li></ol>
tetu|yotetu|fotetu|totetu|otetu|nitetu|mitetu|motetu|notetu|itetu	<i>verb</i><br><ol><li>to strike a match</li></ol>
tiadi|yotiadi|motiadi|notiadi|totiadi|mitiadi|fotiadi|itiadi|nitiadi|otiadi	<i>verb</i><br><ol><li>(intransitive) to change</li><li>(transitive) to exchange</li></ol>
tiahi|totiahi|otiahi|itiahi|mitiahi|fotiahi|motiahi|yotiahi|notiahi|nitiahi	<i>verb</i><br><ol><li>(stative) to correct, right</li><li>(stative) to ready, prepared</li><li>(stative) to be straight up</li></ol>
tiana|fotiana|otiana|notiana|totiana|mitiana|motiana|yotiana|itiana|nitiana	<i>verb</i><br><ol><li>(stative) to be dim-witted</li></ol>
tiba|fotiba|mitiba|otiba|motiba|totiba|yotiba|itiba|notiba|nitiba	<i>verb</i><br><ol><li>(transitive) to think over, contemplate</li></ol>
tibako|itibako|totibako|notibako|yotibako|motibako|nitibako|otibako|mitibako|fotibako	<i>verb</i><br><ol><li>(transitive) to throw</li></ol>
tibi	<i>noun</i><br><ol><li>a kind of basket</li></ol>
tibitibi	<i>noun</i><br><ol><li>the hip</li><li>the kidneys</li><li>the shin</li></ol>
tibo|fotibo|otibo|motibo|totibo|notibo|mitibo|itibo|nitibo|yotibo	<i>verb</i><br><ol><li>(transitive) to sell with interest</li></ol>
tidalo	<i>noun</i><br><ol><li>a mudskipper</li></ol>
tide	<i>noun</i><br><ol><li>the tide or tide-tide dance</li></ol>
tifa	<i>noun</i><br><ol><li>the tifa drum, part of the tifa totobuang ensemble</li></ol>
tifo|notifo|mitifo|yotifo|nitifo|itifo|motifo|totifo|fotifo|otifo	<i>verb</i><br><ol><li>to tap palm trees for sap</li></ol>
tigalo	<i>noun</i><br><ol><li>a Malay civet (Viverra tangalunga)</li></ol>
tigo|notigo|fotigo|otigo|yotigo|totigo|motigo|itigo|nitigo|mitigo	<i>verb</i><br><ol><li>(intransitive) for one's joints to ache</li><li>(intransitive) to choke</li><li>(stative) to be stuck</li><li>(intransitive) to stay behind</li></ol>
tika	<i>noun</i><br><ol><li>a school of fish</li></ol>
tike|itike|fotike|mitike|otike|totike|notike|yotike|motike|nitike	<i>verb</i><br><ol><li>(transitive) to seek, look for</li></ol>
tiki|yotiki|nitiki|fotiki|notiki|mitiki|motiki|totiki|otiki|itiki	<i>verb</i><br><ol><li>(transitive) to cane someone</li></ol>
tila	<i>noun</i><br><ol><li>a rice barn</li></ol>
tilatila	<i>noun</i><br><ol><li>a Alternative form of tila (“rice barn”)</li></ol>
tim|fotim|nitim|motim|yotim|mitim|notim|otim|totim|itim	<i>verb</i><br><ol><li>a Alternative form of timi (“to skin, peel”)</li></ol>
timau	<i>noun</i><br><ol><li>a waria</li></ol>
timi|totimi|motimi|nitimi|notimi|mitimi|fotimi|otimi|itimi|yotimi	<i>verb</i><br><ol><li>(transitive) to skin (something)</li><li>(transitive) to peel (something)</li></ol>
timu|fotimu|itimu|otimu|notimu|mitimu|motimu|yotimu|nitimu|totimu	<i>verb</i><br><ol><li>a Alternative form of timi (“to skin, peel”)</li></ol>
tinggalu|تڠݢالو	<i>noun</i><br><ol><li>a Malay civet (Viverra tangalunga)</li></ol>
tingi|nitingi|yotingi|fotingi|otingi|notingi|motingi|totingi|itingi|mitingi	<i>verb</i><br><ol><li>(stative) to stink, to smell</li></ol>
tino|notino|fotino|totino|nitino|otino|itino|yotino|motino|mitino	<i>verb</i><br><ol><li>to weave</li><li>(transitive) to massage</li></ol>
tiro	<i>noun</i><br><ol><li>the vagina</li></ol>
tita|nitita|otita|itita|yotita|totita|mitita|motita|notita|fotita	<i>verb</i><br><ol><li>(intransitive) to speak</li><li>(intransitive) to instruct</li></ol>
titi|fotiti|otiti|nititi|notiti|yotiti|totiti|motiti|ititi|mititi	<i>noun</i><br><ol><li>the base, bottom</li></ol><br><i>verb</i><br><ol><li>(transitive) to carry</li></ol>
toa|totoa|mitoa|notoa|fotoa|otoa|yotoa|motoa|nitoa|itoa	<i>verb</i><br><ol><li>to extend the hand, to reach out</li></ol>
tobo|motobo|itobo|fotobo|mitobo|yotobo|notobo|totobo|nitobo|otobo	<i>verb</i><br><ol><li>(intransitive) to swim</li></ol>
toca	<i>noun</i><br><ol><li>wax</li><li>a candle</li></ol>
todoha|yotodoha|notodoha|motodoha|mitodoha|itodoha|otodoha|fotodoha|nitodoha|totodoha	<i>verb</i><br><ol><li>(transitive) to divide into five parts or pieces</li></ol>
toduku|تدوکو|motoduku|totoduku|itoduku|nitoduku|mitoduku|notoduku|fotoduku|yotoduku|otoduku	<i>verb</i><br><ol><li>(stative) to be crosswise, transverse</li><li>(stative) to be aslant, diagonal</li><li>(stative) to lie athwart, to be in the way</li></ol>
tofa	<i>noun</i><br><ol><li>a snakebite</li></ol>
tofahe|nitofahe|fotofahe|yotofahe|itofahe|motofahe|totofahe|mitofahe|notofahe|otofahe	<i>verb</i><br><ol><li>(stative) to have insufficient water</li></ol>
tofan	<i>noun</i><br><ol><li>typhoon</li></ol>
tofangi	<i>noun</i><br><ol><li>numbness</li><li>gout</li></ol>
tofo|fotofo|mitofo|motofo|notofo|totofo|yotofo|otofo|nitofo|itofo	<i>verb</i><br><ol><li>to raise animals</li></ol>
tofoma	<i>noun</i><br><ol><li>provisions, stock</li></ol>
tofore|otofore|itofore|yotofore|fotofore|mitofore|motofore|notofore|totofore|nitofore	<i>verb</i><br><ol><li>(intransitive) to tremble</li></ol>
tofu|otofu|notofu|nitofu|motofu|totofu|itofu|fotofu|mitofu|yotofu	<i>verb</i><br><ol><li>(stative) to be piled, heaped</li></ol>
togu|motogu|itogu|totogu|nitogu|notogu|yotogu|mitogu|otogu|fotogu	<i>verb</i><br><ol><li>(intransitive) to stop, halt</li></ol>
tohe	<i>noun</i><br><ol><li>a bag, purse</li></ol>
toho|itoho|notoho|yotoho|nitoho|mitoho|fotoho|otoho|totoho|motoho	<i>verb</i><br><ol><li>(transitive) to sharpen</li></ol>
tohoko|تهوکو	<i>noun</i><br><ol><li>the ground thrush (genus Geokichla)</li></ol>
tohoso	<i>noun</i><br><ol><li>a hernia</li></ol>
tokalo|totokalo|notokalo|nitokalo|otokalo|yotokalo|mitokalo|fotokalo|itokalo|motokalo	<i>verb</i><br><ol><li>(stative) (of liquids) to be thick</li></ol>
toki|nitoki|otoki|itoki|yotoki|notoki|fotoki|totoki|mitoki|motoki	<i>verb</i><br><ol><li>(intransitive) to knock (on a door, etc.)</li></ol>
toko	<i>noun</i><br><ol><li>a store</li></ol>
toku|nitoku|motoku|fotoku|totoku|yotoku|itoku|mitoku|otoku|notoku	<i>verb</i><br><ol><li>to cross over</li></ol>
tola|motola|mitola|itola|توله|otola|notola|nitola|yotola|fotola|totola	<i>verb</i><br><ol><li>(transitive) to stop</li><li>(transitive) to interrupt</li><li>(transitive) to decrease or reduce one's salary</li><li>(transitive) to break</li><li>(transitive) to cut</li></ol>
tolabane|itolabane|notolabane|nitolabane|fotolabane|otolabane|motolabane|yotolabane|mitolabane|totolabane	<i>verb</i><br><ol><li>to take passage</li></ol>
tolabutu|nitolabutu|itolabutu|totolabutu|otolabutu|yotolabutu|motolabutu|mitolabutu|notolabutu|fotolabutu	<i>verb</i><br><ol><li>(intransitive) to bargain</li></ol>
tolagumi	<i>noun</i><br><ol><li>a forest clearer, one who clears (cuts down) a forested region</li></ol>
tolofuku|notolofuku|otolofuku|mitolofuku|totolofuku|itolofuku|motolofuku|fotolofuku|nitolofuku|yotolofuku	<i>verb</i><br><ol><li>(transitive) to tie a knot</li></ol>
tolole|nitolole|otolole|notolole|totolole|itolole|mitolole|motolole|yotolole|fotolole	<i>verb</i><br><ol><li>(stative) to be dry</li></ol>
tolu	<i>noun</i><br><ol><li>a sunhat</li></ol>
tom|توم	<i>noun</i><br><ol><li>indigo (Indigofera tinctoria)</li></ol>
toma|تم	<i>prep</i><br><ol><li>to</li><li>at, in</li><li>on</li><li>from</li></ol>
tometome	<i>noun</i><br><ol><li>the plant Flacourtia inermis</li></ol>
tomo|fotomo|otomo|itomo|mitomo|nitomo|yotomo|totomo|motomo|notomo	<i>verb</i><br><ol><li>(transitive) to go against</li></ol>
toni|ton	<i>noun</i><br><ol><li>any of several flying fish in the genus Cypselurus</li></ol>
toniru|yotoniru|totoniru|notaniru|motoniru|otaniru|fotaniru|motaniru|itaniru|totaniru|taniru|otoniru|mitoniru|nitaniru|mitaniru|fotoniru|itoniru|nitoniru|notoniru|yotaniru	<i>verb</i><br><ol><li>(intransitive) to play</li></ol>
tono|motono|yotono|notono|otono|fotono|nitono|تونو|totono|itono|mitono	<i>verb</i><br><ol><li>(transitive) to soak</li></ol>
topa|nitopa|notopa|otopa|fotopa|totopa|itopa|yotopa|mitopa|motopa	<i>verb</i><br><ol><li>(transitive) to pull at</li></ol>
topo|motopo|itopo|fotopo|otopo|yotopo|mitopo|totopo|notopo|nitopo	<i>verb</i><br><ol><li>(transitive) to stick into, to stab, pierce</li></ol>
torara|yotorara|itorara|totorara|otorara|nitorara|fotorara|motorara|mitorara|notorara	<i>verb</i><br><ol><li>(intransitve) to howl, shout, scream</li></ol>
torari|mitorari|notorari|fotorari|itorari|nitorari|yotorari|totorari|motorari|otorari	<i>verb</i><br><ol><li>(transitive) to face, to turn one's face towards</li></ol>
tore|yotore|motore|nitore|mitore|fotore|notore|totore|itore|otore	<i>verb</i><br><ol><li>(stative) to be dried</li></ol>
toreba|itoreba|yotoreba|notoreba|motoreba|nitoreba|totoreba|mitoreba|otoreba|fotoreba	<i>verb</i><br><ol><li>(transitive) to snarl at</li></ol>
tori|itori|motori|otori|nitori|totori|yotori|notori|fotori|mitori	<i>verb</i><br><ol><li>(transitive) to steal</li></ol>
torifa|motorifa|fotorifa|otorifa|totorifa|notorifa|itorifa|yotorifa|nitorifa|mitorifa	<i>verb</i><br><ol><li>(transitive) to lean on or against</li></ol>
torifu|notorifu|yotorifu|nitorifu|totorifu|mitorifu|otorifu|fotorifu|itorifu|motorifu	<i>verb</i><br><ol><li>(stative) to be sated, full</li></ol>
torihi|motorihi|notorihi|itorihi|fotorihi|totorihi|yotorihi|mitorihi|otorihi|توريهي|nitorihi	<i>verb</i><br><ol><li>(intransitive, of a boat, etc.) to run aground</li><li>(intransitive, of a boat, etc.) to get into shallow water</li></ol><br><i>noun</i><br><ol><li>urine</li></ol>
toropo|taropo	<i>noun</i><br><ol><li>a bobbin, spool</li><li>a troop</li></ol>
toru|mitoru|notoru|totoru|motoru|nitoru|fotoru|otoru|yotoru|itoru	<i>verb</i><br><ol><li>(intransitive) to withdraw</li><li>(transitive) to ship goods</li></ol>
totara	<i>noun</i><br><ol><li>a rafter (of a house)</li></ol>
totea|mitotea|tototea|fototea|ototea|yototea|mototea|nototea|itotea|nitotea	<i>verb</i><br><ol><li>(stative) Alternative form of teoteo (“to be salty”)</li></ol>
toteo|mototeo|itoteo|tototeo|mitoteo|ototeo|fototeo|nitoteo|yototeo|nototeo	<i>verb</i><br><ol><li>(stative) Alternative form of teoteo (“to be salty”)</li></ol>
toti|fototi|mototi|nitoti|ototi|yototi|mitoti|itoti|tototi|nototi	<i>verb</i><br><ol><li>(transitive) to cut</li><li>(transitive) to fell</li></ol>
totifa|nototifa|fototifa|ototifa|itotifa|mototifa|tototifa|yototifa|nitotifa|mitotifa	<i>verb</i><br><ol><li>(stative) to be bald</li></ol>
toto|mitoto|mototo|fototo|ototo|yototo|itoto|tototo|nitoto|nototo	<i>verb</i><br><ol><li>(transitive) to arrange, set, organize</li></ol>
totofuko|tofuko|totofuku|تتفوکو	<i>noun</i><br><ol><li>the starfruit (Averrhoa carambola)</li></ol>
touko	<i>noun</i><br><ol><li>tuna</li></ol>
touru|notouru|mitouru|fotouru|yotouru|itouru|nitouru|totouru|otouru|motouru	<i>verb</i><br><ol><li>(intransitive) to come from behind, from the back or rear</li></ol>
towongi|motowongi|notowongi|otowongi|fotowongi|mitowongi|totowongi|yotowongi|nitowongi|itowongi	<i>verb</i><br><ol><li>(intransitive) to go over land</li></ol>
trali	<i>noun</i><br><ol><li>latticework</li></ol>
trek	<i>noun</i><br><ol><li>truck</li></ol>
tuala	<i>noun</i><br><ol><li>a headkerchief</li></ol>
tuala pululu	<i>noun</i><br><ol><li>a royal headkerchief</li></ol>
tuala tulang	<i>noun</i><br><ol><li>the sultan's headkerchief</li></ol>
tuba|fotuba|totuba|notuba|otuba|yotuba|ituba|nituba|motuba|mituba	<i>verb</i><br><ol><li>(stative) to be piled</li></ol>
tubele|motubele|notubele|totubele|otubele|yotubele|itubele|mitubele|fotubele|nitubele	<i>verb</i><br><ol><li>(intransitive) to cockfight</li></ol>
tubo|notubo|totubo|otubo|yotubo|itubo|nitubo|motubo|mitubo|fotubo	<i>verb</i><br><ol><li>(transitive) to prod fruit</li></ol><br><i>noun</i><br><ol><li>thick billowing smoke</li></ol>
tubu	<i>noun</i><br><ol><li>top, peak</li></ol>
tubutubu|nitubutubu|motubutubu|itubutubu|mitubutubu|yotubutubu|notubutubu|fotubutubu|otubutubu|totubutubu	<i>verb</i><br><ol><li>(stative) to be mixed-up</li></ol>
tuda|nituda|yotuda|motuda|totuda|notuda|mituda|otuda|fotuda|ituda	<i>verb</i><br><ol><li>(transitive) to tow (something)</li></ol>
tudu|motudu|itudu|otudu|mitudu|yotudu|fotudu|totudu|nitudu|notudu	<i>verb</i><br><ol><li>to stop by, to stop in</li></ol>
tuduku|otuduku|yotuduku|mituduku|motuduku|nituduku|ituduku|notuduku|totuduku|fotuduku	<i>verb</i><br><ol><li>(stative) to be stranded</li><li>(transitive) to obstruct</li></ol>
tufa|fotufa|yotufa|nitufa|totufa|motufa|itufa|mitufa|otufa|notufa	<i>noun</i><br><ol><li>the sky</li><li>ceiling</li></ol><br><i>verb</i><br><ol><li>(transitive) to strip (something)</li></ol>
tufang|nitufang|totufang|motufang|yotufang|notufang|otufang|mitufang|itufang|fotufang	<i>verb</i><br><ol><li>(stative) to be numb</li></ol>
tufu|nitufu|totufu|yotufu|itufu|mitufu|fotufu|otufu|motufu|notufu	<i>verb</i><br><ol><li>(transitive) to redeem (an object)</li></ol>
tuga|notuga|yotuga|nituga|otuga|totuga|ituga|motuga|mituga|fotuga	<i>verb</i><br><ol><li>(transitive) to measure</li></ol>
tugubadi	<i>noun</i><br><ol><li>one's left hand</li></ol>
tugudeki|تݢوديکي	<i>noun</i><br><ol><li>the little finger, pinkie</li><li>the ring finger</li></ol>
tuguhera|تݢوحيراه	<i>noun</i><br><ol><li>the thumb</li></ol>
tugunyira	<i>noun</i><br><ol><li>one's right hand</li></ol>
tugurofu|totugurofu|itugurofu|mitugurofu|motugurofu|otugurofu|fotugurofu|yotugurofu|nitugurofu|notugurofu	<i>verb</i><br><ol><li>to wrestle</li></ol>
tuko|yotuko|fotuko|otuko|motuko|nituko|notuko|mituko|ituko|totuko	<i>verb</i><br><ol><li>(transitive) to bend</li></ol>
tuku|totuku|motuku|notuku|nituku|mituku|fotuku|yotuku|otuku|ituku	<i>verb</i><br><ol><li>(stative) to be slanting, sloping</li></ol>
tulis|motulis|fotulis|otulis|nitulis|yotulis|totulis|mitulis|notulis|itulis	<i>verb</i><br><ol><li>(transitive) to write</li></ol>
tumbak	<i>noun</i><br><ol><li>a large lance; a spear</li></ol>
tumu|totumu|itumu|totum|fotumu|otum|fotum|notum|mitumu|motum|nitumu|motumu|nitum|yotum|mitum|otumu|tum|itum|yotumu|notumu	<i>verb</i><br><ol><li>(intransitive) to dive (into water)</li><li>(intransitive) to dive; to leap down from a high place</li></ol>
tumurafu|notumrafu|itumurafu|totumurafu|otumrafu|fotumrafu|fotumurafu|motumurafu|yotumrafu|otumurafu|totumrafu|tumrafu|mitumrafu|nitumurafu|yotumurafu|nitumrafu|motumrafu|mitumurafu|itumrafu|notumurafu	<i>verb</i><br><ol><li>(intransitive) to doze off</li></ol>
tungi|fotungi|notungi|otungi|mitungi|nitungi|yotungi|itungi|totungi|motungi	<i>verb</i><br><ol><li>(transitive) to scale, to descale (a fish, etc.)</li></ol>
tuo|nituo|yotuo|fotuo|notuo|totuo|otuo|mituo|motuo|ituo	<i>verb</i><br><ol><li>(transitive) to pull out, to pull outside, to drag out</li></ol>
turaba|ituraba|moturaba|noturaba|oturaba|mituraba|nituraba|toturaba|yoturaba|foturaba	<i>verb</i><br><ol><li>(intransitive) to collapse</li></ol>
turege|miturege|oturege|toturege|yoturege|foturege|moturege|niturege|noturege|iturege	<i>verb</i><br><ol><li>(stative) to be thin, skinny</li></ol>
turi	<i>noun</i><br><ol><li>vegetable hummingbird (Sesbania grandiflora)</li></ol>
turu|toturu|mituru|fofoturu|moturu|foturu|tofoturu|ofoturu|ifoturu|ituru|mofoturu|mifoturu|yoturu|noturu|oturu|yofoturu|nofoturu|nituru|nifoturu	<i>noun</i><br><ol><li>the waist</li></ol><br><i>verb</i><br><ol><li>(transitive) to imitate</li><li>(stative) to be thin</li></ol>
turupopo|tarpopo	<i>noun</i><br><ol><li>thunder</li><li>a thunderclap</li></ol>
tusa	<i>noun</i><br><ol><li>cat</li></ol>
tuso|yotuso|motuso|notuso|nituso|otuso|ituso|mituso|fotuso|totuso	<i>verb</i><br><ol><li>(intransitive) to make a hole</li><li>(intransitive) to leak</li></ol>
tutang	<i>noun</i><br><ol><li>a houseboat</li></ol>
tutango	<i>noun</i><br><ol><li>a nylon fishing line</li></ol>
tuteba	<i>noun</i><br><ol><li>any or all of the fish Triacanthus biaculeatus, Triacanthus nieuhofii, and Trixiphichthys weberi</li></ol>
tutu|totutu|itutu|notutu|nitutu|motutu|fotutu|otutu|yotutu|mitutu	<i>verb</i><br><ol><li>(transitive) to pound</li><li>(transitive) to mash</li><li>(transitive) to punch (with one's fist)</li></ol>
ua|ؤواة	<i>particle</i><br><ol><li>sentence-final negation particle; not</li></ol>
uba	<i>noun</i><br><ol><li>gunpowder</li></ol>
ube	<i>noun</i><br><ol><li>the slender sprat (Spratelloides gracilis)</li><li>the Indian anchovy (Stolephorus indicus)</li></ol>
ubo	<i>noun</i><br><ol><li>the female (red) eclectus parrot (Eclectus roratus ssp. roratus)</li></ol>
uboubo	<i>noun</i><br><ol><li>the Chinese hibiscus (Hibiscus rosa-sinensis)</li></ol>
uci|fouci|miuci|youci|mouci|ouci|iuci|touci|nouci|niuci	<i>verb</i><br><ol><li>(intransitive) to descend</li></ol>
uda|mouda|niuda|fouda|iuda|youda|nouda|miuda|ouda|touda	<i>verb</i><br><ol><li>(transitive) to weed</li></ol>
udara	<i>noun</i><br><ol><li>airplane</li></ol>
udi|noudi|moudi|foudi|oudi|niudi|youdi|toudi|iudi|miudi	<i>verb</i><br><ol><li>(transitive) to steer</li></ol>
ufa	<i>noun</i><br><ol><li>a co-wife</li></ol>
ufe|niufe|oufe|youfe|foufe|moufe|noufe|iufe|miufe|toufe	<i>verb</i><br><ol><li>(transitive) to plait</li></ol>
uga	<i>verb</i><br><ol><li>(stative) to be hard, solid</li></ol>
ugauga	<i>noun</i><br><ol><li>the crêpe ginger (Cheilocostus speciosus)</li></ol>
uge	<i>noun</i><br><ol><li>vegetables</li></ol>
ugu	<i>noun</i><br><ol><li>the buttocks</li></ol>
uhi|nouhi|ouhi|youhi|iuhi|niuhi|mouhi|fouhi|touhi|miuhi	<i>verb</i><br><ol><li>(intransitive) to stream, to flow</li></ol>
uju|miuju|nouju|mouju|fouju|touju|niuju|ouju|youju|iuju	<i>verb</i><br><ol><li>to wash clothes</li></ol>
ujuuju	<i>noun</i><br><ol><li>laundry</li></ol>
uku	<i>noun</i><br><ol><li>fire</li></ol>
ula|oula|iula|miula|youla|toula|moula|noula|foula|niula	<i>verb</i><br><ol><li>(transitive) to pulverize</li></ol>
ulu|toulu|miulu|noulu|iulu|youlu|moulu|niulu|oulu|foulu	<i>verb</i><br><ol><li>(stative) to be slack (of rope, etc.)</li></ol>
ume|foume|noume|iume|moume|miume|toume|youme|niume|oume	<i>verb</i><br><ol><li>(transitive) to cast, throw</li></ol>
umur	<i>noun</i><br><ol><li>age</li></ol>
una|ؤن|i|o	<i>pron</i><br><ol><li>(masculine) third-person singular pronoun, he</li></ol>
uni|miuni|nouni|youni|iuni|touni|niuni|ouni|mouni|founi	<i>verb</i><br><ol><li>(transitive) alternative form of wuni (“to watch”)</li></ol>
upa|moupa|oupa|toupa|noupa|iupa|miupa|youpa|niupa|foupa	<i>verb</i><br><ol><li>(stative) to be hot</li></ol>
upas	<i>noun</i><br><ol><li>an attendant of the sultan</li></ol>
uri	<i>noun</i><br><ol><li>rattan</li></ol>
uru	<i>noun</i><br><ol><li>edge</li><li>a beak (of a bird)</li></ol>
use|ouse|touse|mouse|miuse|fouse|iuse|youse|niuse|nouse	<i>verb</i><br><ol><li>(transitive) to pour out</li><li>(transitive) to throw away</li></ol>
usipera|ؤسڤيرة	<i>noun</i><br><ol><li>a kind of cannon</li></ol>
usu|ousu|niusu|fousu|nousu|tousu|mousu|miusu|yousu|iusu	<i>verb</i><br><ol><li>(transitive) to infiltrate</li></ol>
usus	<i>noun</i><br><ol><li>intestine</li></ol>
uto|iuto|mouto|niuto|youto|fouto|touto|nouto|outo|miuto	<i>verb</i><br><ol><li>(transitive) to plant</li></ol>
utu|youtu|foutu|noutu|toutu|outu|iutu|niutu|moutu|miutu	<i>verb</i><br><ol><li>(transitive) to harvest</li></ol><br><i>noun</i><br><ol><li>a kind of small squid</li></ol>
utusan	<i>noun</i><br><ol><li>a representative</li></ol>
wa	<i>particle</i><br><ol><li>sentence-final confirmation particle; isn't it?</li><li>sentence-final that indicates the speaker knows or should know what is being said</li></ol>
wadaka|niwadaka|owadaka|mowadaka|towadaka|واداکه|iwadaka|yowadaka|fowadaka|miwadaka|nowadaka	<i>noun</i><br><ol><li>powder</li></ol><br><i>verb</i><br><ol><li>(transitive) to rub</li><li>(transitive) to rub in, to rub into</li></ol>
