.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
Gebara|Gebarari|Gebaratzat|Gebarara|Gebararen|Gebararaino|Gebararantz|Gebararako|Gebararengatik|Gebararik|Gebararentzat|Gebaratik|Gebarako|Gebarak|Gebaraz|Gebaran|Gebararekin	<i>name</i><br><ol><li>A village in Barrundia, Álava, Basque Country, Spain</li></ol>
Georgia|Georgiako|Georgiaren|Georgiarentzat|Georgiaz|Georgiara|Georgiarik|Georgiak|Georgiarekin|Georgiari|Georgiarantz|Georgiarako|Georgian|Georgiatzat|Georgiatik|Georgiaraino|Georgiarengatik	<i>name</i><br><ol><li>Georgia (a country in Europe and Asia)</li><li>Georgia (a state of the United States)</li></ol>
Ghana|Ghanan|Ghanari|Ghanatik|Ghanara|Ghanarik|Ghanarantz|Ghanarekin|Ghanatzat|Ghanako|Ghanarengatik|Ghanaz|Ghanarako|Ghanaren|Ghanak|Ghanarentzat|Ghanaraino	<i>name</i><br><ol><li>Ghana (a country in West Africa)</li></ol>
Ginea	<i>name</i><br><ol><li>Guinea (a country in West Africa)</li></ol>
Gipuzkoa|Gipuzkoarako|Gipuzkoarantz|Gipuzkoarengatik|Gipuzkoatzat|Gipuzkoarekin|Gipuzkoak|Gipuzkoatik|Gipuzkoarik|Gipuzkoan|Gipuzkoarentzat|Gipuzkoako|Gipuzkoaraino|Gipuzkoaren|Gipuzkoara|Gipuzkoaz|Gipuzkoari	<i>name</i><br><ol><li>Guipúzcoa (a province of the Basque Country, Spain)</li></ol>
Grezia|Greziarik|Greziako|Greziatzat|Greziak|Greziaz|Greziaraino|Greziarantz|Greziarekin|Greziaren|Greziarentzat|Grezian|Greziara|Greziari|Greziatik|Greziarengatik|Greziarako	<i>name</i><br><ol><li>Greece</li></ol>
H|h	<i>character</i><br><ol><li>The eighth letter of the Basque alphabet, called hatxe and written in the Latin script.</li></ol>
Hego Afrika|Hego Afrikari|Hego Afrikaren|Hego Afrikarentzat|Hego Afrikarengatik|Hego Afrikatzat|Hego Afrikarekin|Hego Afrikako|Hego Afrikara|Hego Afrikarantz|Hego Afrikatik|Hego Afrikaz|Hego Afrikaraino|Hego Afrikarako|Hego Afrikak|Hego Afrikarik|Hego Afrikan	<i>name</i><br><ol><li>South Africa</li></ol>
Hego Korea|Hego Horea	<i>name</i><br><ol><li>South Korea</li></ol>
Hendaia	<i>name</i><br><ol><li>Hendaye (a town in the Pyrénées-Atlantiques department, France)</li></ol>
Herbehereak|Herbehereetarako|Herbehereengatik|Herbehereetara|Herbehereekin|Herbehereen|Herbehereetatik|Herbehereetarantz|Herbehererik|Herbehereek|Herbehereetaraino|Herbeheretzat|Herbehere|Herbehereetako|Herbehereetan|Herbehereei|Herbehereez|Herbehereentzat	<i>name</i><br><ol><li>Netherlands</li></ol>
Hungaria|Hungariarengatik|Hungariarantz|Hungariari|Hungariak|Hungariarik|Hungariako|Hungariaraino|Hungariarekin|Hungariatik|Hungariaren|Hungarian|Hungariarentzat|Hungariatzat|Hungariara|Hungariaz|Hungariarako	<i>name</i><br><ol><li>Hungary</li></ol>
I|i	<i>character</i><br><ol><li>The ninth letter of the Basque alphabet, called i and written in the Latin script.</li></ol>
Ilargia|Ilargiarentzat|Ilargiaz|Ilargiarekin|Ilargirantz|Ilargitik|Ilargi|Ilargitzat|Ilargiaren|Ilargirako|Ilargirik|Ilargira|Ilargiak|Ilargiari|Ilargiko|Ilargiarengatik|Ilargiraino|Ilargian	<i>name</i><br><ol><li>the Moon</li></ol>
Ingalaterra|Ingalaterran|Ingalaterrarentzat|Ingalaterrako|Ingalaterrara|Ingalaterrarantz|Ingalaterrarekin|Ingalaterraren|Ingalaterrak|Ingalaterrari|Ingalaterrarik|Ingalaterraz|Ingalaterrarako|Ingalaterratzat|Ingalaterraraino|Ingalaterratik|Ingalaterrarengatik	<i>name</i><br><ol><li>England</li></ol>
Ipar Korea	<i>name</i><br><ol><li>North Korea</li></ol>
Iratxe|Iratxez|Iratxerantz|Iratxerengandik|Iratxeren|Iratxerik|Iratxera|Iratxerengan|Iratxek|Iratxeko|Iratxeri|Iratxeraino|Iratxetik|Iratxerenganako|Iratxerekin|Iratxerenganantz|Iratxerentzat|Iratxerenganaino|Iratxetzat|Iratxerengana|Iratxen|Iratxerako|Iratxerengatik	<i>name</i><br><ol><li>A village in Ayegui, Navarre, Spain</li><li>A monastery in said village</li></ol>
Irlanda|Irlandarako|Irlandaz|Irlandarengatik|Irlandarekin|Irlandan|Irlandako|Irlandarantz|Irlandatik|Irlandatzat|Irlandara|Irlandaren|Irlandarik|Irlandarentzat|Irlandari|Irlandaraino|Irlandak	<i>name</i><br><ol><li>Ireland (an island in Europe)</li><li>Ireland (a country in Europe)</li></ol>
Irulegi	<i>name</i><br><ol><li>Irouléguy (a town in the Pyrénées-Atlantiques department, France)</li></ol>
Iruña|Iruñarantz|Iruñaz|Iruñarako|Iruñaraino|Iruñarengatik|Iruñaren|Iruñarekin|Iruñako|Iruñak|Iruñatik|Iruñari|Iruñarik|Iruñan|Iruñarentzat|Iruñatzat|Iruñara	<i>name</i><br><ol><li>Nonstandard form of Iruñea.</li></ol>
Iruñea|Iruñeko|Iruñearentzat|Iruñearen|Iruñera|Iruñeaz|Iruñeak|Iruñeraino|Iruñetzat|Iruñearengatik|Iruñerantz|Iruñetik|Iruñerik|Iruñeari|Iruñean|Iruñe|Iruñerako|Iruñearekin	<i>name</i><br><ol><li>Pamplona (the capital city of Navarre, Spain)</li></ol>
Islandia|Islandiarentzat|Islandiak|Islandiarengatik|Islandiara|Islandiatik|Islandiaz|Islandiarako|Islandiarekin|Islandiatzat|Islandiarik|Islandiarantz|Islandiaraino|Islandiari|Islandian|Islandiaren|Islandiako	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Italia|Italiaraino|Italiaz|Italiako|Italiari|Italiatzat|Italiaren|Italiarako|Italiarengatik|Italiara|Italiarantz|Italiak|Italian|Italiatik|Italiarentzat|Italiarik|Italiarekin	<i>name</i><br><ol><li>Italy</li></ol>
Itziar|Itziarrentzat|Itziarri|Itziartzat|Itziarrengana|Itziarrera|Itziarrekin|Itziarrerantz|Itziarren|Itziarreraino|Itziarrengatik|Itziarrik|Itziarrek|Itziarrez|Itziarrenganako|Itziarko|Itziarrerako|Itziarrengandik|Itziarrenganantz|Itziarrengan|Itziarrenganaino|Itziartik	<i>name</i><br><ol><li>A neighborhood of Deba, Gipuzkoa, Basque Country, Spain</li><li>A shrine in said municipality</li></ol>
Izaro|Izaron|Izarorengana|Izarorik|Izarorenganako|Izarorengatik|Izarora|Izaroraino|Izaroren|Izaroko|Izarotik|Izarorentzat|Izarorengan|Izarorantz|Izarok|Izarorako|Izarori|Izarorengandik|Izarotzat|Izarorenganantz|Izarorekin|Izarorenganaino|Izaroz	<i>name</i><br><ol><li>An island in Bermeo, Biscay, Basque Country, Spain</li></ol>
J|j	<i>character</i><br><ol><li>The tenth letter of the Basque alphabet, called jota and written in the Latin script.</li></ol>
Japonia|Japoniarentzat|Japoniatik|Japoniaraino|Japonian|Japoniak|Japoniari|Japoniarekin|Japoniatzat|Japoniara|Japoniarengatik|Japoniarantz|Japoniako|Japoniarako|Japoniarik|Japoniaz|Japoniaren	<i>name</i><br><ol><li>Japan</li></ol>
Jaungoikoa|Jaungoikoaren|Jaungoikotzat|Jaungoikoarengatik|Jaungoikoarenganako|Jaungoikoarekin|Jaungoikoarengana|Jaungoikoari|Jaungoikoarenganantz|Jaungoikoarenganaino|Jaungoikoak|Jaungoikorik|Jaungoikoaz|Jaungoikoarentzat|Jaungoikoarengandik|Jaungoiko|Jaungoikoarengan	<i>name</i><br><ol><li>(Christianity) God</li></ol>
Jon|Joni|Jonengana|Jonik|Jonengatik|Jonekin|Jonenganako|Jonengandik|Jonenganaino|Jontzat|Jonek|Jonengan|Jonentzat|Jonenganantz|Jonez|Jonen	<i>name</i><br><ol><li>John (Biblical character)</li></ol>
Jugoslavia|Jugoslaviatzat|Jugoslaviatik|Jugoslavian|Jugoslaviarentzat|Jugoslaviarengatik|Jugoslaviarik|Jugoslaviak|Jugoslaviari|Jugoslaviarantz|Jugoslaviaren|Jugoslaviarekin|Jugoslaviara|Jugoslaviaz|Jugoslaviaraino|Jugoslaviarako|Jugoslaviako	<i>name</i><br><ol><li>Yugoslavia</li></ol>
Jugoslaviako Errepublika Federal Sozialista|Jugoslaviako Errepublika Federal Sozialistara|Jugoslaviako Errepublika Federal Sozialistarik|Jugoslaviako Errepublika Federal Sozialistaraino|Jugoslaviako Errepublika Federal Sozialistatik|Jugoslaviako Errepublika Federal Sozialistari|Jugoslaviako Errepublika Federal Sozialistarantz|Jugoslaviako Errepublika Federal Sozialistan|Jugoslaviako Errepublika Federal Sozialistaren|Jugoslaviako Errepublika Federal Sozialistatzat|Jugoslaviako Errepublika Federal Sozialistako|Jugoslaviako Errepublika Federal Sozialistarako|Jugoslaviako Errepublika Federal Sozialistak|Jugoslaviako Errepublika Federal Sozialistarengatik|Jugoslaviako Errepublika Federal Sozialistarentzat|Jugoslaviako Errepublika Federal Sozialistaz|Jugoslaviako Errepublika Federal Sozialistarekin	<i>name</i><br><ol><li>Socialist Federal Republic of Yugoslavia</li></ol>
K|k	<i>character</i><br><ol><li>The eleventh letter of the Basque alphabet, called ka and written in the Latin script.</li></ol>
K.a.	<i>adv</i><br><ol><li>Initialism of Kristo aurretik (“B.C.”).</li></ol>
Kamerun|Kamerundik|Kameruneraino|Kamerunen|Kamerunentzat|Kameruntzat|Kamerunez|Kamerunengatik|Kamerunek|Kamerunera|Kamerunik|Kameruni|Kamerunekin|Kamerunerako|Kamerunerantz|Kamerungo	<i>name</i><br><ol><li>Cameroon (a country in Africa)</li></ol>
Kartago	<i>name</i><br><ol><li>Carthage (an ancient city in North Africa, in modern Tunisia)</li><li>Carthage (an ancient civilisation in North Africa, centred on the city of Carthage)</li></ol>
Kazakhstan|Kazakhstanez|Kazakhstanerako|Kazakhstanera|Kazakhstantzat|Kazakhstanerantz|Kazakhstandik|Kazakhstanekin|Kazakhstanek|Kazakhstanen|Kazakhstani|Kazakhstanengatik|Kazakhstanentzat|Kazakhstanik|Kazakhstaneraino|Kazakhstango	<i>name</i><br><ol><li>Kazakhstan (a country in Central Asia)</li></ol>
Kirgizistan	<i>name</i><br><ol><li>Kyrgyzstan</li></ol>
Kroazia|Kroaziak|Kroaziarako|Kroaziarik|Kroaziarentzat|Kroaziatzat|Kroaziaz|Kroaziarengatik|Kroaziako|Kroaziarekin|Kroaziara|Kroaziatik|Kroaziaren|Kroazian|Kroaziaraino|Kroaziarantz|Kroaziari	<i>name</i><br><ol><li>Croatia</li></ol>
Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
L|l	<i>character</i><br><ol><li>The twelfth letter of the Basque alphabet, called ele and written in the Latin script.</li></ol>
LAIA	<i>name</i><br><ol><li>Abbreviation of Langile Abertzale Iraultzaileen Alderdia. - a former Basque communist party - in English: Party of the Revolutionary Patriotic Workers.</li></ol>
Legazpi	<i>name</i><br><ol><li>A village in Gipuzkoa, Spain.</li></ol>
Lehen|Lehenenganako|Lehenen|Lehenez|Lehenik|Lehenekin|Lehenengana|Lehenek|Lehenenganaino|Lehenenganantz|Lehenentzat|Lehenengan|Leheni|Lehenengandik|Lehentzat|Lehenengatik	<i>name</i><br><ol><li>A mythological sea serpent.</li></ol>
Letonia|Letoniarik|Letoniako|Letoniatzat|Letoniarengatik|Letoniarentzat|Letoniari|Letoniaz|Letoniara|Letonian|Letoniarantz|Letoniarekin|Letoniaren|Letoniaraino|Letoniatik|Letoniarako|Letoniak	<i>name</i><br><ol><li>Latvia (a country in Europe)</li></ol>
Lituania|Lituaniatik|Lituaniara|Lituaniari|Lituaniako|Lituaniarako|Lituaniarengatik|Lituanian|Lituaniaraino|Lituaniarekin|Lituaniaz|Lituaniarantz|Lituaniarentzat|Lituaniaren|Lituaniarik|Lituaniatzat|Lituaniak	<i>name</i><br><ol><li>Lithuania (a country in Europe)</li></ol>
Lurmutur Hiria|Lurmutur Hirira|Lurmutur Hiriari|Lurmutur Hiriarentzat|Lurmutur Hiriko|Lurmutur Hiritik|Lurmutur Hirian|Lurmutur Hiri|Lurmutur Hiriaz|Lurmutur Hiritzat|Lurmutur Hiririk|Lurmutur Hiriaren|Lurmutur Hiriraino|Lurmutur Hirirantz|Lurmutur Hiriak|Lurmutur Hiriarengatik|Lurmutur Hiriarekin|Lurmutur Hirirako	<i>name</i><br><ol><li>Cape Town (the legislative capital of South Africa)</li></ol>
Lurra|Lurrarengatik|Lurrari|Lurrera|Lur|Lurrik|Lurtzat|Lurrarentzat|Lurraz|Lurretik|Lurrarekin|Lurrak|Lurrean|Lurrerantz|Lurraren|Lurreraino|Lurreko|Lurrerako	<i>name</i><br><ol><li>the Earth</li></ol>
Luxenburgo	<i>name</i><br><ol><li>Luxembourg</li></ol>
M|m	<i>character</i><br><ol><li>The thirteenth letter of the Basque alphabet, called eme and written in the Latin script.</li></ol>
Madril|Madrilgo|Madrilera|Madrilik|Madrilerantz|Madrilengatik|Madrilek|Madrili|Madrilen|Madriltzat|Madrilekin|Madrilerako|Madrilentzat|Madrildik|Madrilez|Madrileraino	<i>name</i><br><ol><li>Madrid (the capital city of Spain)</li><li>Madrid, Community of Madrid (an autonomous community of Spain)</li><li>Madrid (a province of the Community of Madrid, Spain)</li></ol>
Makaronesia|Makaronesiaraino|Makaronesiari|Makaronesian|Makaronesiarekin|Makaronesiaren|Makaronesiara|Makaronesiarako|Makaronesiatik|Makaronesiarengatik|Makaronesiaz|Makaronesiatzat|Makaronesiarentzat|Makaronesiarantz|Makaronesiak|Makaronesiarik|Makaronesiako	<i>name</i><br><ol><li>Macaronesia</li></ol>
Mali|Malin	<i>name</i><br><ol><li>Mali (a country in West Africa)</li></ol>
Malta|Maltatzat|Maltatik|Maltaren|Maltarekin|Maltarako|Maltak|Maltaz|Maltako|Maltarantz|Maltaraino|Maltari|Maltara|Maltarengatik|Maltarik|Maltarentzat|Maltan	<i>name</i><br><ol><li>Malta</li></ol>
Maroko|Marokoko|Marokorantz|Marokorako|Marokorik|Marokon|Marokok|Marokorengatik|Marokorekin|Marokorentzat|Marokoren|Marokora|Marokoz|Marokoraino|Marokotzat|Marokori|Marokotik	<i>name</i><br><ol><li>Morocco (a country in Africa)</li></ol>
Miarritze	<i>name</i><br><ol><li>Biarritz</li></ol>
Moldavia|Moldaviari|Moldaviara|Moldaviatik|Moldaviarekin|Moldaviaraino|Moldaviarik|Moldaviarako|Moldaviarantz|Moldaviarentzat|Moldaviak|Moldaviaren|Moldaviatzat|Moldaviaz|Moldaviako|Moldaviarengatik|Moldavian	<i>name</i><br><ol><li>Moldova (a country in Europe)</li></ol>
N|n	<i>character</i><br><ol><li>The fourteenth letter of the Basque alphabet, called ene and written in the Latin script.</li></ol>
NBE|NBE-ei|NBE-ak|NBE-ren|NBE-raino|NBE-etaraino|NBE-k|NBE-rekin|NBE-ari|NBE-arentzat|NBE-en|NBE-etarantz|NBE-tatik|NBE-etatik|NBE-ri|NBE-etako|NBE-tarantz|NBE-rako|NBE-etan|NBE-a|NBE-az|NBE-ko|NBE-tara|NBE-z|NBE-ez|NBE-tik|NBE-tan|NBE-rengatik|NBE-etara|NBE-tzat|NBE-aren|NBE-taraino|NBE-rantz|NBE-ek|NBE-an|NBE-engatik|NBE-ekin|NBE-ra|NBE-rentzat|NBE-rik|NBE-entzat|NBE-etarako|NBE-arekin|NBE-tako|NBE-tarako|NBE-arengatik	<i>noun</i><br><ol><li>Acronym of norbera babesteko ekipamendua (“PPE (personal protective equipment)”).</li></ol>
Norvegia|Norvegiako|Norvegiatik|Norvegiarik|Norvegiatzat|Norvegiara|Norvegiaz|Norvegiak|Norvegiarantz|Norvegiarako|Norvegiarentzat|Norvegiaren|Norvegiarekin|Norvegiaraino|Norvegian|Norvegiari|Norvegiarengatik	<i>name</i><br><ol><li>Norway</li></ol>
O|o	<i>character</i><br><ol><li>The sixteenth letter of the Basque alphabet, called o and written in the Latin script.</li></ol>
OHE|OHE-k|OHE-en|OHE-an|OHE-ko|OHE-etaraino|OHE-rengatik|OHE-a|OHE-tako|OHE-engatik|OHE-aren|OHE-tatik|OHE-arengatik|OHE-rentzat|OHE-z|OHE-tarantz|OHE-ren|OHE-tara|OHE-etako|OHE-etarako|OHE-etara|OHE-ak|OHE-rik|OHE-etatik|OHE-tik|OHE-arekin|OHE-tarako|OHE-arentzat|OHE-ez|OHE-tan|OHE-taraino|OHE-etarantz|OHE-rako|OHE-ari|OHE-ra|OHE-ekin|OHE-ek|OHE-rekin|OHE-etan|OHE-raino|OHE-rantz|OHE-ri|OHE-ei|OHE-tzat|OHE-entzat|OHE-az	<i>noun</i><br><ol><li>UFO</li></ol>
Orreaga	<i>name</i><br><ol><li>Roncesvaux (a pass in the Pyrenees).</li></ol>
Oñati|Oñatirentzat|Oñatirenganako|Oñatiz|Oñatirik|Oñatitik|Oñatik|Oñatirengatik|Oñatiren|Oñatirenganaino|Oñatirengan|Oñatira|Oñatirengana|Oñatirantz|Oñatiraino|Oñatirenganantz|Oñatirako|Oñatirengandik|Oñatitzat|Oñatiri|Oñatiko|Oñatirekin|Oñatin	<i>name</i><br><ol><li>A town in Gipuzkoa, Spain.</li></ol>
P|p	<i>character</i><br><ol><li>The seventeenth letter of the Basque alphabet, called pe and written in the Latin script.</li></ol>
Pandora	<i>name</i><br><ol><li>(Greek mythology) Pandora</li></ol>
Peirahorada|Peirahoradarako|Peirahoradarekin|Peirahoradak|Peirahoradara|Peirahoradatik|Peirahoradarik|Peirahoradaraino|Peirahoradan|Peirahoradaren|Peirahoradako|Peirahoradatzat|Peirahoradarengatik|Peirahoradarantz|Peirahoradaz|Peirahoradarentzat|Peirahoradari	<i>name</i><br><ol><li>Peyrehorade (a commune of the Landes department, France)</li></ol>
Petri	<i>name</i><br><ol><li>Peter (biblical character)</li></ol>
Pirinioak|Pirinioentzat|Pirinioetara|Piriniotzat|Pirinioek|Pirinio|Pirinioengatik|Pirinioetarantz|Pirinioen|Pirinioetan|Pirinioez|Pirinioetarako|Pirinioetatik|Pirinioetaraino|Pirinioekin|Pirinioei|Pirinioetako|Piriniorik	<i>name</i><br><ol><li>The Pyrenees</li></ol>
Polonia|Poloniaren|Poloniarekin|Poloniarik|Poloniatzat|Poloniak|Polonian|Poloniarentzat|Poloniara|Poloniaraino|Poloniako|Poloniarantz|Poloniari|Poloniatik|Poloniarako|Poloniaz|Poloniarengatik	<i>name</i><br><ol><li>Poland</li></ol>
Portugal|Portugaldik|Portugalez|Portugaltzat|Portugalik|Portugalen|Portugalekin|Portugaletik|Portugalentzat|Portugalera|Portugalerantz|Portugalek|Portugalerako|Portugaleraino|Portugalgo|Portugali|Portugaleko|Portugalengatik	<i>name</i><br><ol><li>Portugal (a country in Southern Europe)</li></ol>
Q|q	<i>character</i><br><ol><li>The eighteenth letter of the Basque alphabet, called ku and written in the Latin script.</li></ol>
R|r	<i>character</i><br><ol><li>The nineteenth letter of the Basque alphabet, called erre and written in the Latin script.</li></ol>
S|s	<i>character</i><br><ol><li>The twentieth letter of the Basque alphabet, called ese and written in the Latin script.</li></ol>
Satan|Satanengana|Satanengandik|Satanenganantz|Satanengatik|Satanen|Satanengan|Satanik|Satanek|Satanekin|Satanez|Satantzat|Satanenganako|Satanentzat|Satanenganaino|Satani	<i>name</i><br><ol><li>Satan, the Devil</li></ol>
Serbia|Serbiarengatik|Serbiarekin|Serbiaz|Serbian|Serbiari|Serbiatik|Serbiaren|Serbiarik|Serbiak|Serbiatzat|Serbiarantz|Serbiara|Serbiako|Serbiaraino|Serbiarako|Serbiarentzat	<i>name</i><br><ol><li>Serbia</li></ol>
Sofokles	<i>name</i><br><ol><li>Sophocles</li></ol>
Suedia|Suediaren|Suediaz|Suediara|Suediaraino|Suediarantz|Suediarako|Suediatik|Suediarengatik|Suediarekin|Suediarik|Suediatzat|Suediak|Suediari|Suediako|Suedian|Suediarentzat	<i>name</i><br><ol><li>Sweden (a country in Europe)</li></ol>
Suitza|Suitzari|Suitzarantz|Suitzarik|Suitzan|Suitzak|Suitzako|Suitzatzat|Suitzarengatik|Suitzara|Suitzaraino|Suitzarekin|Suitzarako|Suitzaren|Suitzatik|Suitzaz|Suitzarentzat	<i>name</i><br><ol><li>Switzerland</li></ol>
T|t	<i>character</i><br><ol><li>The twenty-first letter of the Basque alphabet, called te and written in the Latin script.</li></ol>
Ternua|Ternuraino|Ternurantz|Ternuaren|Ternuarengatik|Ternuaz|Ternutik|Ternuarekin|Ternu|Ternuko|Ternurako|Ternurik|Ternutzat|Ternura|Ternuan|Ternuak|Ternuarentzat|Ternuari	<i>name</i><br><ol><li>Newfoundland (an island in Canada).</li></ol>
Transnistria	<i>name</i><br><ol><li>Transnistria (a breakaway country in Moldova)</li></ol>
Tunisia|Tunisiatik|Tunisiara|Tunisiarik|Tunisian|Tunisiaraino|Tunisiarako|Tunisiarekin|Tunisiaren|Tunisiako|Tunisiari|Tunisiarantz|Tunisiarentzat|Tunisiaz|Tunisiatzat|Tunisiarengatik|Tunisiak	<i>name</i><br><ol><li>Tunisia (a country in Africa)</li></ol>
Turkia|Turkiatzat|Turkiarik|Turkiarekin|Turkiarengatik|Turkiaraino|Turkiarako|Turkiarentzat|Turkiaz|Turkiarantz|Turkiari|Turkiara|Turkiako|Turkian|Turkiatik|Turkiak|Turkiaren	<i>name</i><br><ol><li>Turkey</li></ol>
Txekiar Errepublika	<i>name</i><br><ol><li>Czech Republic</li></ol>
Txile	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Txina|Txinaraino|Txinatik|Txinari|Txinaz|Txinarantz|Txinarentzat|Txinan|Txinatzat|Txinako|Txinarako|Txinak|Txinaren|Txinarekin|Txinara|Txinarengatik|Txinarik	<i>name</i><br><ol><li>China</li></ol>
U|u	<i>character</i><br><ol><li>The twenty-second letter of the Basque alphabet, called u and written in the Latin script.</li></ol>
Ukraina|Ukrainatik|Ukrainatzat|Ukrainaz|Ukrainak|Ukrainari|Ukrainan|Ukrainara|Ukrainaraino|Ukrainarantz|Ukrainarik|Ukrainaren|Ukrainarengatik|Ukrainako|Ukrainarentzat|Ukrainarako|Ukrainarekin	<i>name</i><br><ol><li>Ukraine (a country in Eastern Europe; capital and largest city: Kyiv)</li></ol>
Urizaharra|Urizaharraren|Urizaharreko|Urizaharrik|Urizaharraz|Urizaharrean|Urizaharrarekin|Urizaharrerantz|Urizahartzat|Urizaharrari|Urizaharrarengatik|Urizaharrera|Urizaharrerako|Urizaharreraino|Urizaharrarentzat|Urizaharretik|Urizahar|Urizaharrak	<i>name</i><br><ol><li>A village and municipality of Álava, Basque Country, Spain</li></ol>
V|v	<i>character</i><br><ol><li>The twenty-third letter of the Basque alphabet, called uve and written in the Latin script.</li></ol>
W|w	<i>character</i><br><ol><li>The twenty-fourth letter of the Basque alphabet, called uve bikoitz and written in the Latin script.</li></ol>
Wikiztegia|Wikiztegiak|Wikiztegiaz|Wikiztegitik|Wikiztegirik|Wikiztegitzat|Wikiztegian|Wikiztegiarentzat|Wikiztegiarekin|Wikiztegira|Wikiztegi|Wikiztegiarengatik|Wikiztegiko|Wikiztegiari|Wikiztegirako|Wikiztegiraino|Wikiztegiaren|Wikiztegirantz	<i>name</i><br><ol><li>Wiktionary</li></ol>
X|x	<i>character</i><br><ol><li>The twenty-fifth letter of the Basque alphabet, called ixa and written in the Latin script.</li></ol>
Xuban	<i>name</i><br><ol><li>Xuban (ancient deity)</li></ol>
Y|y	<i>character</i><br><ol><li>The twenty-sixth letter of the Basque alphabet, called i greko and written in the Latin script.</li></ol>
Z|z	<i>character</i><br><ol><li>The twenty-seventh letter of the Basque alphabet, called zeta and written in the Latin script.</li></ol>
Zaldibar	<i>name</i><br><ol><li>A village in Biscay, Spain.</li></ol>
Zarautz|Zarautzera|Zarautzengatik|Zarautzen|Zarautzeraino|Zarautzerako|Zarautzik|Zarauztzat|Zarautzentzat|Zarautzek|Zarauzko|Zarautzerantz|Zarautzez|Zarautzekin|Zarauztik|Zarautzi	<i>name</i><br><ol><li>Zarautz (a town and municipality of the Basque Country, Spain)</li></ol>
Zeelanda Berria|Zeelanda Berrira|Zeelanda Berriarengatik|Zeelanda Berri|Zeelanda Berriraino|Zeelanda Berriari|Zeelanda Berritik|Zeelanda Berriak|Zeelanda Berrirantz|Zeelanda Berrian|Zeelanda Berririk|Zeelanda Berritzat|Zeelanda Berriaz|Zeelanda Berrirako|Zeelanda Berriaren|Zeelanda Berriko|Zeelanda Berriarentzat|Zeelanda Berriarekin	<i>name</i><br><ol><li>New Zealand</li></ol>
