Aaden	<i>noun</i><br><ol><li>harvest</li></ol>
ou|oue|deerou|hierou|wierou|oawe	<i>prep</i><br><ol><li>from</li></ol><br><i>adj</i><br><ol><li>detached</li><li>tired</li><li>distant</li><li>(games) out</li></ol>
ouannerje|annerdest ou|annere ou|tou ouannerjen|annerde ou|annerjet ou|annerje ou|hääbe|ouannerd|annerst ou|annert ou|Gruundfoarm: ouannerje|annerden ou	<i>verb</i><br><ol><li>to alter, change</li></ol>
oubaadenje|baadenst ou|tou oubaadenjen|baadent ou|baadenden ou|baadenje ou|baadene ou|baadende ou|baadendest ou|Gruundfoarm: oubaadenje|baadenjet ou|oubaadend|hääbe	<i>verb</i><br><ol><li>to burn out</li></ol>
oubaanje|baanst ou|baandest ou|oubaand|baant ou|baanjet ou|baande ou|tou oubaanjen|baanje ou|baanden ou|baane ou|Gruundfoarm: oubaanje|hääbe	<i>verb</i><br><ol><li>to burn out</li></ol>
oubaue|baue ou|häived|bau ou|oubauden|hieden|oubaude|oubaut|oubaud|oubaudest|hied|outoubauen|bauet ou|häbe|tou häben|baust ou|hiest|baude ou|baudest ou|hääst|bauden ou|hääbe|häbet|heeuwed|oubaust|häd|baut ou|hääb	<i>verb</i><br><ol><li>(transitive) to take down</li><li>(transitive) to dismantle</li><li>(intransitive) to weaken (due to an illness)</li></ol>
oubiete|häived|hieden|beten ou|bietet ou|hied|bit ou|oubetest|oubitst|oubit|häbe|beet ou|tou häben|outoubiete|biete ou|bitst ou|oubíeten|hiest|oubeten|hääst|oubeet|hääbe|betest ou|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to bite off</li></ol>
oubildje|tou oubildjen|bildeden ou|bildedest ou|bildet ou|hääbe|oubilded|bildest ou|bildje ou|bilde ou|bildede ou|Gruundfoarm: oubildje|bildjet ou	<i>verb</i><br><ol><li>to portray, depict, picture</li><li>to map, outline</li></ol>
oubleedje|bleedje ou|oubleeded|bleedjet ou|tou oubleedjen|bleedest ou|bleedede ou|bleededen ou|bleedet ou|Gruundfoarm: oubleedje|bleededest ou|bleede ou|hääbe	<i>verb</i><br><ol><li>to chip off, peel off, flake off</li></ol>
oubreke|oubriekest|häived|hieden|breek ou|breket ou|oubriek|outoubreken|oubrieken|briek ou|briekest ou|bräk ou|hied|oubräkt|häbe|tou häben|oubreken|bräkt ou|hiest|hääst|brieken ou|breke ou|hääbe|oubreeke|häbet|heeuwed|bräkst ou|häd|hääb|oubräkst	<i>verb</i><br><ol><li>(transitive) to break off</li><li>(transitive) to demolish</li></ol>
oufertjoonje|tou oufertjoonjen|fertjoonden ou|fertjoonst ou|fertjoondest ou|fertjoone ou|fertjoonje ou|fertjoont ou|oufertjoond|fertjoonjet ou|fertjoonde ou|Gruundfoarm: oufertjoonje|hääbe	<i>verb</i><br><ol><li>to work off</li><li>to proces</li><li>to slave, slave away, work one's finger to the bone</li></ol>
oulegerje|outoulegerjen|häived|oulegert|hieden|legerdest ou|oulegerdest|legert ou|leger ou|hied|häbe|tou häben|legerde ou|hiest|legerst ou|legerjet ou|hääst|legerje ou|oulegerden|hääb|hääbe|oulegerst|häbet|heeuwed|legerden ou|häd|oulegerd|oulegerde	<i>verb</i><br><ol><li>(transitive) to let mature (of cheese, fruits etc.)</li></ol>
ousoange|soang ou|häived|ousoangst|hieden|soange ou|ousoangden|ousoangt|hied|häbe|soangt ou|tou häben|soangde ou|ousoangd|outousoangen|soangst ou|hiest|ousoangde|hääst|hääb|hääbe|soangden ou|häbet|heeuwed|ousoangdest|soanget ou|häd|soangdest ou	<i>verb</i><br><ol><li>(transitive) to burn the sides of</li></ol>
pisje	<i>verb</i><br><ol><li>To urinate; piss</li></ol>
pleegje|häived|flägeden|pleeg|fläged|pleget|hieden|flägede|pleged|hied|flägest|häbe|tou häben|hiest|tou pleegjen|fläägjet|pleegjet|hääst|plegest|plegedest|plegeden|fläget|hääbe|fläägje|flägedest|plegede|häbet|heeuwed|tou fläägjen|häd|flääg|hääb	<i>verb</i><br><ol><li>(transitive) to look after; to care for</li><li>(intransitive, + tou) to perform habitually; to be used to</li></ol>
proppenful	<i>adj</i><br><ol><li>completely full</li></ol>
píepje|häived|hieden|píeped|píepede|píepjet|píepest|hied|píepedest|píep|häbe|tou häben|hiest|hääst|hääbe|tou píepjen|píepeden|píepet|häbet|heeuwed|häd|piepje|hääb	<i>verb</i><br><ol><li>(intransitive) to chirp</li><li>(intransitive) to whistle</li><li>(intransitive) to cuddle</li><li>(intransitive) to squeak</li><li>(intransitive) to play the pipe</li><li>(intransitive) to talk softly</li><li>(intransitive) to watch quietly</li><li>(intransitive) to whine; to squeal</li></ol>
reeke	<i>verb</i><br><ol><li>to give</li></ol>
reke|häived|hieden|reket|rakst|hied|häbe|tou häben|roat|roaten|hiest|tou reken|rakt|hääst|hääbe|roate|häbet|heeuwed|roatest|häd|hääb	<i>verb</i><br><ol><li>(transitive) to give</li><li>(transitive) to donate</li><li>(reflexive) to stretch</li><li>(reflexive) to forfeit</li><li>(reflexive, + as) to behave (like)</li><li>(impersonal, transitive) there be</li></ol>
rekenje|häived|reken|hieden|rekende|rekenst|Rekenjen|hied|häbe|tou häben|hiest|hääst|rekendest|hääbe|rekenden|rekend|häbet|rekenjet|heeuwed|tou rekenjen|häd|hääb|rekent	<i>verb</i><br><ol><li>(intransitive) to calculate</li><li>(intransitive, + ap) to count (on)</li><li>(intransitive, + mäd) to take into account</li><li>(transitive) to acknowledge; to appreciate</li><li>(transitive, + fon) to expect (from)</li></ol>
riesich	<i>adj</i><br><ol><li>gigantic; huge</li></ol>
rood|roder|roodst|rode	<i>adj</i><br><ol><li>red</li></ol>
rood Täk|rode Täkke	<i>noun</i><br><ol><li>(figuratively) red fox (Vulpes vulpes)</li><li>(figuratively) ginger, redhead</li><li>Used other than figuratively or idiomatically: see rood, Täk.</li></ol>
rosterje	<i>verb</i><br><ol><li>To roast</li></ol>
roupe|ruup|rupen|häived|hieden|ropst|ruupst|roup|hied|rúpen|häbe|tou häben|roupet|hiest|hääst|ropt|hääbe|tou roupen|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to call</li><li>(intransitive) to shout; to yell</li></ol>
rubje|häived|hieden|rubde|rubd|rubst|rubdest|rub|hied|rubden|häbe|tou häben|hiest|hääst|hääbe|rubt|tou rubjen|häbet|heeuwed|rubjet|häd|hääb	<i>verb</i><br><ol><li>to rub</li><li>to scratch, scrape</li><li>to pluck</li></ol>
ruuch|rouch	<i>adj</i><br><ol><li>rough; crude</li></ol>
räide	<i>verb</i><br><ol><li>To advise</li><li>To guess</li></ol>
sailje	<i>verb</i><br><ol><li>to sail</li></ol>
schoadje	<i>verb</i><br><ol><li>to harm, damage, injure, hurt</li></ol>
schälle	<i>verb</i><br><ol><li>will</li><li>want</li></ol>
seende	<i>verb</i><br><ol><li>to send</li></ol>
seerich	<i>adj</i><br><ol><li>sore</li><li>inflamed</li></ol>
sik	<i>pron</i><br><ol><li>himself, herself, itself, themselves</li></ol>
sin|sien|sinnen	<i>det</i><br><ol><li>his</li></ol>
sinloos	<i>adj</i><br><ol><li>foolish; senseless</li><li>meaningless</li></ol>
sinnen|sienen|sin	<i>pron</i><br><ol><li>his</li></ol>
sjo|häived|hieden|hied|häbe|tou häben|segen|tou sjoon|hiest|sjugst|seegst|hääst|hääbe|sjugt|blouked|saag|häbet|heeuwed|sjug|häd|hääb	<i>verb</i><br><ol><li>(transitive) to see</li></ol>
sjooët	<i>intj</i><br><ol><li>behold</li></ol>
sjunge|häived|hieden|sjungst|hied|tou sjungen|häbe|sjunget|tou häben|soang|soangen|hiest|soangst|hääst|hääbe|sjungt|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to sing</li></ol>
skaadich|skaddich	<i>adj</i><br><ol><li>shady</li></ol>
skeelde|skooltst|skäldst|häived|tou skeelden|hieden|skeeldet|skoolten|skäldt|hied|skoolt|häbe|tou häben|skúulden|hiest|hääst|hääbe|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to scold</li><li>(reflexive) to be called</li></ol>
skeeuw|skeeuwst|skeeuwer|skeeuwe	<i>adj</i><br><ol><li>crooked</li><li>bad, evil</li></ol>
skiene|häived|hieden|skinst|skíenst|hied|häbe|tou häben|hiest|hääst|skint|hääbe|skenen|skeen|häbet|heeuwed|tou skienen|skíenen|skeenst|häd|hääb|skíent	<i>verb</i><br><ol><li>(intransitive) to shine</li><li>(intransitive) to glimmer</li></ol>
skjou	<i>adj</i><br><ol><li>shy</li></ol>
skrieuwe|skrift|häived|skreeuwst|skreeuwen|skrif|hieden|skríeuwen|skrieuwet|hied|häbe|tou häben|hiest|hääst|hääbe|skreeuw|skrifst|häbet|heeuwed|tou skrieuwen|häd|hääb	<i>verb</i><br><ol><li>(transitive) to write</li><li>(reflexive) to be called</li></ol>
skälle|häived|skuuld|hieden|skuust|hied|skould|häbe|tou skällen|tou häben|skääst|hiest|hääst|hääbe|skuul|skäl|skulen|häbet|heeuwed|häd|skällen|hääb	<i>verb</i><br><ol><li>(auxiliary, present tense) Used to form the future tense of a verb, together with a grúundfoarme: to will</li><li>(auxiliary, past tense) Used to form the conditional mood of a verb, together with a grúundfoarme: to would</li><li>(auxiliary) Used to indicate intent or obligation to perform an action in the future: to shall; should</li></ol>
skäppe	<i>verb</i><br><ol><li>to create</li></ol>
skärp	<i>adj</i><br><ol><li>sharp</li></ol>
slau	<i>adj</i><br><ol><li>sly; clever; crafty</li></ol>
sljucht|sljuchtst|sljuchter|sljuchte	<i>adj</i><br><ol><li>bad, evil</li><li>smooth, slick</li><li>plain, simple</li><li>(of hair) straight</li></ol>
släipe|släpst|häived|hieden|släipet|Gruundfoarm: släipe|slíepen|hied|sliep|häbe|sliepen|tou häben|hiest|hääst|hääbe|sliepest|släip|häbet|heeuwed|släpt|släipen|häd|hääb	<i>verb</i><br><ol><li>To sleep</li><li>to copulate</li></ol>
smeele	<i>verb</i><br><ol><li>to smoulder</li><li>to glow</li></ol>
smielje	<i>verb</i><br><ol><li>To smile</li></ol>
smiete	<i>verb</i><br><ol><li>to throw</li></ol>
smoachtich	<i>adj</i><br><ol><li>hungry</li></ol>
smäl|smäller|smälle|smälst	<i>adj</i><br><ol><li>narrow</li></ol>
sniede	<i>verb</i><br><ol><li>To cut</li></ol>
snoagens	<i>adv</i><br><ol><li>nights; at night; by night; during the night</li></ol>
soalten	<i>adj</i><br><ol><li>salted</li></ol>
soaltig|soaltiger|soaltigst|soaltich|soaltige|soaltiche	<i>adj</i><br><ol><li>(Romelse) salty</li></ol>
soange|häived|hieden|soangden|soangd|hied|häbe|tou häben|tou soangen|soang|hiest|soangst|soangt|hääst|hääbe|soangdest|häbet|heeuwed|soangde|häd|hääb|soanget	<i>verb</i><br><ol><li>(transitive) to singe</li></ol>
sogen|soogen	<i>num</i><br><ol><li>seven</li></ol>
sogoar	<i>adv</i><br><ol><li>even</li></ol>
soogentien	<i>num</i><br><ol><li>seventeen</li></ol>
spits	<i>adj</i><br><ol><li>pointed, pointy</li><li>sharp</li></ol>
spoarsoam	<i>adj</i><br><ol><li>thrifty; economical</li></ol>
spoasich	<i>adj</i><br><ol><li>fun; comical</li></ol>
spreke|häived|hieden|spräk|spräkst|hied|häbe|tou spreken|tou häben|spriekst|hiest|spreken|sprieken|hääst|hääbe|spräkt|häbet|heeuwed|spriek|häd|spreket|hääb	<i>verb</i><br><ol><li>(intransitive) to speak</li></ol>
steenich	<i>adj</i><br><ol><li>stony</li></ol>
stierwe	<i>verb</i><br><ol><li>to die</li></ol>
stieuw	<i>adj</i><br><ol><li>stiff</li></ol>
stopje	<i>verb</i><br><ol><li>To plug</li><li>To stuff, cram</li></ol>
stounde|stude|häived|stoant|hieden|blieuw stounden|steen|blieuwet stounden|hied|häbe|stuust|tou stounden|tou häben|studen|hiest|hääst|hääbe|stoanst|häbet|heeuwed|stuud|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to stand</li><li>(intransitive) to be (placed, located)</li></ol>
strieke|strikst|häived|streekst|hieden|tou strieken|stríeken|strikt|strik|hied|strieket|häbe|tou häben|streken|hiest|hääst|hääbe|streek|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to stroke</li><li>(transitive) to paint</li><li>(transitive) to iron</li><li>(intransitive) to stray</li><li>(intransitive) to flow</li><li>(transitive, of sails) to lower</li><li>(intransitive, + ätter) to stalk; to follow</li></ol>
strookje|strokeden|häived|hieden|stroked|hied|häbe|tou häben|strokede|tou strookjen|hiest|hääst|hääbe|strook|stroket|strookjet|häbet|strokedest|strokest|heeuwed|häd|hääb	<i>verb</i><br><ol><li>to stroke; caress</li></ol>
stukwiese	<i>adv</i><br><ol><li>piecemeal; little by little; bit by bit</li></ol>
sukken|suk|sukke	<i>det</i><br><ol><li>such a</li></ol>
sumpich	<i>adj</i><br><ol><li>swampy, marshy</li></ol>
sunnich	<i>adj</i><br><ol><li>sunny</li></ol>
suund|gesuund	<i>adj</i><br><ol><li>healthy; sound</li></ol>
suur	<i>adj</i><br><ol><li>sour</li><li>acidic</li></ol>
suurgsoam	<i>adj</i><br><ol><li>careful; deliberate</li></ol>
sweer|sweerst|swere|swarrer	<i>adj</i><br><ol><li>heavy</li></ol>
swied	<i>adv</i><br><ol><li>very; much</li></ol>
swot|swoter|swootst|swotst|swote|swoot|swotter|swotte	<i>adj</i><br><ol><li>black</li></ol>
swoul	<i>adj</i><br><ol><li>sultry; sensuous</li><li>(of weather) humid; muggy; sticky; stuffy</li><li>close; oppressive; heavy</li></ol>
swäit	<i>adj</i><br><ol><li>sweet</li></ol>
swäk	<i>adj</i><br><ol><li>weak</li></ol>
säie	<i>verb</i><br><ol><li>to sew</li></ol>
säilden	<i>adj</i><br><ol><li>rare, uncommon, unusual</li></ol><br><i>adv</i><br><ol><li>seldom, rarely</li></ol>
säildsoam	<i>adj</i><br><ol><li>rare; uncommon</li></ol>
säks	<i>num</i><br><ol><li>six</li></ol>
säkstien	<i>num</i><br><ol><li>sixteen</li></ol>
sätte|tou häben|sätst|sättet|sättest|häived|häbet|sätten|hiest|hääb|heeuwed|tou sätten|hieden|hied|sät|hääst|häd|häbe|hääbe	<i>verb</i><br><ol><li>(transitive) to set</li><li>(transitive) to schedule</li><li>(transitive) to believe in</li><li>(reflexive) to resist</li><li>(reflexive, + tou) to refuse (to)</li><li>(reflexive, + juun) to rebel (against)</li></ol>
säärm|sälven|sääuwen	<i>pron</i><br><ol><li>personally, oneself</li></ol>
súurgje|súurgede|häived|súurgjet|hieden|súurgest|hied|tou súurgjen|häbe|tou häben|súurg|hiest|súurged|hääst|súurgedest|hääbe|häbet|heeuwed|súurget|súurgeden|häd|hääb	<i>verb</i><br><ol><li>(Romelse, Skäddel, intransitive) to make sure</li><li>(Romelse, Skäddel, intransitive, + foar) to care for</li><li>(Romelse, Skäddel, reflexive, + uum) to worry (about)</li><li>(Romelse, Skäddel, reflexive, + mäd or + uum) to look after</li></ol>
süük|säik	<i>adj</i><br><ol><li>sick; infirm; ailing</li></ol>
tachentich	<i>num</i><br><ol><li>eighty</li></ol>
takje|takjet|häived|takkeden|hieden|takkest|hied|tou takjen|häbe|tou häben|takkedest|hiest|hääst|takkede|hääbe|takket|häbet|tak|heeuwed|takked|häd|hääb	<i>verb</i><br><ol><li>to branch off</li><li>to ramify</li><li>to fork</li><li>to divide</li></ol>
talentful	<i>adj</i><br><ol><li>talented; gifted</li></ol>
ticht	<i>adj</i><br><ol><li>tight</li><li>close; near</li></ol>
tiedelk	<i>adj</i><br><ol><li>Of or relating to time; temporal; chronological</li></ol>
tjoon	<i>num</i><br><ol><li>ten</li></ol>
tjuk|tjukke|tjukker|tjukst	<i>adj</i><br><ol><li>thick</li><li>viscous</li><li>pregnant</li></ol>
toai|toaie|toaier|toaist	<i>adj</i><br><ol><li>tough, strong</li><li>tough, difficult</li><li>hardened, hard</li><li>thick, viscous</li></ol>
toanke|häived|hieden|tou toanken|toankst|toacht|hied|häbe|tou häben|hiest|toankt|hääst|toanket|hääbe|häbet|heeuwed|toachtest|toachte|häd|toachten|hääb	<i>verb</i><br><ol><li>(intransitive) to think</li><li>(reflexive) to imagine</li></ol>
tonkje|häived|tonkjet|hieden|tonked|tonkest|hied|tonkede|häbe|tou häben|tonkeden|tonket|hiest|tonkedest|hääst|hääbe|häbet|heeuwed|tonk|häd|tou tonkjen|hääb	<i>verb</i><br><ol><li>(transitive) to thank</li></ol>
tou|toust|wiertou|toue|hiertou|touer|deertou	<i>prep</i><br><ol><li>to</li><li>to, towards</li><li>for, on the occasion of</li></ol><br><i>adj</i><br><ol><li>closed, locked</li></ol>
touhope	<i>adv</i><br><ol><li>together</li></ol>
touhopewoonje	<i>verb</i><br><ol><li>(intransitive) to live together; to cohabit</li></ol>
touken	<i>adj</i><br><ol><li>next, upcoming date, time, space, or order.</li></ol>
tourääch	<i>adv</i><br><ol><li>back; in return</li></ol>
tousommen	<i>adv</i><br><ol><li>together</li></ol>
trjou	<i>adj</i><br><ol><li>honest; truthful; real</li></ol>
truch|hiertruch|deertruch|wiertruch	<i>prep</i><br><ol><li>through</li><li>throughout</li><li>by means of</li></ol><br><i>adv</i><br><ol><li>through</li></ol>
truuije|truuijed|häived|hieden|truuijedest|truuijest|truuijeden|hied|häbe|tou häben|hiest|hääst|truuijede|hääbe|tou truuijen|häbet|heeuwed|truuijet|häd|hääb	<i>verb</i><br><ol><li>(transitive) to threaten</li></ol>
truurich	<i>adj</i><br><ol><li>sad; grim</li></ol>
träi|trjo|tjo	<i>num</i><br><ol><li>three</li></ol>
trättien	<i>num</i><br><ol><li>thirteen</li></ol>
twelig|tweelich	<i>num</i><br><ol><li>twelve</li></ol>
twintich	<i>num</i><br><ol><li>twenty</li></ol>
twiske	<i>prep</i><br><ol><li>between</li></ol>
twäie	<i>adv</i><br><ol><li>twice</li></ol>
twäin|two	<i>num</i><br><ol><li>two</li></ol>
tään|täne|täner|täänst	<i>adj</i><br><ol><li>thin</li></ol>
uk	<i>adv</i><br><ol><li>also; too</li></ol>
ume|uume	<i>adj</i><br><ol><li>(of time) up, over</li></ol>
umewöile|umewöilst|häived|umewöilt|hieden|wöilet ume|wöilt ume|wöilde ume|wöil ume|umewöildest|hied|häbe|tou häben|umewöild|wöilden ume|hiest|wöilst ume|umewöilde|hääst|hääbe|umetouwöilen|häbet|heeuwed|wöile ume|häd|umewöilden|wöildest ume|hääb	<i>verb</i><br><ol><li>(transitive) to rummage; to grub</li><li>(intransitive) to rummage around</li></ol>
un	<i>conj</i><br><ol><li>and</li></ol>
undfange|undfanget|undfängest|häived|hieden|undfangde|undfäng|undfingest|undfangt|tou undfangen|undfangden|hied|häbe|undfangen|tou häben|hiest|hääst|hääbe|undfang|undfängen|undfangst|häbet|heeuwed|undfangdest|undfing|undfingen|häd|hääb	<i>verb</i><br><ol><li>(transitive) to receive</li><li>(transitive) to conceive (of a child)</li></ol>
unner	<i>adv</i><br><ol><li>under</li></ol><br><i>prep</i><br><ol><li>under</li></ol>
uum|hieruum|deeruum|wieruum	<i>prep</i><br><ol><li>around</li><li>about, around</li><li>at, about</li><li>because of, due to</li><li>(of time) at</li><li>(in requests) for</li></ol>
uunmoanskelk|uunmoanskelke|uunmoanskelker|uunmoanskelkst	<i>adj</i><br><ol><li>inhumane</li></ol>
uur|wieruur|hieruur|deeruur	<i>det</i><br><ol><li>other</li><li>the next</li></ol><br><i>pron</i><br><ol><li>other</li></ol><br><i>prep</i><br><ol><li>over</li><li>about</li><li>(of time) in</li><li>(of amount) over</li></ol><br><i>adv</i><br><ol><li>over</li><li>(of time) through; long</li></ol>
uursätte|häived|sätst uur|hieden|uurtousätten|sättet uur|sättest uur|sätten uur|hied|uursätten|häbe|sätte uur|tou häben|hiest|hääst|hääbe|sät uur|uursätst|uursät|häbet|heeuwed|uursättest|häd|hääb	<i>verb</i><br><ol><li>(transitive) to ferry</li><li>(transitive) to translate</li><li>(intransitive, + uur) to ferry (over)</li><li>(intransitive, + uur) to jump (over)</li></ol>
uurwinne|häived|hieden|uurwonst|uurwinst|hied|uurwon|häbe|uurwinnet|tou häben|tou uurwinnen|hiest|uurwonnen|hääst|uurwin|hääbe|häbet|uurwint|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to defeat</li><li>(transitive) to bear (a child)</li><li>(reflexive) to make up one's mind</li></ol>
uus|uzen	<i>pron</i><br><ol><li>ourselves</li></ol><br><i>det</i><br><ol><li>our</li></ol>
uut	<i>prep</i><br><ol><li>out of</li></ol><br><i>adv</i><br><ol><li>(of motion, chiefly in compounds) out, outside</li></ol>
uutkume|bääst|kum uut|kume uut|häived|bän|uutkoomst|kumst uut|ween|hieden|tou wezen|waas|wezen|is|sunt|wäs|weze|kumt uut|hied|uutkemen|häd|häbe|wieren|tou häben|uutkumt|wezet|uutkoom|hiest|kemen uut|weese|uuttoukumen|koomst uut|uutkumst|hääst|hääbe|koom uut|häbet|heeuwed|wierst|weden|kumet uut|hääb	<i>verb</i><br><ol><li>(intransitive) to come out</li><li>(intransitive) to come true</li><li>(intransitive) to hatch</li><li>(intransitive, + mäd) to avoid</li><li>(intransitive, + mäd) to get by (with)</li><li>(intransitive, card games) to play the first card</li></ol>
uutstounde|stuud uut|stoanst uut|häived|uutstuud|uutsteen|hieden|stuust uut|blieuw uutstounden|blieuwet uutstounden|hied|uutstuden|häbe|tou häben|studen uut|hiest|uutstoanst|uutstuust|hääst|uutstude|hääbe|stounde uut|häbet|heeuwed|stoant uut|uuttoustounden|uutstoant|häd|stude uut|hääb	<i>verb</i><br><ol><li>(transitive) to endure; to tolerate</li><li>(transitive, money) to be outstanding; to be owing</li></ol>
uzen|uus	<i>pron</i><br><ol><li>ours</li></ol>
waaske|häived|waasket|hieden|wuusket|hied|häbe|tou häben|wuusken|hiest|tou waasken|hääst|hääbe|waaskest|häbet|heeuwed|wuusk|wuuskest|waasken|häd|hääb	<i>verb</i><br><ol><li>to wash</li></ol>
wai|do Wege	<i>noun</i><br><ol><li>way</li></ol>
wanner	<i>adv</i><br><ol><li>when?</li><li>when</li></ol>
weeuwe	<i>verb</i><br><ol><li>to weave</li></ol>
weze|bääst|häived|ween|hieden|tou wezen|wezen|waas|is|sunt|wäs|hied|häbe|wieren|häd|tou häben|wezet|hiest|weese|hääst|hääbe|häbet|wierst|heeuwed|weden|bän|hääb	<i>verb</i><br><ol><li>(copulative) to be</li><li>(auxiliary) Used to form the present continuous, together with a present participle.</li><li>(auxiliary) Used to form the perfect tense of the passive voice, together with a past participle.</li><li>(auxiliary) Used to form the perfect tense of the active voice of some verbs, together with a past participle.</li></ol>
wie|uus	<i>pron</i><br><ol><li>we</li></ol>
wieke|weekst|bääst|häived|bän|ween|wiek|hieden|tou wezen|waas|wezen|is|sunt|wäs|week|wikst|weze|wíeken|weken|hied|häbe|wieren|tou häben|tou wieken|wezet|hiest|weese|hääst|hääbe|häbet|heeuwed|wierst|wikt|weden|wieket|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to yield; to make way</li></ol>
wieks	<i>adj</i><br><ol><li>weekly</li></ol>
wiendich	<i>adj</i><br><ol><li>windy</li></ol>
wier	<i>adv</i><br><ol><li>where?</li><li>where</li><li>again</li></ol>
wierspreeke	<i>verb</i><br><ol><li>(transitive) To contradict; gainsay</li></ol>
wieruum	<i>adv</i><br><ol><li>why?</li><li>why</li></ol>
wiet|wietst|wiete|wieter	<i>adj</i><br><ol><li>white</li></ol>
wilkemen|wülkemen	<i>intj</i><br><ol><li>welcome!</li></ol>
wilst	<i>conj</i><br><ol><li>while, whilst</li></ol>
winne|häived|wonnen|hieden|wonst|win|hied|won|häbe|tou häben|hiest|hääst|hääbe|winst|häbet|heeuwed|tou winnen|wint|winnet|häd|hääb	<i>verb</i><br><ol><li>(transitive) to win</li><li>(transitive) to earn</li></ol>
wipje|wippest|häived|hieden|wippet|wippede|wippeden|hied|wip|häbe|tou häben|hiest|tou wipjen|hääst|hääbe|wipped|häbet|heeuwed|wipjet|häd|hääb|wippedest	<i>verb</i><br><ol><li>(intransitive) to swing (on a swing)</li><li>(intransitive) to jump with both feet together</li><li>(intransitive) to swing back and forth while sitting</li><li>(intransitive, of boats) to be tied up, bobbing up and down in the water</li></ol>
wippelje|wippelt|häived|wippeljet|hieden|wippelde|wippel|wippeld|tou wippeljen|wippelst|hied|wippeldest|häbe|tou häben|wippelden|hiest|hääst|hääbe|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to seesaw</li><li>(intransitive) to go up and down</li><li>(intransitive) to waggle; to wobble</li><li>(intransitive) to jump from one small patch of ice to another</li></ol>
wo	<i>adv</i><br><ol><li>how?</li><li>how</li></ol>
woak	<i>adj</i><br><ol><li>awake</li></ol>
woaterch	<i>adj</i><br><ol><li>watery</li></ol>
wofuul	<i>adv</i><br><ol><li>how much</li></ol>
wolle|tou wollen|häived|hieden|wielt|wiel|wielen|wolt|wol|wüül|wülen|hied|wüült|wöild|häbe|wäild|tou häben|hiest|hääst|hääbe|häbet|heeuwed|wollen|häd|hääb	<i>verb</i><br><ol><li>(transitive) to want</li></ol>
wonskje|häived|hieden|wonsket|tou wonskjen|hied|häbe|tou häben|wonskeden|hiest|wonsked|hääst|wonskedest|hääbe|wonskjet|häbet|heeuwed|wonsk|wonskest|häd|hääb|wonskede	<i>verb</i><br><ol><li>(transitive) to wish</li></ol>
wook	<i>adj</i><br><ol><li>soft; gentle; pliable; tender</li></ol>
woonje|häived|hieden|woondest|hied|woonden|häbe|tou häben|woont|hiest|hääst|hääbe|woond|woonjet|woonst|woonde|häbet|tou woonjen|heeuwed|häd|woon|hääb	<i>verb</i><br><ol><li>(intransitive) to live; to reside</li></ol>
woorm|woormste|wamer|woorme	<i>adj</i><br><ol><li>warm</li></ol>
wreed	<i>adj</i><br><ol><li>arrogant; proud</li></ol>
wringe	<i>verb</i><br><ol><li>to wring</li></ol>
wulkenloos	<i>adj</i><br><ol><li>cloudless</li></ol>
wulkich	<i>adj</i><br><ol><li>cloudy</li></ol>
wunderboar	<i>adj</i><br><ol><li>wonderful</li></ol>
wuurich	<i>adj</i><br><ol><li>weary; tired</li></ol>
wäg	<i>adv</i><br><ol><li>away</li></ol>
wäggunge|bääst|häived|bän|ween|hieden|tou wezen|waas|wäggenen|wägtougunge|is|wezen|sunt|wäs|weze|gunget wäg|wäggenest|geen wäg|genest wäg|hied|häbe|wieren|tou häben|genen wäg|wezet|wäggungt|hiest|weese|hääst|hääbe|gungt wäg|gung wäg|häbet|wäggungst|gunge wäg|heeuwed|wierst|weden|häd|gungst wäg|hääb|wäggeen	<i>verb</i><br><ol><li>(intransitive) to go away; to leave</li></ol>
wäide|bääst|häived|bän|ween|wäd|hieden|tou wezen|waas|wezen|is|sunt|wäs|wuust|weze|hied|wädt|häbe|wieren|tou häben|wädst|wuud|wezet|wäidet|hiest|weese|hääst|hääbe|häbet|wuden|heeuwed|tou wäiden|wierst|weden|häd|hääb	<i>verb</i><br><ol><li>(copulative) to become</li><li>(transitive) to achieve</li><li>(intransitive) to succeed</li><li>(auxiliary) Used to form the imperfect tense of the passive voice, together with a past participle.</li></ol>
wäit	<i>adj</i><br><ol><li>wet</li></ol>
wäkker|wäkke	<i>det</i><br><ol><li>which?</li><li>which</li></ol><br><i>pron</i><br><ol><li>which (one)?</li><li>which (one)</li></ol>
wäl|wäls	<i>pron</i><br><ol><li>who?</li><li>who</li></ol>
wät	<i>pron</i><br><ol><li>what?</li><li>what</li><li>something</li></ol>
