Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
bag-ohan|bag-uhan	<i>noun</i><br><ol><li>(Partido) novice; amateur; apprentice</li></ol><br><i>verb</i><br><ol><li>(Partido) to change</li></ol>
baga	<i>noun</i><br><ol><li>ember</li><li>lung</li></ol><br><i>particle</i><br><ol><li>Emphatic expression determined by context.</li></ol>
bagaak	<i>noun</i><br><ol><li>outbreak</li></ol>
bagakay	<i>noun</i><br><ol><li>Schizostachyum lumampao; a bamboo species native to the Philippines</li><li>a spear made using the culm of this plant</li></ol>
bagang|bàgang	<i>noun</i><br><ol><li>(anatomy) molar</li></ol>
bagas|bagás	<i>noun</i><br><ol><li>rice seeds, used as food (particularly if raw and husked)</li></ol>
bagat|bágat	<i>noun</i><br><ol><li>obstruction</li></ol>
baghat|baghát	<i>noun</i><br><ol><li>relapse, becoming sick again because of prematurely returning to normal activities after a sickness seems to have passed</li></ol>
bagla|baglâ	<i>adj</i><br><ol><li>nasty</li><li>dirty</li><li>disgusting</li></ol>
baglaon|bagláon	<i>adj</i><br><ol><li>intensified form of bagla</li></ol>
bago|bâgo|bágo|bagô	<i>adj</i><br><ol><li>new</li></ol><br><i>verb</i><br><ol><li>to change</li></ol><br><i>prep</i><br><ol><li>before; prior to</li></ol><br><i>noun</i><br><ol><li>edema; dropsy</li></ol>
bagohan|bâgohan|baguhan|bagóhan|bagohán|bâgohán	<i>noun</i><br><ol><li>novice; amateur; apprentice</li></ol><br><i>verb</i><br><ol><li>to change</li></ol>
bagol|bagól|bágol	<i>adj</i><br><ol><li>numb</li></ol><br><i>noun</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) coconut shell</li></ol>
bagon|bagón	<i>noun</i><br><ol><li>(rail transport) railroad car (US); railway carriage (UK)</li><li>luggage cart</li></ol>
bagrat	<i>noun</i><br><ol><li>(angry register) rain</li></ol>
bagsak	<i>noun</i><br><ol><li>a fall with a thud</li><li>a crash (from something falling)</li><li>(by extension) failure</li></ol>
bagting|bagtíng	<i>noun</i><br><ol><li>sound of a bell; chime</li></ol>
bagtingan	<i>noun</i><br><ol><li>large bell</li></ol>
bagyo	<i>noun</i><br><ol><li>typhoon, tropical cyclone, storm</li></ol>
baha|bahâ	<i>noun</i><br><ol><li>flood</li></ol><br><i>adj</i><br><ol><li>flooded</li></ol>
bahaw	<i>noun</i><br><ol><li>stale food, no longer fresh in referrence to food especially to cooked rice</li></ol>
baho|bahô	<i>noun</i><br><ol><li>turtle</li></ol>
bahog	<i>noun</i><br><ol><li>feeding of animals</li></ol>
bahogon|bahogón	<i>verb</i><br><ol><li>to feed animals</li></ol>
bahon|bahón	<i>noun</i><br><ol><li>sneeze</li></ol>
baka|bakà	<i>noun</i><br><ol><li>cattle; cow</li></ol><br><i>adv</i><br><ol><li>maybe; probably; perhaps; might</li></ol>
bakal|bakál|bákal	<i>verb</i><br><ol><li>to purchase; to buy</li></ol><br><i>noun</i><br><ol><li>sale</li><li>deal (for goods)</li></ol>
bakalon|bakálon|bakalón	<i>noun</i><br><ol><li>grocery</li></ol><br><i>verb</i><br><ol><li>to buy; to purchase</li></ol>
bakawan|bakáwan	<i>noun</i><br><ol><li>mangrove</li></ol>
bakilid	<i>noun</i><br><ol><li>steep slope</li><li>(by extension) cliff</li></ol>
bakin	<i>adv</i><br><ol><li>(Daet, interrogative) why</li></ol>
bakla	<i>noun</i><br><ol><li>(derogatory) effeminate man; fag</li><li>gay male</li></ol>
baklay	<i>noun</i><br><ol><li>a long walk; a hike; a trek</li><li>(pathology) shingles; herpes zoster</li></ol>
bakli	<i>noun</i><br><ol><li>reform</li></ol>
bako|bakô	<i>particle</i><br><ol><li>not</li></ol>
bako ako interesado	<i>phrase</i><br><ol><li>I'm not interested</li></ol>
bakod	<i>noun</i><br><ol><li>fence</li></ol>
bakong iyo	<i>phrase</i><br><ol><li>(tag question) isn't it so</li></ol>
bakros	<i>noun</i><br><ol><li>bruise</li></ol>
bakunawa	<i>noun</i><br><ol><li>a dragon or sea serpent that rises from the ocean to swallow the moon causing an eclipse</li></ol>
bakya|bakyâ	<i>noun</i><br><ol><li>wooden shoes</li></ol>
balad|balád	<i>noun</i><br><ol><li>a sunbath (during midday)</li><li>manner of drying under the sun</li></ol>
baladon	<i>verb</i><br><ol><li>to sunbathe</li><li>to dry under the sun</li></ol>
balagon	<i>noun</i><br><ol><li>vine</li></ol>
balakid	<i>det</i><br><ol><li>(literary) many, much</li></ol>
balanak	<i>noun</i><br><ol><li>(a kind of fish) mullet</li></ol>
balangaw|balangáw	<i>noun</i><br><ol><li>rainbow</li></ol>
balanghayan	<i>noun</i><br><ol><li>grammar</li></ol>
balat	<i>noun</i><br><ol><li>shellfish (which breeds along the beaches)</li><li>(by extension, anatomy) skin; scalp</li></ol>
balatong	<i>noun</i><br><ol><li>(Naga) yardlong bean</li></ol>
balaw|baláw	<i>noun</i><br><ol><li>shrimp (small)</li><li>shrimp paste</li></ol>
balay|baláy	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) house; home</li></ol>
balayan	<i>noun</i><br><ol><li>hut</li></ol>
balaybay	<i>noun</i><br><ol><li>hanging of clothes</li></ol>
balaybayan	<i>noun</i><br><ol><li>clothesline</li></ol>
balayi	<i>noun</i><br><ol><li>in-law</li></ol>
balde	<i>noun</i><br><ol><li>bucket, pail</li></ol>
baldi|baldî	<i>adj</i><br><ol><li>disgusted</li></ol>
baldion	<i>verb</i><br><ol><li>to disgust; to spit up</li></ol>
balgar|balgár	<i>noun</i><br><ol><li>violation</li></ol>
balik	<i>adv</i><br><ol><li>inside out</li></ol><br><i>noun</i><br><ol><li>return; act of coming back, going back</li><li>act of returning (for) something</li></ol>
balikan	<i>verb</i><br><ol><li>to return for something</li></ol>
balikon|balikón	<i>verb</i><br><ol><li>to turn inside out</li></ol>
balinghoy	<i>noun</i><br><ol><li>cassava (Manihot esculenta)</li></ol>
balintok|balintók	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) somersault</li><li>(Tabaco–Legazpi–Sorsogon) tumble</li></ol>
balintong|balintóng	<i>noun</i><br><ol><li>(Naga) somersault</li><li>(Naga) tumble</li></ol>
baliskad	<i>verb</i><br><ol><li>to overturn; to capsize</li></ol>
balisungsong|balisungsung	<i>noun</i><br><ol><li>(geometry) cone</li></ol>
baliwang	<i>noun</i><br><ol><li>(anatomy) clavicle</li></ol>
balnaw|balnáw|bulnáw|bulnaw	<i>noun</i><br><ol><li>(Naga) rinse (for the body, clothes etc.)</li></ol>
balo|balô	<i>noun</i><br><ol><li>widow</li><li>widower</li></ol><br><i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to try; to attempt</li></ol>
balod|balód	<i>noun</i><br><ol><li>(Sorsogon) wave; undulation</li></ol>
balon|bálon|balón	<i>noun</i><br><ol><li>money, food, or other provisions taken to school, work, or on a journey</li><li>lunch money or pocket money</li><li>well (for water)</li><li>balloon</li></ol><br><i>verb</i><br><ol><li>to bring or carry money, food or other provisions</li><li>to learn a lesson or heed an advice before or during a journey</li></ol>
balos|balós	<i>noun</i><br><ol><li>revenge; vengeance</li><li>repay; pay back</li></ol>
balot|bâlot|balót	<i>noun</i><br><ol><li>an Asian street food consisting of a developing duck embryo boiled alive and eaten in the shell</li><li>alternation</li></ol>
baluan|balùan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to try; to attempt</li></ol>
balukag	<i>noun</i><br><ol><li>feather</li><li>body hair</li></ol>
balut	<i>noun</i><br><ol><li>an Asian street food consisting of a developing duck embryo boiled alive and eaten in the shell</li></ol>
balyo|balyó	<i>noun</i><br><ol><li>other side</li></ol><br><i>verb</i><br><ol><li>to transfer; to move (from one place to another)</li><li>to cross a street</li><li>to change clothes</li></ol>
banal|banál	<i>adj</i><br><ol><li>pious; devout</li></ol>
bandido	<i>noun</i><br><ol><li>bandit; outlaw</li></ol>
banga|bangâ	<i>adj</i><br><ol><li>divided; halved; bisected</li></ol>
bangag|bangág	<i>adj</i><br><ol><li>(colloquial) intoxicated; stoned; high (on alcohol, drugs, etc)</li></ol>
bangga|banggá|banggâ	<i>noun</i><br><ol><li>clay urn</li><li>collision; impact</li><li>crash (from an impact of two moving objects)</li></ol>
banggi|banggí	<i>noun</i><br><ol><li>night; evening</li></ol>
bangis	<i>noun</i><br><ol><li>violence; cruelty</li></ol>
bangit|bangít	<i>adj</i><br><ol><li>exasperated; vexed</li></ol>
bangkay	<i>noun</i><br><ol><li>cadaver; corpse; remains</li></ol>
bangkero|bangkera	<i>noun</i><br><ol><li>banker</li></ol>
bangko|bangkò	<i>noun</i><br><ol><li>bank</li><li>bench; pew (of a church)</li></ol>
bangkulis	<i>noun</i><br><ol><li>yellowfin tuna</li></ol>
bangog|bàngog	<i>noun</i><br><ol><li>stink; stench; reek</li></ol>
bangsod|bansod|angsód|ansod|bansód|ansód|angsod	<i>noun</i><br><ol><li>body odour (of armpits)</li></ol>
bangus|bangús	<i>noun</i><br><ol><li>milkfish</li></ol>
banig|baníg	<i>noun</i><br><ol><li>mat</li></ol>
bano|bàno	<i>verb</i><br><ol><li>(Legazpi) to wake up someone from sleep</li></ol>
banog	<i>noun</i><br><ol><li>Philippine eagle</li></ol>
bansag|banság	<i>noun</i><br><ol><li>alias; nickname</li></ol>
bansagan|bansagán	<i>verb</i><br><ol><li>to give a nickname to</li></ol>
bansay	<i>noun</i><br><ol><li>excellence, admirable character, exemplary, brilliance</li></ol>
bansok|bansók	<i>noun</i><br><ol><li>siphon or straw cut from a bamboo</li></ol>
bantay|bantáy	<i>noun</i><br><ol><li>attendant; guard; sentinel; watchman.</li></ol>
bantig	<i>noun</i><br><ol><li>effect</li></ol>
banting|bantíng	<i>noun</i><br><ol><li>sling</li></ol>
bantog	<i>adj</i><br><ol><li>famous; well-known; renowned</li></ol>
bantulinaw	<i>noun</i><br><ol><li>tree of omander; Ceylon ebony (Diospyros ebenum)</li></ol>
banwa|banwâ	<i>noun</i><br><ol><li>(formal) town</li><li>(formal) municipality</li><li>(formal) country; nation</li></ol>
banwaan|banwáan	<i>noun</i><br><ol><li>town</li><li>municipality</li><li>country; nation</li></ol>
banwit|banwít	<i>noun</i><br><ol><li>fishhook</li></ol>
banyo	<i>noun</i><br><ol><li>bathroom; shower room</li></ol>
baoo|bàoo	<i>noun</i><br><ol><li>turtle</li></ol>
barabas	<i>noun</i><br><ol><li>beard</li><li>whisker(s) (of a cat)</li></ol>
barahibo	<i>noun</i><br><ol><li>body hair; fur</li></ol>
barangay	<i>noun</i><br><ol><li>The smallest local government unit in the Philippines, a subdivision of a city or municipality.</li></ol>
barani	<i>noun</i><br><ol><li>bark of a banana stalk</li></ol>
baratero	<i>noun</i><br><ol><li>cheapskate</li></ol>
barato	<i>adj</i><br><ol><li>cheap; inexpensive</li></ol>
barberiya	<i>noun</i><br><ol><li>barbershop</li></ol>
barbero|barbera	<i>noun</i><br><ol><li>barber; hairdresser</li></ol>
bareta|baretà	<i>noun</i><br><ol><li>news</li><li>bar (a cuboid piece of any solid commodity)</li></ol>
baribiki|baribikí	<i>noun</i><br><ol><li>hand drill</li></ol>
barkada	<i>noun</i><br><ol><li>a group of friends</li><li>a close friend or a member of such group</li></ol>
barsa	<i>noun</i><br><ol><li>raft</li></ol>
basa|bása|basâ	<i>adj</i><br><ol><li>(Naga) wet; covered or impregnated with liquid</li></ol><br><i>verb</i><br><ol><li>to read.</li></ol>
basahon	<i>noun</i><br><ol><li>a reading material</li></ol><br><i>verb</i><br><ol><li>to read</li></ol>
basang	<i>adv</i><br><ol><li>describes an action that is unthought, impromptu, impulsive, spontaneous, unplanned</li></ol>
basaon|basàon	<i>verb</i><br><ol><li>(Naga) to wet; to cover or impregnate with any liquid</li></ol>
basbas	<i>noun</i><br><ol><li>a hit with a whip</li></ol>
basi	<i>noun</i><br><ol><li>juice from sugar cane</li></ol>
basiyo	<i>adj</i><br><ol><li>empty</li></ol>
baskog|baskóg	<i>noun</i><br><ol><li>inflexibility; rigidity</li><li>health</li></ol>
baso	<i>noun</i><br><ol><li>glass (for drinking)</li></ol>
basod|basód|basud|basúd	<i>noun</i><br><ol><li>(dialect) sand, finely ground rock</li></ol>
basog|bàsog|basóg	<i>adj</i><br><ol><li>full, satisfied, satiated (in relation to eating)</li></ol><br><i>noun</i><br><ol><li>levee; dike; embankment</li></ol>
basol	<i>noun</i><br><ol><li>blame; reproach</li><li>regret</li></ol>
basolon	<i>verb</i><br><ol><li>to blame; to reproach</li></ol>
bastos	<i>adj</i><br><ol><li>impolite; rude; disrespectful</li><li>indecent; immodest</li></ol>
basura	<i>noun</i><br><ol><li>garbage; waste; rubbish; trash</li></ol>
basurahan	<i>noun</i><br><ol><li>garbage bin, any place or receptacle for waste material</li></ol>
basurero	<i>noun</i><br><ol><li>garbage collector</li></ol>
bata|batà|batâ	<i>noun</i><br><ol><li>stink; stench; reek</li><li>(Naga, informal) lover; partner</li><li>robe</li></ol><br><i>intj</i><br><ol><li>(Legazpi) I told you already!</li></ol>
batag|batág	<i>noun</i><br><ol><li>banana</li></ol>
bataon	<i>verb</i><br><ol><li>(Naga, informal) to court</li></ol>
batay	<i>noun</i><br><ol><li>a footprint</li></ol><br><i>verb</i><br><ol><li>to step on</li></ol>
bateriya	<i>noun</i><br><ol><li>battery</li></ol>
bati|batì|batí	<i>noun</i><br><ol><li>(cooking) beat; whisk</li><li>labor (childbirth)</li></ol>
batid|batíd	<i>verb</i><br><ol><li>to know</li></ol>
batingal	<i>noun</i><br><ol><li>blockade</li></ol>
bato|bató|batò	<i>noun</i><br><ol><li>(anatomy) kidney</li><li>(Daet) rock; stone</li><li>cue ball</li></ol>
batok|batók	<i>noun</i><br><ol><li>bark; loud utterance by a dog</li></ol>
batyag	<i>noun</i><br><ol><li>labor pain</li></ol>
bawang	<i>noun</i><br><ol><li>garlic</li></ol>
bawas|bawás	<i>adj</i><br><ol><li>sterile, impotent, unable to procreate, incapable of sexual intercourse</li></ol>
baya|bayà|bayâ	<i>adv</i><br><ol><li>really; truly; ever</li><li>please</li></ol><br><i>noun</i><br><ol><li>deferral; disregard; concession</li><li>abandonment</li></ol>
bayad	<i>noun</i><br><ol><li>wage; payment</li></ol>
bayadan	<i>verb</i><br><ol><li>to pay (for); to payout</li></ol>
bayag|bayág	<i>noun</i><br><ol><li>(Naga, anatomy) scrotum; testicle</li></ol>
bayani|bayanì	<i>noun</i><br><ol><li>hero; heroine</li></ol>
bayaw|bayáw	<i>noun</i><br><ol><li>brother-in-law</li></ol>
bayawas	<i>noun</i><br><ol><li>guava</li></ol>
baybay	<i>noun</i><br><ol><li>sand, finely ground rock</li></ol>
baybayon	<i>noun</i><br><ol><li>beach; coast; shore</li></ol>
bayi	<i>noun</i><br><ol><li>Clipping of babayi.</li></ol>
bayle	<i>noun</i><br><ol><li>(Naga, Tabaco, Legazpi) dance</li></ol>
baylehon	<i>verb</i><br><ol><li>(Naga, Tabaco, Legazpi) to dance</li></ol>
bayong|bayóng	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) bird</li></ol>
bayukbok|bayukbók	<i>noun</i><br><ol><li>small, rice-eating mouse</li></ol>
bayuko|bayukô	<i>noun</i><br><ol><li>(pathology) mumps</li></ol>
bayuyo|bayuyò	<i>noun</i><br><ol><li>(anatomy) amniotic sac</li></ol>
belar	<i>noun</i><br><ol><li>vigil</li></ol>
belo	<i>noun</i><br><ol><li>veil</li></ol>
bentana|bintana|bintanà|bentanà	<i>noun</i><br><ol><li>window</li></ol>
bentilador	<i>noun</i><br><ol><li>electric fan; ceiling fan</li></ol>
bestida	<i>noun</i><br><ol><li>dress (usually for girls/women)</li></ol>
beynte|baynte	<i>num</i><br><ol><li>twenty</li></ol>
bibi|bîbî	<i>verb</i><br><ol><li>(archaic) to pray</li></ol>
bigik|bigit|bigík|bigít	<i>noun</i><br><ol><li>runt (of small animals or fowl)</li></ol>
bigote	<i>noun</i><br><ol><li>moustache</li></ol>
bihira	<i>adj</i><br><ol><li>rare; infrequent; uncommon</li></ol><br><i>adv</i><br><ol><li>seldom; rarely; infrequently</li></ol>
bilang	<i>noun</i><br><ol><li>count; enumeration</li></ol>
bilas	<i>noun</i><br><ol><li>co-sibling-in-law</li></ol>
bilog|bílog	<i>adj</i><br><ol><li>round; circular; spherical</li><li>complete</li><li>whole</li></ol><br><i>noun</i><br><ol><li>circle; sphere; disk</li><li>(pathology) blood clot</li></ol>
bilot|bilót	<i>adj</i><br><ol><li>(offensive) having stuttered speech</li></ol><br><i>noun</i><br><ol><li>(offensive) a stutterer; a person having stuttered speech</li></ol>
binabayi	<i>adj</i><br><ol><li>(usually derogatory) An effeminate man</li></ol>
bingkay	<i>noun</i><br><ol><li>seashells</li></ol>
bingkong	<i>adj</i><br><ol><li>concave</li></ol><br><i>noun</i><br><ol><li>adze of shipwright</li></ol>
bini|binì	<i>noun</i><br><ol><li>modesty; charm; daintiness</li></ol>
bintang	<i>noun</i><br><ol><li>(crime) frameup</li><li>imputation; accusation</li></ol>
biriran	<i>noun</i><br><ol><li>star fruit, Averrhoa carambola.</li></ol>
bisikleta	<i>noun</i><br><ol><li>bicycle</li></ol>
bista	<i>noun</i><br><ol><li>(law) arraignment</li><li>(law) trial</li></ol>
bistado	<i>adj</i><br><ol><li>acquainted (with another person)</li></ol>
bisto	<i>adj</i><br><ol><li>acquainted; recognized</li></ol>
bitbit	<i>noun</i><br><ol><li>act of carrying</li></ol>
biti	<i>noun</i><br><ol><li>(anatomy, usually of fish) A swim bladder of a fish.</li><li>A swim bladder from the fish known as Abo or Tigertooth croaker, endemic in the San Miguel Bay in the Philippines.</li></ol>
bitis|bitís	<i>noun</i><br><ol><li>(anatomy) foot</li></ol>
bituka	<i>noun</i><br><ol><li>(anatomy) intestine</li></ol>
bituon|bitúon	<i>noun</i><br><ol><li>(astronomy) star</li></ol>
biyaw	<i>noun</i><br><ol><li>fighting stance</li></ol>
biyaya	<i>noun</i><br><ol><li>grace; blessing</li></ol>
biyo|biyô	<i>adj</i><br><ol><li>(literary) complete</li><li>(literary) entire</li></ol>
bobo|boba	<i>adj</i><br><ol><li>stupid; foolish</li></ol><br><i>noun</i><br><ol><li>fool; idiot; simpleton; dunce</li><li>(uncommon) clown</li></ol>
bola	<i>noun</i><br><ol><li>ball</li><li>flattery; compliment</li></ol>
bombero|bumbero	<i>noun</i><br><ol><li>firefighter; fireman</li></ol>
bote	<i>noun</i><br><ol><li>bottle</li></ol>
botika	<i>noun</i><br><ol><li>drug store; pharmacy</li></ol>
braso	<i>noun</i><br><ol><li>(anatomy) arm</li><li>(anatomy) muscle</li></ol>
brutal	<i>adj</i><br><ol><li>brutal; wicked</li></ol>
bua|bùa	<i>adj</i><br><ol><li>crazy; insane</li></ol>
bua-bua|buabua|bùa-bùa	<i>adj</i><br><ol><li>crazy; insane; demented</li></ol>
buaya	<i>noun</i><br><ol><li>crocodile; alligator</li></ol><br><i>adj</i><br><ol><li>languid; lacking in spirit</li></ol>
bublay|bubláy	<i>noun</i><br><ol><li>weakness (after an ailment or sickness)</li></ol>
bubon|bubón	<i>noun</i><br><ol><li>well (for water)</li></ol>
bubong	<i>noun</i><br><ol><li>roof</li></ol>
buda|budâ	<i>conj</i><br><ol><li>(Tabaco, Legazpi) and</li></ol>
buday|budáy	<i>noun</i><br><ol><li>(anatomy) vagina</li></ol>
budyak|budyák	<i>noun</i><br><ol><li>spear; lance</li></ol>
budyakon|budyakón	<i>verb</i><br><ol><li>to spear</li></ol>
bugaw	<i>noun</i><br><ol><li>inducement</li><li>(informal) a pimp; a pander</li></ol>
bugawon	<i>verb</i><br><ol><li>to induce; to drive away; to shoo</li><li>(informal) to pimp out; to pander</li></ol>
bugnay	<i>noun</i><br><ol><li>the bignay (Antidesma bunius)</li><li>the fruit of this tree</li></ol>
bugnot	<i>noun</i><br><ol><li>a pull; a tug; a jerk</li></ol>
bugon|bugón	<i>noun</i><br><ol><li>(pathology) goitre/goiter</li></ol>
bugrat	<i>noun</i><br><ol><li>feces, dung, excrement</li></ol>
bugris	<i>noun</i><br><ol><li>loose bowel</li></ol>
bugsok|bulagsok|bulusok|bugsók|bulugsok	<i>adj</i><br><ol><li>steep</li></ol>
bugtak|bugták	<i>verb</i><br><ol><li>to put or place something down</li><li>to situate; to position</li><li>to align</li></ol>
bugti|bugtî	<i>noun</i><br><ol><li>a batter; a clobber</li><li>(informal) a punch</li></ol>
bugtian|bugtían|bugtìan	<i>noun</i><br><ol><li>fistfight</li></ol><br><i>verb</i><br><ol><li>to batter; to clobber</li><li>(informal) to punch</li></ol>
