'-d-š	<i>root</i><br><ol><li>Related to newness.</li></ol>
warad ēkallim|wardū ēkallim	<i>noun</i><br><ol><li>(Old Assyrian, Old Babylonian) slave of the palace, a designation of the palace personel</li><li>(Neo-Babylonian) arad ekalli, a designation of a specific profession, probably a builder</li></ol>
wardum|𒉿𒅈𒁲|𒉿𒅈𒁕𒄠|wardu|aradum|𒉿𒊏𒀜|ardu|bardu|𒉿𒅈𒁲𒅔|wardān|wardim|ardum|𒉿𒅈𒁕𒀭|𒉿𒅈𒁲𒅎|urdum|bardum|𒉿𒅈𒁺𒌝|𒉿𒅈𒁺|wardīn|wardam|wardū|warad|urdu|wardī	<i>noun</i><br><ol><li>male slave, male servant</li><li>official, subordinate, soldier</li><li>follower, subject of a king, worshiper of a deity</li></ol>
warka	<i>adv</i><br><ol><li>(of time) afterwards, later</li><li>(of place) behind, in the rear</li></ol>
warkatum|warkātum|𒉿𒅈𒅗𒀜|𒉿𒅈𒅗𒋾𒅔|warkatīn|warkātim|𒉿𒅈𒅗𒌈|𒉿𒅈𒅗𒌓|warkatim|𒉿𒅈𒅗𒁴|warkat|𒉿𒅈𒅗𒋫𒀭|warkatam|warkatān	<i>noun</i><br><ol><li>backside, rear side</li><li>(anatomy) rectum, buttocks</li><li>(military) rear guard (of an army)</li><li>(finance) later instalment</li><li>arrears (unpaid debt)</li><li>estate, inheritance</li><li>circumstances, background (of a case)</li></ol>
warki	<i>prep</i><br><ol><li>after</li><li>behind</li></ol>
warkānum|wa-ar-ka-nu-um|𒉿𒅈𒅗𒉡𒌝	<i>adv</i><br><ol><li>later on, afterwards</li></ol>
warādum|𒋫𒀜𒋫𒅈𒁕|𒋫𒀜𒋫𒊏𒀜|𒊑𒀉|𒌅𒌨𒊑𒀉|𒌅𒌨𒁕|turdī|nurid|turdā|𒉌𒀉𒋫𒊏𒀜|nittarad|urrid|urdū|𒌨𒊑𒁕|𒌅𒌨𒊑𒁕|ittarad|𒇷𒊑𒀉|𒌨𒊑𒀉|lurid|turridī|𒀉𒋫𒊏𒀜|rid|ridā|𒌨𒁺|𒌨𒊑𒁺|ittardū|nurrid|𒌋𒊑𒀉|tattardā|𒀀𒀜𒋫𒊏𒀜|𒌅𒊑𒀉|𒊑𒁕|𒇷𒅕𒁺|𒌅𒌨𒊑𒁲|𒉡𒌨𒊑𒀉|tattardī|turridā|𒉿𒅈𒁺𒌝|𒌅𒌨𒁲|lirid|urridā|tattarad|𒄿𒉌𒊑𒀉|attarad|𒌨𒁕|𒉿𒊏𒁺𒌝|𒋫𒀜𒋫𒅈𒁲|𒀉𒋫𒅈𒁺|urdā|i nirid|urridū|wāridum|𒀉𒋫𒅈𒁕|𒇷𒅕𒁕|wardum|ridī|turid|𒉡𒊑𒀉|lirdū|lirdā|𒉿𒊑𒁺𒌝|urid|turrid|ittardā|𒇻𒊑𒀉|𒊑𒁲	<i>verb</i><br><ol><li>to descend, go down, come down</li><li>(clothes) to hang down, droop</li><li>(numbers, prices) to decrease, drop</li></ol>
warāqum|𒄿𒊑𒆪|𒉌𒊑𒅅|𒂊𒊑𒅅|𒂊𒅕𒊑𒅅|tēteriq|irriqū|𒄿𒋼𒊑𒅅|wāriqum|tēterqī|𒉌𒋼𒊑𒅅|nīriq|tēriqā|īterqā|color:#888888|tēriqī|𒄿𒊑𒅅|terriq|𒋼𒊑𒂵|𒋼𒋼𒅕𒂵|īriqū|𒋼𒅕𒊑𒅅|𒅕𒊑𒂵|𒋼𒋼𒊑𒅅|[[#Akkadian\|]]|erriq|īriq|𒄿𒋼𒅕𒂵|𒅕𒊑𒅅|warqum|īterqū|irriqā|īriqā|style="background-color:#fdfdfd|𒄿𒋼𒅕𒆪|𒉿𒊑𒆪𒌝|𒋼𒊑𒆠|nīteriq|𒄿𒊑𒂵|𒋼𒅕𒊑𒆠|īteriq|ēteriq|𒉿𒊏𒆪𒌝|tēterqā|𒋼𒋼𒅕𒆠|𒂊𒋼𒊑𒅅|𒅕𒊑𒆪|𒉿𒅈𒆪𒌝|ēriq|𒉌𒅕𒊑𒅅|𒋼𒊑𒅅|terriqī|irriq|terriqā|𒋼𒅕𒊑𒂵|nirriq|tēriq	<i>verb</i><br><ol><li>to be(come) green, yellow, to turn pale</li></ol>
warḫum|waraḫ	<i>noun</i><br><ol><li>moon</li><li>new moon (first day of the month)</li><li>month</li></ol>
waṣûm|uṣi|ittaṣi|ṣi|uṣṣi	<i>verb</i><br><ol><li>to leave, depart, go out, escape</li><li>to come out, rise, protrude, grow, sprout</li><li>to leave forever, disappear</li></ol>
wēdum|wēttum	<i>adj</i><br><ol><li>single, sole</li><li>solitary, alone</li><li>unique</li></ol>
yâti|kâti|šī|Assyrian|atti|at-ti|attina|kâšum|𒀜𒋾|niāti|niāšim|ayyâšim|šuāšim|šināšim|šū|yâšim|kināti|𒋗𒀀𒋾|šunu|šināti|ši-i|šuātu|𒅆𒄿|kâšim|𒀀𒈾𒆪|kâta|šunūšim|anāku|𒋗𒌑|šina|kināšim|atta|kunūti|šuāti|šu-u₂|šâšim|šu-a-ti|attunu|šunūti|𒀜𒋫|at-ta|a-na-ku|šâtu|kunūšim|šâti|nīnu	<i>pron</i><br><ol><li>(accusative) me</li><li>(genitive) of mine</li></ol>
zamārum|𒄑𒈬𒊒|tazammurī|azzamur|izmurā|𒄿𒍝𒄠𒈬𒊒|𒄿𒍝𒄠𒈬𒌨|tazmurī|𒋫𒊍𒍝𒈬𒌨|𒄑𒈬𒊏|𒍝𒈪𒊒𒌝|azmur|𒍪𒈬𒌨|lizmurā|𒍪𒌝𒊑|i nizmur|tazmur|𒉌𒍝𒄠𒈬𒌨|𒋫𒊍𒈬𒊑|zumrā|izmurū|izammurū|𒍝𒄠𒊒𒌝|nizammur|izzamur|𒇷𒄑𒈬𒊏|luzmur|azammur|𒉌𒄑𒈬𒌨|𒋫𒍝𒄠𒈬𒊑|zamrum|zāmirum|𒀀𒊍𒍝𒈬𒌨|zumur|lizmur|𒄿𒍝𒄠𒈬𒊏|𒄑𒍝𒈬𒌨|za-ma-ru-um|𒇷𒄑𒈬𒊒|nizmur|𒄑𒈬𒌨|𒋫𒊍𒈬𒊏|𒋫𒊍𒈬𒌨|𒉌𒄑𒍝𒈬𒌨|𒀀𒍝𒄠𒈬𒌨|𒇷𒄑𒈬𒌨|𒍪𒌝𒊏|izzamrā|izammur|𒀀𒊍𒈬𒌨|𒋫𒍝𒄠𒈬𒌨|izzamrū|tazzamrā|𒄿𒉌𒄑𒈬𒌨|𒍝𒈠𒊒𒌝|tazammurā|𒄑𒍝𒄠𒊏|tazmurā|tazzamrī|nizzamur|𒇻𒊻𒈬𒌨|𒋫𒊍𒍝𒄠𒊑|zumrī|𒋫𒍝𒄠𒈬𒊏|lizmurū|tazammur|izmur|𒋫𒊍𒍝𒄠𒊏|tazzamur|𒄑𒍝𒄠𒊒|izammurā	<i>verb</i><br><ol><li>to sing (with or without instrumental accompaniment)</li></ol>
zarāqum|tazriq|zāriqum|zarqum|𒄿𒍝𒅈𒊑𒅅|Neo-Assyrian|lizriqū|tazriqā|nizzariq|tazzarqī|izzariq|izriqū|izzarqū|𒄑𒍝𒅈𒆪|𒍣𒊑𒅅|i nizriq|𒇷𒄑𒊑𒂵|𒇻𒊻𒊑𒅅|𒀀𒊍𒍝𒊑𒅅|tazarriqī|𒋫𒊍𒊑𒆠|luzriq|tazzariq|𒋫𒍝𒅈𒊑𒆠|zirqī|𒇷𒄑𒊑𒆪|𒀀𒍝𒅈𒊑𒅅|𒄑𒍝𒊑𒅅|𒄑𒊑𒂵|ziriq|azriq|𒄿𒉌𒄑𒊑𒅅|𒋫𒊍𒍝𒅈𒂵|𒀀𒊍𒊑𒅅|𒄑𒊑𒆪|izarriq|𒍝𒅈𒆪𒌝|𒋫𒊍𒍝𒊑𒅅|tazriqī|lizriq|𒍣𒅕𒂵|𒄿𒍝𒅈𒊑𒆪|lizriqā|𒄿𒍝𒅈𒊑𒂵|𒋫𒊍𒊑𒅅|𒉌𒄑𒊑𒅅|𒉌𒄑𒍝𒊑𒅅|𒋫𒍝𒅈𒊑𒂵|𒋫𒍝𒅈𒊑𒅅|izriq|tazarriq|𒋫𒊍𒍝𒅈𒆠|𒇷𒄑𒊑𒅅|𒉌𒍝𒅈𒊑𒅅|nizriq|izarriqā|izarriqū|𒋫𒊍𒊑𒂵|𒄑𒍝𒅈𒂵|tazzarqā|izriqā|𒍣𒅕𒆠|𒍝𒊑𒆪𒌝|azarriq|𒄑𒊑𒅅|azzariq|nizarriq|tazarriqā|izzarqā|zirqā|𒍝𒊏𒆪𒌝	<i>verb</i><br><ol><li>to sprinkle (liquids), strew</li></ol>
zikarum|zikarū|zikrum	<i>adj</i><br><ol><li>male, virile</li></ol><br><i>noun</i><br><ol><li>man, male</li><li>ram</li><li>a specific quality of stones and plants used as drugs; a cloud formation.</li></ol>
zikrum|zikir|zikrū	<i>noun</i><br><ol><li>discourse, utterance, pronouncement, words</li><li>mention</li><li>divine or royal command, order</li><li>name, fame</li><li>oath</li></ol>
ziqnum|ziqnān	<i>noun</i><br><ol><li>beard</li></ol>
ziqqurratum|ziqqurrātim|𒍣𒅅𒆪𒌨𒊏𒌓|ziqqurrētum|𒍣𒅅𒆪𒌨𒊏𒋾𒅔|𒍣𒅅𒆪𒌨𒊏𒋫𒀭|ziqqurrātum|𒍣𒅅𒆪𒌨𒊏𒁴|ziqqurratān|𒍣𒅅𒆪𒌨𒊏𒌈|𒍣𒅅𒆪𒌨𒊏𒀜|ziqqurrat|ziqqurratam|ziqqurratīn|ziqqurratim	<i>noun</i><br><ol><li>temple tower, ziggurat</li><li>(jB, transferred) peak (of a mountain)</li><li>(MA) a cake in the shape of a ziggurat</li></ol>
zubbum|zubbū|zubbi|zumbum	<i>noun</i><br><ol><li>fly</li></ol>
zumrum|zumrū|zumur	<i>noun</i><br><ol><li>body (of humans, animals, objects, etc.)</li><li>(figuratively) person</li></ol>
zērum|zēr|zērū|zēri	<i>noun</i><br><ol><li>seed</li><li>semen</li><li>offspring, descendant</li></ol>
zību|zībum	<i>noun</i><br><ol><li>jackal</li><li>(also with determinative 𒄷 (^(mušen))) vulture</li></ol>
ālikum	<i>noun</i><br><ol><li>traveller, messenger</li></ol>
ālum|āli|ālānû|āl|𒀀𒈝|ālānū|a-lum	<i>noun</i><br><ol><li>city, town</li><li>village, manor, estate</li><li>fort, military strongpoint</li></ol>
ēkallum|ēkal|ēkallātum|ēkalla	<i>noun</i><br><ol><li>(royal) palace</li><li>administrative authority, government</li></ol>
ēnum|ēnū	<i>noun</i><br><ol><li>lord</li><li>high priest</li></ol>
ēpûm|𒂊𒁉𒌓|ēpīti|ēpītān|𒂊𒁉𒀀𒁴|ēpī|ēpian|ēpiātim|𒂊𒁉𒌈|ēpîn|𒂊𒁉𒀀𒌈|ēpîm|ēpû|𒂊𒁉𒋾|𒂊𒁉𒅎|ēpītum|ēpiam|ēpītim|𒂊𒁉𒅔|𒂊𒁍𒌝|ēpiātum|ēp|ēpītīn|𒂊𒁍|𒂊𒁉𒁴|𒂊𒁉𒀭|𒂊𒁉|ēpītam|𒂊𒁉𒋫𒀭|𒂊𒁉𒄠|𒂊𒁉𒋾𒅔|𒂊𒅁	<i>noun</i><br><ol><li>baker</li></ol>
īkum|īkū	<i>noun</i><br><ol><li>dyke, ditch</li><li>plot of land surrounded by a dyke</li></ol>
īnum|īnān	<i>noun</i><br><ol><li>eye</li><li>spring, well</li></ol>
Šabāṭum|Neo-Babylonian|Neo-Assyrian	<i>name</i><br><ol><li>Šabāṭu, the eleventh month of the Babilonian calendar</li></ol>
Šamaš	<i>name</i><br><ol><li>Shamash, the sun god.</li></ol>
Šarrum-kīn	<i>name</i><br><ol><li>Sargon of Akkad, Sargon the Great (the first ruler of the Akkadian Empire)</li><li>Either of two Assyrian kings (Sargon I and Sargon II)</li></ol>
Šumerum|Neo-Assyrian	<i>name</i><br><ol><li>Sumer</li></ol><br><i>noun</i><br><ol><li>Sumerian (language)</li></ol>
ša|𒊭	<i>pron</i><br><ol><li>(determinative) who/whom, which</li><li>(determinative) he/she who..., that which...</li><li>of (+ genitive)</li><li>(relative) who, whom, which (followed by verb in the subjunctive)</li><li>(before infinitives) fit to (be/do), due to (be/do)</li><li>(before lā) without</li></ol>
šadûm|šad|šadû|šadânu|šadi|šadâtum	<i>noun</i><br><ol><li>mountain, mountain region</li><li>open country, steppeland, desert</li><li>a mythological place corresponding to Sumerian 𒆳 (kur, “underworld”).</li><li>east</li><li>easterner</li><li>east wind</li></ol>
šagabigalzu|šakabegalzu|šagabigalzū	<i>noun</i><br><ol><li>a medicinal plant</li></ol>
šakānum|šaknum|taškun|nišakkan|ništakan|taštaknā|𒋫𒊭𒀝𒅗𒀭|𒀀𒀸𒆪𒌦|tašakkanā|𒅖𒋫𒀝𒉡|tašakkan|šukun|šuknā|iškun|i niškun|išakkanā|tašakkanī|𒋗𒆪𒌦|𒊭𒅗𒉡𒌝|𒀀𒊭𒀝𒅗𒀭|𒄿𒊭𒀝𒅗𒀭|šuknī|𒉌𒅖𒋫𒅗𒀭|𒇷𒅖𒆪𒉡|𒋗𒊌𒉌|taškunī|𒅖𒆪𒈾|𒋗𒊌𒈾|𒅖𒋫𒀝𒈾|taškunā|𒇷𒅖𒆪𒌦|liškun|𒋫𒀸𒆪𒈾|liškunā|𒉌𒊭𒀝𒅗𒀭|taštaknī|ištaknā|𒊭𒆠𒉡𒌝|𒄿𒉌𒅖𒆪𒌦|niškun|luškun|išakkanū|iškunū|𒋫𒊭𒀝𒅗𒉌|𒄿𒊭𒀝𒅗𒈾|𒋫𒊭𒀝𒅗𒈾|𒅖𒆪𒉡|aštakan|𒋫𒀸𒋫𒅗𒀭|𒊭𒀝𒉡𒌝|ašakkan|aškun|𒋫𒀸𒋫𒀝𒉌|𒇻𒍑𒆪𒌦|𒉌𒅖𒆪𒌦|𒅖𒆪𒌦|𒇷𒅖𒆪𒈾|ištaknū|𒅖𒋫𒅗𒀭|𒋫𒀸𒋫𒀝𒈾|𒀀𒀸𒋫𒅗𒀭|𒋫𒀸𒆪𒌦|𒋫𒀸𒆪𒉌|liškunū|išakkan|ištakan|taštakan|𒄿𒊭𒀝𒅗𒉡|iškunā|šākinum	<i>verb</i><br><ol><li>to place, put, set</li><li>to establish, install, appoint, assign, impose</li></ol>
šalgu	<i>noun</i><br><ol><li>Non-mimated form of šalgum</li></ol>
šalgum	<i>noun</i><br><ol><li>snow, sleet</li></ol>
šallūrum|šallūrū	<i>noun</i><br><ol><li>a fruit tree and its fruit, probably a plum</li></ol>
šalāmum|išallim|𒅖𒋫𒅆|𒋫𒀸𒅆|išlim|𒇷𒅖𒇷𒈬|𒅖𒋫𒀠𒈠|taštalim|𒀀𒊭𒀠𒅆|𒅆𒅋𒈠|𒅖𒇷𒈬|ašallim|𒋫𒊭𒀠𒅆|𒋫𒊭𒀠𒇷𒈠|𒀀𒀸𒅆|𒊭𒇷𒈬𒌝|𒇷𒅖𒅆|𒊭𒀠𒈬𒌝|šilim|šilmī|tašlim|𒀀𒀸𒋫𒅆|𒄿𒊭𒀠𒅆|lušlim|𒄿𒉌𒅖𒅆|taštalmī|nišlim|išallimū|išallimā|šālimum|𒋫𒀸𒋫𒅆|𒅆𒅆|𒋫𒊭𒀠𒇷𒈪|𒄿𒊭𒀠𒇷𒈠|𒉌𒊭𒀠𒅆|lišlimā|𒋫𒀸𒋫𒀠𒈠|ištalmā|šilmā|𒉌𒅖𒋫𒅆|i nišlim|𒋫𒀸𒇷𒈠|lišlimū|išlimā|ištalim|𒊭𒆷𒈬𒌝|ašlim|𒅖𒇷𒈠|𒄿𒊭𒀠𒇷𒈬|nišallim|𒇷𒅖𒇷𒈠|taštalmā|𒋫𒀸𒇷𒈪|tašallim|𒅆𒅋𒈪|𒅖𒅆|šalmum|aštalim|ištalmū|𒉌𒅖𒅆|tašallimī|išlimū|tašlimā|𒇻𒍑𒅆|lišlim|ništalim|tašlimī|𒅖𒋫𒀠𒈬|tašallimā|𒋫𒀸𒋫𒀠𒈪	<i>noun</i><br><ol><li>health, physical well-being</li><li>welfare (of country, city, etc.)</li><li>truth, correct behaviour</li></ol><br><i>verb</i><br><ol><li>to be(come) healthy, well, intact, in good condition, safe</li><li>to receive full payment</li><li>to succeed, prosper</li><li>to be(come) favorable</li><li>to complete</li></ol>
šalāšat|šalāš|free form šalāštum|free form šalāšum	<i>num</i><br><ol><li>three, 3</li></ol>
šamaššammum|šamaššammū	<i>noun</i><br><ol><li>(often plural) an oil-producing plant and its seeds, probably sesame (or flax, linseed).</li></ol>
šammi Šamaš|šammū Šamaš	<i>noun</i><br><ol><li>sunflower</li></ol>
šammum|šammū|šammi|šamma	<i>noun</i><br><ol><li>plant, grass</li><li>hay, fodder</li><li>herb, drug, medicinal plant</li></ol>
šamnum|šaman	<i>noun</i><br><ol><li>oil, fat, cream</li></ol>
šamû	<i>noun</i><br><ol><li>sky, heaven</li></ol>
šamšum|śa-am-śu-um|Old Akkadian with|and mimation|śamśum|𒊓𒄠𒋢𒌝|šamaš|ś	<i>noun</i><br><ol><li>sun</li><li>sunlight</li><li>day</li><li>sun disk</li></ol>
šandanakkum|𒊭𒀭𒁕𒈾𒀝𒅗𒁴|šandanakkim|šandanakka|𒊭𒀭𒁕𒈾𒀝𒅗𒄠|šandanakkātum|šandanak|𒊭𒀭𒁕𒈾𒀝𒆠𒅎|𒊭𒀭𒁕𒈾𒀝|𒊭𒀭𒁕𒈾𒀝𒅗𒌈|šandanakkam|𒊭𒀭𒁕𒈾𒀝𒆪𒌝|šandanakkātim	<i>noun</i><br><ol><li>administrator of date orchards</li></ol>
šanānum|išannan|ištanan|šunun|išnun	<i>verb</i><br><ol><li>to be equal, match, rival</li></ol>
šapattum|šapatātim|šapattān|𒊭𒉺𒋫𒌈|𒊭𒉺𒀜𒌓|𒊭𒉺𒀜𒋾𒅔|𒊭𒉺𒋫𒁴|𒊭𒉺𒀜𒋾|𒊭𒉺𒀜𒁴|𒊭𒉺𒀜𒌈|šapattam|šapattim|šapatti|𒊭𒉺𒀜𒋫𒀭|šapattīn|šapatātum	<i>noun</i><br><ol><li>15ᵗʰ day of the month</li><li>period of 15 days, a fortnight</li></ol>
šaplum|šapla|šapal	<i>noun</i><br><ol><li>underside, bottom</li><li>arrears</li></ol>
šaplûm|šaplītum|šapliātum|šaplûtum	<i>adj</i><br><ol><li>lower</li><li>suffixed (of Sumerian grammar)</li><li>of lower/inferior quality</li></ol>
šaptum|𒊭𒉺𒀜|šapātum|šapātim|šaptim|šaptīn|𒊭𒀊𒌈|𒊭𒉺𒁴|šaptam|𒊭𒀊𒋫𒀭|𒊭𒀊𒁴|𒊭𒉺𒌈|šapat|𒊭𒀊𒌓|𒊭𒀊𒋾𒅔|šaptān	<i>noun</i><br><ol><li>lip</li><li>utterance, speech, command</li><li>rim, edge</li></ol>
šarqum|šariqtum|šarqātum|šarqūtum	<i>adj</i><br><ol><li>stolen</li></ol>
šarratum|šarratīn|𒊭𒅈𒊏𒋾𒅔|𒊭𒅈𒊏𒋫𒀭|šarrātim|𒊭𒅈𒊏𒌓|šarratān|šarratam|𒊭𒅈𒊏𒀜|𒊭𒅈𒊏𒁴|šarratim|𒊭𒅈𒊏𒌈|šarrātum|šarrat	<i>noun</i><br><ol><li>queen</li></ol>
šarrum|šar|šarra|šarrānū|šarrū|šarri	<i>noun</i><br><ol><li>king</li></ol>
šarrāqum|šarrāqū	<i>noun</i><br><ol><li>thief, robber</li></ol>
šarāqum	<i>verb</i><br><ol><li>to steal, to act as a thief</li><li>to kidnap</li></ol>
šattam	<i>adv</i><br><ol><li>this year</li></ol>
šattum|𒊭𒈾𒁴|šattim|𒊭𒀜𒋾𒅔|šattīn|𒊭𒀜𒌓|𒊭𒈾𒌈|šanātim|𒊭𒀜𒁴|šanat|šattam|šattān|𒊭𒈾𒀜|𒊭𒀜𒋫𒀭|šanātum|𒊭𒀜𒌈	<i>noun</i><br><ol><li>year</li><li>time of the year, season</li></ol>
šaḫûm|šaḫû	<i>noun</i><br><ol><li>pig, boar</li><li>(astronomy, with determinative 𒀯) a constellation or a star, perhaps Delphinus</li></ol>
šebērum|išteber|šeber|išber|išebber	<i>verb</i><br><ol><li>to break, fracture</li><li>to harrow a field for the second time</li></ol>
šeleppûm|šeleppû	<i>noun</i><br><ol><li>turtle</li><li>a type of snake</li></ol>
šemûm|𒉌𒊺𒅎𒈨|𒉌𒅖𒋼𒈨|𒋼𒌍𒈨𒀀|išmeā|lišme|išmû|lišmeā|𒊺𒈨𒀀|lišmû|𒋼𒌍𒈨|išme|𒅖𒈨𒀀|𒄿𒊺𒅎𒈨|lušme|teštemeā|šemeā|ištemeā|išteme|išemmû|tešemmî|𒅖𒋼𒈨|teštemî|ništeme|tešemme|išemme|ešteme|tešme|𒋼𒊺𒅎𒈨|tešmî|šēmûm|𒂊𒊺𒅎𒈨|ešme|tešmeā|𒂊𒌍𒋼𒈨|𒋼𒌍𒈪|𒄿𒉌𒅖𒈨|𒅖𒈬|nišemme|𒊺𒈨|𒄿𒊺𒅎𒈬|𒇷𒅖𒈨|nišme|tešteme|𒄿𒊺𒅎𒈨𒀀|𒇷𒅖𒈬|𒅖𒋼𒈨𒀀|𒋼𒌍𒋼𒈨|i nišme|tešemmeā|šeme|𒊺𒈪|𒅖𒈨|𒅖𒋼𒈬|𒇻𒍑𒈨|𒋼𒊺𒅎𒈨𒀀|𒋼𒌍𒋼𒈪|𒇷𒅖𒈨𒀀|ištemû|𒂊𒌍𒈨|𒊺𒈬𒌝|išemmeā|šemî|𒉌𒅖𒈨|ešemme|𒋼𒌍𒋼𒈨𒀀|𒋼𒊺𒅎𒈪	<i>verb</i><br><ol><li>to hear</li><li>to listen, pay attention</li><li>to obey</li></ol>
šeššet|free form šedištum|*šediš|free form šeššum	<i>num</i><br><ol><li>six, 6</li></ol>
šikarum	<i>noun</i><br><ol><li>beer (made of grain)</li><li>alcoholic drink, intoxicant liquid</li></ol>
šina	<i>pron</i><br><ol><li>they (feminine plural subject pronoun)</li><li>those, these same (aforementioned feminine plural noun)</li></ol>
šinnum|šinnān|šinnātum|šinni|šinna	<i>noun</i><br><ol><li>tooth</li><li>(in the dual) teeth ("two rows of teeth")</li><li>Elephant tusk, ivory</li><li>tooth, tine of a comb, saw, harrow, blade of a plow</li></ol>
šinā|šin|šittā	<i>num</i><br><ol><li>two, 2</li></ol>
šiqdum	<i>noun</i><br><ol><li>almond tree</li><li>almond (fruit)</li></ol>
šiqlum|state šiqil|šiqlū	<i>noun</i><br><ol><li>shekel (a unit of weight, equal to ca. 8.3 g. or 1/60 mina)</li></ol>
šizbum|šizib	<i>noun</i><br><ol><li>milk</li></ol>
šulmum|šulum	<i>noun</i><br><ol><li>completeness, intact state</li><li>well-being, health</li><li>safety, peace</li><li>good wishes, greeting</li><li>(extispicy) a crease on the sheep's liver</li></ol>
šumma|šum-ma|𒋳𒈠	<i>conj</i><br><ol><li>if, whether</li></ol>
šumum|šumi|šumū|šum|šumātum	<i>noun</i><br><ol><li>name</li><li>fame, reputation</li><li>line of a tablet or composition</li><li>meaning, interpretation of an omen</li></ol>
šumēlum	<i>noun</i><br><ol><li>left side</li><li>left hand</li><li>(military) left wing (of an army)</li></ol>
šunu	<i>pron</i><br><ol><li>they (masculine plural subject pronoun)</li><li>those, these same (aforementioned masculine plural noun)</li></ol>
šuršum|šuršū|šuruš	<i>noun</i><br><ol><li>root</li><li>base, foundation</li></ol>
šuāti|kâti|šī|Assyrian|atti|at-ti|attina|kâšum|𒀜𒋾|niāti|niāšim|ayyâšim|šuāšim|šināšim|šū|yâšim|kināti|𒋗𒀀𒋾|šunu|šināti|ši-i|šuātu|𒅆𒄿|kâšim|𒀀𒈾𒆪|kâta|šunūšim|anāku|𒋗𒌑|šina|kināšim|atta|kunūti|šu-u₂|yâti|šâšim|šu-a-ti|attunu|šunūti|𒀜𒋫|at-ta|a-na-ku|šâtu|kunūšim|šâti|nīnu	<i>pron</i><br><ol><li>(accusative, genitive) him, her, it, to him, to her, to it</li><li>(accusative, genitive) that, the aforementioned</li></ol>
šārtum|𒊭𒅈𒋫𒀭|šārtīn|𒊭𒅈𒌓|šārtam|𒊭𒊏𒌈|𒊭𒅈𒋾𒅔|šārtim|𒊭𒊏𒀜|šārat|𒊭𒅈𒁴|𒊭𒊏𒁴|šārātum|šārātim|šārtān|𒊭𒅈𒌈	<i>noun</i><br><ol><li>a single hair</li><li>hair</li><li>fur</li><li>goat hair (as raw material)</li></ol>
šārum|šārātum|šārū	<i>noun</i><br><ol><li>wind</li><li>cardinal point, direction</li><li>breath</li><li>air, flatus, flatulence</li><li>(figuratively) emptiness, nothingness, lies, vanity, falsehood</li></ol>
šēdum|šēdū	<i>noun</i><br><ol><li>a šēdum protective deity (a male spirit or demon representing the individual's vital force)</li><li>luck</li></ol>
šēlebum|šēlebū	<i>noun</i><br><ol><li>fox</li><li>an unidentified star</li><li>a kind of fish</li><li>a kind of bird or locust</li></ol>
šēpum|šēp|šēpān|šēpi|šēpātum|šēpētum	<i>noun</i><br><ol><li>foot</li><li>leg</li><li>self, person</li><li>access, approach, attack</li><li>conveyance, transport, routing</li><li>rank</li><li>(extispicy) "foot" (a distinctive mark on the liver)</li></ol>
šērum	<i>noun</i><br><ol><li>morning star, dawn</li><li>morning</li></ol>
šī|𒅆𒄿|ši-i	<i>pron</i><br><ol><li>she (subject pronoun)</li><li>it (subject pronoun, referring to inanimate nouns of feminine gender)</li><li>that, this same (aforementioned feminine noun)</li></ol>
šīmtum|𒅆𒅎𒌈|𒅆𒈠𒌈|𒅆𒅎𒁴|šīmātim|𒅆𒅎𒌓|šīmtam|šīmat|𒅆𒅎𒋫𒀭|šīmtim|šīmti|šīmātum|𒅆𒅎𒋾𒅔|𒅆𒈠𒀜|𒅆𒈠𒁴|šīmtān|šīmtīn	<i>noun</i><br><ol><li>determined order, nature of things, divine decree</li><li>fate, destiny</li><li>(euphemistic) death</li><li>testament, will</li><li>original amount, principal</li></ol>
šīpātum	<i>noun</i><br><ol><li>wool, fleece</li></ol>
šīrum|šīr|šīri	<i>noun</i><br><ol><li>flesh</li><li>kin (one's own flesh and blood)</li><li>(extispicy) ominous part, ominous sign</li></ol>
šū|𒋗𒌑|šu-u₂	<i>pron</i><br><ol><li>he (subject pronoun)</li><li>it (subject pronoun, referring to inanimate nouns of masculine gender)</li><li>that, this same (aforementioned masculine noun)</li></ol>
šūmū	<i>noun</i><br><ol><li>garlic</li></ol>
šūru|𒋗𒌑𒊒|šu-u₂-ru	<i>noun</i><br><ol><li>Non-mimated form of šūrum</li></ol>
šūrum|šūrū	<i>noun</i><br><ol><li>bull</li></ol>
šūšum	<i>noun</i><br><ol><li>liquorice</li></ol>
ūmam|Assyrian	<i>adv</i><br><ol><li>today, on this day</li><li>for a day</li><li>(correlative) on one day... on another...</li></ol>
ūmum|ūmātum|ūmi|ūmū|ūm	<i>noun</i><br><ol><li>day, daytime (from sunrise to sunset)</li><li>day (from midnight to the following midnight)</li><li>(in the plural) period, time, lifetime</li></ol>
ūsum|ūsātum|ūsū	<i>noun</i><br><ol><li>duck; goose</li></ol>
ūṣum|ūṣū|Neo-Assyrian	<i>noun</i><br><ol><li>arrowhead</li><li>arrow</li></ol>
Ḫammurapi|𒄩𒄠𒈬𒊏𒁉|ḫa-am-mu-ra-pi₂	<i>name</i><br><ol><li>Hammurabi, the sixth king of Babylon</li></ol>
ḫalbum|ḫalbū	<i>noun</i><br><ol><li>forest</li></ol>
ḫalqum|ḫaliqtum|ḫalqūtum|ḫalqātum	<i>verb</i><br><ol><li>lost (object), missing (animal or person)</li><li>ruined (field)</li></ol>
