cakā́ra	<i>romanization</i><br><ol><li>Romanization of चकार</li></ol>
अखण्ड|akhaṇḍa	<i>adj</i><br><ol><li>not fragmentary, entire, whole</li></ol><br><i>noun</i><br><ol><li>time</li></ol>
अखिल|अखिलयोः|अखिला|अखिलाभ्याम्|a-stem|अखिला1|अखिलायाः|अखिलेन|अखिलायाम्|अखिलाम्|अखिलया|अखिलेभिः1|अखिलायै|akhila|अखिलानाम्|अखिलैः|अखिलेभ्यः|अखिलम्|अखिलाभ्यः|अखिलान्|अखिलासः1|ā-stem|अखिलाभिः|अखिलेषु|अखिलः|अखिलाः|अखिलाय|अखिलात्|अखिले|अखिलानि|अखिलौ|अखिलस्य|अखिलासु	<i>adj</i><br><ol><li>without a gap, complete, whole</li></ol>
अखिलेन|akhilena	<i>adv</i><br><ol><li>completely</li></ol>
अग|अगौ|अगाः|अगयोः|a-stem|अगैः|अगासः1|अगान्|अगे|अगः|अगम्|अगेभिः1|अगेन|अगेषु|अगाभ्याम्|aga|अगेभ्यः|अगाय|अगात्|अगानाम्|अगस्य	<i>adj</i><br><ol><li>unable to walk</li></ol><br><i>noun</i><br><ol><li>snake</li><li>the sun</li><li>water-jar</li><li>mountain</li><li>tree</li><li>the number seven</li></ol>
अगद|अगदैः|अगदेभ्यः|अगदात्|अगदाः|अगदे|अगदस्य|अगदौ|a-stem|अगदान्|अगदयोः|agada|अगदम्|अगदानाम्|अगदः|अगदाभ्याम्|अगदेषु|अगदाय|अगदेन	<i>adj</i><br><ol><li>free from disease, healthy</li><li>free from affliction</li></ol><br><i>noun</i><br><ol><li>freedom from disease</li><li>medicine, drug, (especially) antidote</li></ol>
अगम्य|agamya	<i>adj</i><br><ol><li>unfit to be walked in, or to be approached</li><li>not to be approached (sexually)</li><li>inaccessible</li><li>unattainable</li><li>unintelligible</li><li>unsuitable</li></ol>
अगम्यागमन|agamyāgamana	<i>noun</i><br><ol><li>illicit intercourse with a woman</li></ol>
अगरु|अगर्वः2|अगरुः|agaru|u-stem|अगरून्|अगर्वोः|अगरो|अगर्वा1|अगरुभ्यः|अगरुम्|अगरवः|अगरुभ्याम्|अगरू|अगरुभिः|अगरुणा|अगरौ|अगरुषु|अगरोः|अगरवे|अगर्वे2|अगरूणाम्	<i>noun</i><br><ol><li>agarwood</li></ol>
अगस्ति|अगस्तिभिः|अगस्तये|अगस्तीन्|agasti|अगस्तिभ्याम्|अगस्तिम्|अगस्ते|अगस्तिभ्यः|अगस्तिषु|अगस्ती|अगस्तयः|अगस्तिः|अगस्तिना|अगस्तीनाम्|अगस्त्योः|अगस्तेः|अगस्तौ|i-stem	<i>noun</i><br><ol><li>mountain</li><li>thrower</li><li>the star Canopus</li></ol>
अगस्त्य|āgastya	<i>noun</i><br><ol><li>the name of a saint</li><li>a tree</li><li>the star Canopus</li></ol>
अगाध|अगाधयोः|अगाधाभ्याम्|अगाधस्य|अगाधः|अगाधात्|अगाधेन|a-stem|अगाधाय|अगाधानाम्|अगाधे|अगाधम्|अगाधाः|अगाधान्|अगाधेभ्यः|agādha|अगाधौ|अगाधेषु|अगाधैः	<i>adj</i><br><ol><li>not shallow, deep, unfathomable</li></ol><br><i>noun</i><br><ol><li>hole, chasm</li></ol>
अगुण|अगुणेभ्यः|अगुणौ|अगुणस्य|अगुणे|अगुणाः|अगुणाभ्याम्|अगुणैः|अगुणात्|अगुणयोः|a-stem|अगुणेषु|अगुणाय|अगुणः|अगुणानाम्|aguṇa|अगुणेन|अगुणम्|अगुणान्	<i>adj</i><br><ol><li>destitute of qualities or attributes (said of the supreme Being)</li><li>destitute of good qualities</li></ol><br><i>noun</i><br><ol><li>fault</li></ol>
अगुरु|u-stem|अगुरुभिः|अगुरोः|अगुरुनोः|अगुरुना|अगुर्वोः|अगुरूनाम्|अगुरवे|अगुरो|अगुरुनि|अगुरौ|अगुरू|अगुरुभ्यः|aguru|अगुरून्|अगुरुः|अगुरुने|अगुरुम्|अगुरुभ्याम्|अगुरुषु|अगुरुनः|अगुरवः|अगुरुनी|अगुरूनि	<i>adj</i><br><ol><li>not heavy, light</li><li>(prosody) short as a short vowel alone or before a single consonant</li></ol><br><i>noun</i><br><ol><li>the fragrant aloe wood and tree, Aquilaria malaccensis</li></ol>
अगोह्य|अगोह्यैः|अगोह्यानाम्|a-stem|अगोह्यम्|अगोह्याय|अगोह्यान्|अगोह्यः|अगोह्यानि|अगोह्ये|अगोह्याभ्याम्|अगोह्ययोः|अगोह्याः|agohya|अगोह्येभ्यः|अगोह्यात्|अगोह्येषु|अगोह्यौ|अगोह्येन|अगोह्यस्य	<i>adj</i><br><ol><li>uncovered, bright</li></ol>
अग्नि|अग्नेः|अग्निम्|अग्निः|अग्नीन्|अग्निभ्याम्|अग्निभिः|अग्नौ|अग्नये|अग्न्योः|अग्निषु|agní|अग्न्ये2|अग्नी|अग्न्यः2|अग्नीनाम्|i-stem|अग्निना|अग्न्या1|अग्ने|अग्निभ्यः|अग्नयः	<i>name</i><br><ol><li>Agni, god of fire</li></ol><br><i>noun</i><br><ol><li>fire, sacrificial fire (of three kinds, गार्हपत्य (gārhapatya), आहवनीय (āhavanīya), and दक्षिण (dakṣiṇa))</li><li>the number three</li><li>the fire of the stomach, digestive faculty, gastric fluid</li><li>bile</li><li>gold</li><li>name of various plants; Semecarpus anacardium, Plumbago zeylanica, Plumbago indica, Citrus aurantifolia</li><li>mystical substitute for the letter r</li><li>in the कातन्त्र (kātantra) grammar, name of noun-stems ending in i and u</li></ol>
अग्निचित्|agnicit	<i>adj</i><br><ol><li>arranging the sacrificial fire, or one who has arranged it</li></ol>
अग्निपर्वत|अग्निपर्वतासः1|अग्निपर्वतम्|अग्निपर्वताः|a-stem|agniparvata|अग्निपर्वतस्य|अग्निपर्वतेभिः1|अग्निपर्वतात्|अग्निपर्वताभ्याम्|अग्निपर्वतैः|अग्निपर्वतः|अग्निपर्वते|अग्निपर्वतौ|अग्निपर्वतयोः|अग्निपर्वतेन|अग्निपर्वताय|अग्निपर्वतानाम्|अग्निपर्वतेषु|अग्निपर्वतान्|अग्निपर्वतेभ्यः	<i>noun</i><br><ol><li>volcano</li></ol>
अग्निष्टोम|अग्निष्टोमेभ्यः|अग्निष्टोमाभ्याम्|अग्निष्टोमाय|अग्निष्टोमात्|अग्निष्टोमानाम्|अग्निष्टोमेषु|अग्निष्टोमैः|अग्निष्टोमः|अग्निष्टोमाः|अग्निष्टोमे|अग्निष्टोमम्|अग्निष्टोमेन|a-stem|agniṣṭoma|अग्निष्टोमयोः|अग्निष्टोमान्|अग्निष्टोमौ|अग्निष्टोमस्य	<i>noun</i><br><ol><li>a ritual, variation of the ज्योतिष्टोम (jyotiṣṭoma), lasting for five days, conducted by 16 priests, in which soma is offered to the gods through the sacred fire</li><li>a mantra or kalpa connected to the agniṣṭoma</li></ol>
अग्निहोत्र|अग्निहोत्रान्|अग्निहोत्रेण|अग्निहोत्रात्|अग्निहोत्रः|a-stem|अग्निहोत्रेषु|अग्निहोत्राभ्यः|अग्निहोत्राणि|अग्निहोत्रस्य|अग्निहोत्रायै|अग्निहोत्रम्|agnihotra|अग्निहोत्राम्|अग्निहोत्रे|अग्निहोत्राः|अग्निहोत्रैः|अग्निहोत्रौ|अग्निहोत्रयोः|अग्निहोत्रेभ्यः|ā-stem|अग्निहोत्रया|अग्निहोत्रासु|अग्निहोत्रायाः|अग्निहोत्राय|अग्निहोत्राभिः|अग्निहोत्राणाम्|अग्निहोत्रा|अग्निहोत्राभ्याम्|अग्निहोत्रायाम्	<i>adj</i><br><ol><li>sacrificing to Agni</li></ol><br><i>noun</i><br><ol><li>a sacrifice to Agni (AV., etc.)</li><li>the sacred fire (Mn., Yāñj.)</li></ol>
अग्न्याधान|अग्न्याधानात्|agnyādhāna|अग्न्याधानेषु|अग्न्याधानयोः|a-stem|अग्न्याधानेभ्यः|अग्न्याधानानाम्|अग्न्याधाने|अग्न्याधानानि|अग्न्याधानेन|अग्न्याधानस्य|अग्न्याधानाय|अग्न्याधानैः|अग्न्याधानाभ्याम्|अग्न्याधानम्	<i>noun</i><br><ol><li>the placing of the fire on the altar (KaushBr.)</li><li>the ceremony of preparing the three sacred fires for oblation</li></ol>
