(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
jiermē|jier̯m̯ijstē|jier̯m̯ēstē|jier̯m̯ij|jiermēnē|jier̯m̯ēsnē|jiermās̯ën|jier̯m̯ijnë|jier̯m̯ēn|jier̯m̯ijtē|jier̯m̯ēptāk̯ëk|jier̯m̯ēk|jiermētē|jier̯m̯ijnē|jier̯m̯ēm	<i>noun</i><br><ol><li>intellect</li></ol>
jierēs	<i>adj</i><br><ol><li>reasonable, convinceable</li></ol>
jievjë	<i>noun</i><br><ol><li>white reindeer</li></ol>
jievčëtēk	<i>verb</i><br><ol><li>to imitate</li></ol>
jiečë	<i>pron</i><br><ol><li>self</li></ol>
jieŋsōs	<i>adj</i><br><ol><li>cold (of weather)</li></ol>
jieŋë|jieŋ̯ëj|jieŋ̯ëk|jieŋ̯ëstē|jieŋ̯ëjtē|jieŋ̯ën|jieŋëtē|jieŋ̯ëjstē|jieŋës̯ën|jieŋ̯ëptāk̯ëk|jieŋ̯ëjnë|jieŋënē|jieŋ̯ëm|jieŋ̯ëjnē|jieŋ̯ësnē	<i>noun</i><br><ol><li>ice</li></ol>
joarmē|joar̯m̯ijnë|joar̯m̯ijtē|joar̯m̯ēptāk̯ëk|joar̯m̯ēn|joar̯m̯ij|joar̯m̯ijnē|joar̯m̯ēsnē|joarmēnē|joar̯m̯ēk|joar̯m̯ēm|joar̯m̯ijstē|joarmās̯ën|joar̯m̯ēstē|joarmētē	<i>noun</i><br><ol><li>wrinkle</li></ol>
joatkētēk	<i>verb</i><br><ol><li>to continue</li></ol>
joavtō	
joksëtēk	<i>verb</i><br><ol><li>to reach</li></ol>
jokë|jok̯ëj|jok̯ëjnē|jok̯ëjnë|jok̯ëstē|jok̯ëm|jok̯ëk|jokënē|jok̯ëjtē|jok̯ëptāk̯ëk|jok̯ësnē|jokës̯ën|jokëtē|jok̯ëjstē|jok̯ën	<i>noun</i><br><ol><li>river, specifically the smaller ones, often creeks</li></ol>
jorkëlētēk	<i>verb</i><br><ol><li>to turn around</li></ol>
jorkēttētēk	
jorkōtēk	<i>verb</i><br><ol><li>to turn</li></ol>
jorpë	<i>adj</i><br><ol><li>round</li></ol>
jorëtēk	<i>verb</i><br><ol><li>to rotate</li></ol>
jotētēk	<i>verb</i><br><ol><li>to go, to move</li></ol>
joŋë|joŋ̯ën|joŋ̯ëptāk̯ëk|joŋës̯ën|joŋ̯ëj|joŋënē|joŋ̯ëm|joŋ̯ësnē|joŋëtē|joŋ̯ëk|joŋ̯ëjnē|joŋ̯ëjstē|joŋ̯ëjnë|joŋ̯ëjtē|joŋ̯ëstē	<i>noun</i><br><ol><li>lingonberry</li></ol>
jukëtēk	<i>verb</i><br><ol><li>to drink</li></ol>
juojkëtēk	<i>verb</i><br><ol><li>to yoik</li></ol>
juoksë|juok̯s̯ën|juok̯s̯ëm|juok̯s̯ëstē|juok̯s̯ësnē|juok̯s̯ëjnē|juok̯s̯ëjnë|juok̯s̯ëjtē|juoksëtē|juoksënē|juok̯s̯ëk|juoksës̯ën|juok̯s̯ëj|juok̯s̯ëptāk̯ëk|juok̯s̯ëjstē	<i>noun</i><br><ol><li>bow (weapon)</li></ol>
juokëntëtēk	
juokētēk	<i>verb</i><br><ol><li>to divide</li></ol>
juolkē|juol̯k̯ijnë|juol̯k̯ēptāk̯ëk|juolkētē|juolkēnē|juol̯k̯ēn|juolkās̯ën|juol̯k̯ij|juol̯k̯ēstē|juol̯k̯ijstē|juol̯k̯ēm|juol̯k̯ēsnē|juol̯k̯ēk|juol̯k̯ijnē|juol̯k̯ijtē	<i>noun</i><br><ol><li>foot</li></ol>
juolëtē	<i>adj</i><br><ol><li>wide, loose</li></ol>
juolē	<i>adj</i><br><ol><li>wide, loose</li></ol>
juomāńčë	<i>noun</i><br><ol><li>twin</li></ol>
juomē	<i>noun</i><br><ol><li>twin</li></ol>
juomō	<i>noun</i><br><ol><li>sorrel</li></ol>
juonë	<i>noun</i><br><ol><li>path</li></ol>
juorpōtēk	<i>verb</i><br><ol><li>to wobble</li></ol>
juovë|juov̯ëjnē|juov̯ëjstē|juov̯ëk|juov̯ëptāk̯ëk|juovëtē|juovënē|juov̯ëm|juovës̯ën|juov̯ëj|juov̯ëjnë|juov̯ëjtē|juov̯ësnē|juov̯ëstē|juov̯ën	<i>noun</i><br><ol><li>rock field, scree</li></ol>
juoŋëtēk	<i>verb</i><br><ol><li>to become leaky</li></ol>
jurtētēk	<i>verb</i><br><ol><li>to think</li></ol>
jusë	<i>noun</i><br><ol><li>fart</li></ol>
jëkē|jëk̯ēm|jëkētē|jëk̯ijnē|jëk̯ēstē|jëkās̯ën|jëk̯ijstē|jëk̯ēsnē|jëk̯ij|jëk̯ijtē|jëk̯ēptāk̯ëk|jëk̯ēn|jëkēnē|jëk̯ēk|jëk̯ijnë	<i>noun</i><br><ol><li>year</li></ol>
jëlkkāšëtēk	<i>verb</i><br><ol><li>to lie stretched</li></ol>
jëlkë	<i>adj</i><br><ol><li>flat, level</li></ol>
jëlkëtē	<i>adj</i><br><ol><li>flat, level</li></ol>
jëllë|jëllës	<i>adj</i><br><ol><li>crazy, mad</li></ol>
jëlŋēs|jëlŋās̯ëm|jëlŋās̯ëptāk̯ëk|jëlŋās̯ën|jëlŋās̯ëj|jël̯ŋ̯ēsnē|jëlŋās̯ësnē|jël̯ŋ̯ās̯s̯ën|jëlŋās̯ëjstē|jëlŋās̯ëjnë|jël̯ŋ̯ēs|jëlŋās̯ëk|jëlŋās̯ëstē|jëlŋās̯ëjnē|jëlŋās̯ëjtē|jël̯ŋ̯ēstē	<i>noun</i><br><ol><li>tree stump</li></ol>
jërŋë|jër̯ŋ̯ësnē|jër̯ŋ̯ëptāk̯ëk|jër̯ŋ̯ëm|jërŋës̯ën|jër̯ŋ̯ëjnē|jër̯ŋ̯ëstē|jërŋëtē|jër̯ŋ̯ëjtē|jër̯ŋ̯ëk|jër̯ŋ̯ëjstē|jër̯ŋ̯ëj|jërŋënē|jër̯ŋ̯ëjnë|jër̯ŋ̯ën	<i>noun</i><br><ol><li>open water</li></ol>
jëskë	<i>adj</i><br><ol><li>quiet</li></ol>
jëskëtē	<i>adj</i><br><ol><li>quiet</li></ol>
jëŋëtēk	<i>verb</i><br><ol><li>to dry</li></ol>
jākkētēk	<i>verb</i><br><ol><li>to believe</li></ol>
jāmētēk	<i>verb</i><br><ol><li>to die</li></ol>
jāvkkëtēk	<i>verb</i><br><ol><li>to disappear</li></ol>
jāvrē|jāv̯r̯ēm|jāv̯r̯ijnē|jāv̯r̯ij|jāvrētē|jāv̯r̯ēsnē|jāv̯r̯ijnë|jāv̯r̯ēn|jāvrēnē|jāv̯r̯ēstē|jāvrās̯ën|jāv̯r̯ēptāk̯ëk|jāv̯r̯ijtē|jāv̯r̯ijstē|jāv̯r̯ēk	<i>noun</i><br><ol><li>lake</li></ol>
keajnō|keaj̯n̯ōjnē|keajnōnē|keaj̯n̯ōjtē|keajnōtē|keaj̯n̯ōm|keaj̯n̯ōstē|keaj̯n̯ujnë|keaj̯n̯ōj|keaj̯n̯ōsnē|keaj̯n̯ōjstē|keaj̯n̯ōn|keajnus̯ën|keaj̯n̯ōk|keaj̯n̯ōptāk̯ëk	<i>noun</i><br><ol><li>way, road</li><li>method, means</li></ol>
kealtētēk	<i>verb</i><br><ol><li>to bend</li></ol>
kearkëtēk	<i>verb</i><br><ol><li>to be on time</li></ol>
keasē|keas̯ijnë|keasās̯ën|keas̯ēn|keas̯ijtē|keas̯ijnē|keas̯ēstē|keasētē|keas̯ijstē|keas̯ēptāk̯ëk|keas̯ēsnē|keas̯ēm|keas̯ēk|keas̯ij|keasēnē	<i>noun</i><br><ol><li>summer</li></ol>
keasētēk	<i>verb</i><br><ol><li>to pull</li></ol>
keatkē|keat̯k̯ēstē|keatkēnē|keat̯k̯ijtē|keat̯k̯ij|keat̯k̯ēsnē|keat̯k̯ēk|keat̯k̯ijnē|keat̯k̯ijstē|keat̯k̯ijnë|keatkētē|keat̯k̯ēptāk̯ëk|keat̯k̯ēm|keatkās̯ën|keat̯k̯ēn	<i>noun</i><br><ol><li>wolverine</li></ol>
keaččëstētēk	<i>verb</i><br><ol><li>to look quickly</li></ol>
keaččëtēk	<i>verb</i><br><ol><li>to look</li></ol>
keačē|keač̯ijtē|keač̯ēptāk̯ëk|keačās̯ën|keač̯ijnē|keačētē|keač̯ēn|keačēnē|keač̯ij|keač̯ēsnē|keač̯ijstē|keač̯ēk|keač̯ijnë|keač̯ēm|keač̯ēstē	<i>noun</i><br><ol><li>tip, end</li></ol>
keaδkē|keaδkās̯ën|keaδ̯k̯ēstē|keaδ̯k̯ēk|keaδ̯k̯ēn|keaδ̯k̯ēsnē|keaδ̯k̯ēptāk̯ëk|keaδ̯k̯ijnē|keaδ̯k̯ijnë|keaδ̯k̯ijstē|keaδ̯k̯ēm|keaδkēnē|keaδ̯k̯ij|keaδkētē|keaδ̯k̯ijtē	<i>noun</i><br><ol><li>rock, stone</li></ol>
kiekë|kiekënē|kiek̯ëptāk̯ëk|kiek̯ëjtē|kiek̯ëjnē|kiek̯ëk|kiek̯ëj|kiek̯ëstē|kiek̯ëjnë|kiek̯ësnē|kiek̯ëjstē|kiek̯ën|kiekëtē|kiekës̯ën|kiek̯ëm	<i>noun</i><br><ol><li>cuckoo</li></ol>
kielë|kiel̯ëjnē|kiel̯ëptāk̯ëk|kiel̯ëjtē|kielënē|kiel̯ëstē|kiel̯ëjnë|kiel̯ën|kiel̯ësnē|kiel̯ëjstē|kielëtē|kielës̯ën|kiel̯ëk|kiel̯ëm|kiel̯ëj	<i>noun</i><br><ol><li>tongue</li><li>language</li></ol>
kiemnē|kiem̯n̯ijtē|kiemnās̯ën|kiem̯n̯ij|kiem̯n̯ēn|kiem̯n̯ijnē|kiemnēnē|kiem̯n̯ēsnē|kiem̯n̯ēm|kiem̯n̯ijnë|kiemnētē|kiem̯n̯ēstē|kiem̯n̯ēptāk̯ëk|kiem̯n̯ēk|kiem̯n̯ijstē	<i>noun</i><br><ol><li>kettle</li></ol>
kiemërtētēk	<i>verb</i><br><ol><li>to bundle, to tie together</li></ol>
kientē|kien̯t̯ēstē|kien̯t̯ijtē|kientētē|kien̯t̯ēn|kien̯t̯ijnē|kien̯t̯ēsnē|kientās̯ën|kientēnē|kien̯t̯ij|kien̯t̯ēptāk̯ëk|kien̯t̯ijstē|kien̯t̯ēk|kien̯t̯ēm|kien̯t̯ijnë	<i>noun</i><br><ol><li>meadow, field</li></ol>
kiepë|kiep̯ëjtē|kiep̯ëptāk̯ëk|kiepënē|kiep̯ën|kiep̯ëjstē|kiep̯ëk|kiep̯ëj|kiep̯ëstē|kiepës̯ën|kiep̯ëjnē|kiep̯ëjnë|kiep̯ësnē|kiepëtē|kiep̯ëm	<i>noun</i><br><ol><li>soot</li></ol>
kiertëtēk	<i>verb</i><br><ol><li>to suffer</li></ol>
kierōn|kierun̯ëjnē|kierun̯ëptāk̯ëk|kierun̯ëk|kierun̯ëjtē|kier̯un̯s̯ën|kier̯ōnnē|kierun̯ëstē|kierun̯ësnē|kierun̯ëjstē|kierun̯ëjnë|kierun̯ëj|kierun̯ën|kierun̯ëm|kier̯ōntē|kier̯ōn	<i>noun</i><br><ol><li>ptarmigan</li></ol>
kiesëtēk	<i>verb</i><br><ol><li>to wrap up</li></ol>
kietë|kietënē|kiet̯ën|kietëtē|kiet̯ëjstē|kiet̯ëjnē|kiet̯ëptāk̯ëk|kiet̯ëm|kietës̯ën|kiet̯ëjnë|kiet̯ëjtē|kiet̯ëk|kiet̯ëj|kiet̯ësnē|kiet̯ëstē	<i>noun</i><br><ol><li>hand</li></ol>
kijsā	
kijttētēk	<i>verb</i><br><ol><li>to thank</li></ol>
kiksë	<i>noun</i><br><ol><li>larva</li></ol>
kiktētēk	<i>verb</i><br><ol><li>to incite, to stir up</li></ol>
kikëtēk	<i>verb</i><br><ol><li>to lek</li></ol>
kiljōtēk	<i>verb</i><br><ol><li>to scream</li></ol>
kilkëtē	<i>adj</i><br><ol><li>pale</li></ol>
killëtēk	<i>verb</i><br><ol><li>to endure</li></ol>
kilāsëtēk	<i>verb</i><br><ol><li>to chafe open (of skin)</li></ol>
kimē	<i>noun</i><br><ol><li>rut</li></ol>
kintëk	<i>adv</i><br><ol><li>fastened, closed</li></ol>
kinël	<i>noun</i><br><ol><li>skin on a reindeer's lower jaw</li></ol>
kiptë	<i>noun</i><br><ol><li>sinker (weight used in fishing)</li></ol>
kirjē	<i>noun</i><br><ol><li>spot, speck</li><li>book</li></ol>
kirtētēk	<i>verb</i><br><ol><li>to fly</li></ol>
kistā	<i>noun</i><br><ol><li>glove</li></ol>
kiδë|kiδ̯ëj|kiδ̯ëk|kiδënē|kiδ̯ëptāk̯ëk|kiδ̯ëstē|kiδës̯ën|kiδ̯ëjstē|kiδ̯ën|kiδ̯ëjnē|kiδ̯ëjnë|kiδëtē|kiδ̯ësnē|kiδ̯ëm|kiδ̯ëjtē	<i>noun</i><br><ol><li>spring (season)</li></ol>
koackēmē	<i>noun</i><br><ol><li>eagle</li></ol>
koacëtēk	<i>verb</i><br><ol><li>to guide</li><li>to brake</li></ol>
koajvōtēk	<i>verb</i><br><ol><li>to dig</li></ol>
koalsē	<i>noun</i><br><ol><li>merganser</li></ol>
koalōtēk	<i>verb</i><br><ol><li>to freeze, to be freezing</li></ol>
koarjōtēk	
koartētēk	<i>verb</i><br><ol><li>to roast</li></ol>
koarëtē	<i>adj</i><br><ol><li>proud</li></ol>
koarŋōtēk	<i>verb</i><br><ol><li>to climb</li></ol>
koarōtēk	<i>verb</i><br><ol><li>to sew</li></ol>
koaskē|koas̯k̯ijnē|koaskētē|koas̯k̯ij|koas̯k̯ijstē|koas̯k̯ēk|koas̯k̯ēn|koas̯k̯ēstē|koas̯k̯ēsnē|koas̯k̯ēptāk̯ëk|koas̯k̯ēm|koaskēnē|koas̯k̯ijtē|koas̯k̯ijnë|koaskās̯ën	<i>noun</i><br><ol><li>a maternal aunt older than one's mother</li></ol>
koatē|koatētē|koat̯ēsnē|koat̯ijstē|koat̯ēptāk̯ëk|koat̯ijtē|koat̯ijnē|koatās̯ën|koat̯ēstē|koat̯ij|koat̯ēn|koat̯ijnë|koat̯ēm|koatēnē|koat̯ēk	<i>noun</i><br><ol><li>tent, hut</li></ol>
koaškōtēk	<i>verb</i><br><ol><li>to drip</li></ol>
kocētēk	<i>verb</i><br><ol><li>to wake, to stay awake</li></ol>
koklōtēk	<i>verb</i><br><ol><li>to gag</li></ol>
kolkëtēk	<i>verb</i><br><ol><li>to flow</li></ol>
kolkëtētēk	
kollē	<i>noun</i><br><ol><li>gold</li></ol>
kolmë	<i>num</i><br><ol><li>three</li></ol>
kolēs	<i>noun</i><br><ol><li>giant pike</li></ol>
komērtētēk	
kontētēk	<i>verb</i><br><ol><li>to kill</li></ol>
konëŋkēs|kon̯ëŋ̯k̯ēsk|kon̯ëŋ̯k̯ēsptāk̯ëk|kon̯ëŋ̯k̯ēs|kon̯ëŋ̯k̯ēsm|kon̯ëŋ̯k̯ēsjnē|kon̯ëŋ̯k̯ēsjtē|kon̯ëŋ̯k̯ēsnē|kon̯ëŋ̯k̯ēsj|kon̯ëŋ̯k̯ēsn|kon̯ëŋ̯k̯ēssnē|kon̯ëŋ̯k̯ēsjstē|kon̯ëŋ̯k̯ēsjnë|kon̯ëŋ̯k̯ēsstē|kon̯ëŋ̯k̯ēs̯s̯ën|kon̯ëŋ̯k̯ēstē	<i>noun</i><br><ol><li>king</li></ol>
kopčëtēk	<i>verb</i><br><ol><li>to cover up</li><li>to clean</li></ol>
kopē|kop̯ēm|kop̯ēk|kop̯ij|kopās̯ën|kop̯ēptāk̯ëk|kop̯ēn|kop̯ijstē|kop̯ijtē|kop̯ijnē|kop̯ēstē|kop̯ēsnē|kopētē|kopēnē|kop̯ijnë	<i>noun</i><br><ol><li>pit</li></ol>
kopδōtēk	<i>verb</i><br><ol><li>to float</li></ol>
korëtēk	<i>verb</i><br><ol><li>to bind, to tie</li></ol>
kosëtēk	<i>verb</i><br><ol><li>to cough</li></ol>
kotkë|kot̯k̯ëm|kot̯k̯ësnē|kotkëtē|kot̯k̯ëstē|kot̯k̯ëjnë|kot̯k̯ëk|kot̯k̯ëjtē|kot̯k̯ëjstē|kotkës̯ën|kot̯k̯ën|kotkënē|kot̯k̯ëptāk̯ëk|kot̯k̯ëj|kot̯k̯ëjnē	<i>noun</i><br><ol><li>ant</li></ol>
koččuntëtēk	
koččōtēk	<i>verb</i><br><ol><li>to call</li></ol>
kočōj	<i>noun</i><br><ol><li>soot</li></ol>
końčë|koń̯č̯ëstē|końčës̯ën|koń̯č̯ëjnë|koń̯č̯ën|końčënē|koń̯č̯ëj|koń̯č̯ësnē|koń̯č̯ëm|koń̯č̯ëjstē|koń̯č̯ëjnē|koń̯č̯ëk|koń̯č̯ëptāk̯ëk|końčëtē|koń̯č̯ëjtē	<i>noun</i><br><ol><li>urine</li></ol>
koδëtēk	<i>verb</i><br><ol><li>to spawn</li></ol>
koδētēk	<i>verb</i><br><ol><li>to weave</li></ol>
kukkē|kukkēs	<i>adj</i><br><ol><li>long</li></ol>
kultëlëtēk	<i>verb</i><br><ol><li>to listen</li></ol>
kulujëtēk	<i>verb</i><br><ol><li>to be heard</li></ol>
kulëtēk	<i>verb</i><br><ol><li>to hear</li></ol>
kunë|kun̯ëk|kunënē|kunës̯ën|kun̯ësnē|kun̯ëjnë|kun̯ëjtē|kun̯ëjstē|kun̯ëj|kun̯ën|kunëtē|kun̯ëjnē|kun̯ëm|kun̯ëstē|kun̯ëptāk̯ëk	<i>noun</i><br><ol><li>ash (residue from burning)</li></ol>
kuoccëk	<i>adj</i><br><ol><li>rotten</li></ol>
kuojmē|kuojmēnē|kuoj̯m̯ēsnē|kuoj̯m̯ēm|kuoj̯m̯ijnē|kuoj̯m̯ijtē|kuoj̯m̯ijnë|kuoj̯m̯ijstē|kuojmās̯ën|kuoj̯m̯ēn|kuoj̯m̯ēstē|kuoj̯m̯ēk|kuojmētē|kuoj̯m̯ēptāk̯ëk|kuoj̯m̯ij	<i>noun</i><br><ol><li>partner</li></ol>
kuojë|kuoj̯ën|kuoj̯ëptāk̯ëk|kuojëtē|kuoj̯ëjstē|kuoj̯ëjtē|kuoj̯ëk|kuojënē|kuoj̯ëm|kuoj̯ëj|kuoj̯ëjnë|kuoj̯ësnē|kuojës̯ën|kuoj̯ëjnē|kuoj̯ëstē	<i>noun</i><br><ol><li>sedge</li></ol>
kuoksëŋkē	<i>noun</i><br><ol><li>Siberian jay (Perisoreus infaustus)</li></ol>
kuoksōj	<i>noun</i><br><ol><li>dawn</li></ol>
kuoktē	<i>num</i><br><ol><li>two</li></ol>
kuolë|kuol̯ësnē|kuolës̯ën|kuol̯ëjtē|kuol̯ëk|kuol̯ëptāk̯ëk|kuol̯ëjnë|kuol̯ën|kuol̯ëm|kuol̯ëstē|kuolëtē|kuol̯ëj|kuol̯ëjnē|kuolënē|kuol̯ëjstē	<i>noun</i><br><ol><li>testicle</li></ol>
kuolē|kuol̯ijstē|kuolētē|kuol̯ijtē|kuol̯ēm|kuolēnē|kuol̯ēn|kuol̯ijnë|kuol̯ēstē|kuolās̯ën|kuol̯ēsnē|kuol̯ij|kuol̯ēk|kuol̯ēptāk̯ëk|kuol̯ijnē	<i>noun</i><br><ol><li>fish</li></ol>
kuomē|kuom̯ēsnē|kuom̯ēk|kuom̯ijnē|kuomēnē|kuomās̯ën|kuom̯ijstē|kuom̯ēstē|kuom̯ijnë|kuom̯ēptāk̯ëk|kuom̯ijtē|kuom̯ēn|kuomētē|kuom̯ēm|kuom̯ij	<i>noun</i><br><ol><li>palate</li></ol>
kuomōj	<i>noun</i><br><ol><li>stomach contents</li></ol>
kuontētēk	<i>verb</i><br><ol><li>to carry</li></ol>
kuontōj	<i>noun</i><br><ol><li>tree stump</li></ol>
kuorkë|kuorkënē|kuor̯k̯ëk|kuor̯k̯ëjnë|kuor̯k̯ëjtē|kuor̯k̯ëj|kuor̯k̯ësnē|kuorkës̯ën|kuor̯k̯ëptāk̯ëk|kuor̯k̯ën|kuor̯k̯ëm|kuor̯k̯ëstē|kuor̯k̯ëjnē|kuor̯k̯ëjstē|kuorkëtē	<i>noun</i><br><ol><li>crane (bird)</li></ol>
kuorōs	<i>adj</i><br><ol><li>empty</li></ol>
kuossē|kuos̯s̯ijnë|kuossēnē|kuos̯s̯ēsnē|kuossētē|kuos̯s̯ēn|kuos̯s̯ēstē|kuos̯s̯ijstē|kuos̯s̯ijtē|kuos̯s̯ijnē|kuos̯s̯ēk|kuos̯s̯ij|kuos̯s̯ēptāk̯ëk|kuos̯s̯ēm|kuossās̯ën	<i>noun</i><br><ol><li>guest</li></ol>
kuosë|kuos̯ëjtē|kuos̯ëptāk̯ëk|kuos̯ëj|kuos̯ën|kuos̯ëjstē|kuos̯ëjnē|kuos̯ëm|kuosënē|kuos̯ësnē|kuos̯ëstē|kuosës̯ën|kuos̯ëk|kuosëtē|kuos̯ëjnë	<i>noun</i><br><ol><li>spruce</li></ol>
kuosŋëtēk	<i>verb</i><br><ol><li>to touch</li></ol>
kuovlëtēk	<i>verb</i><br><ol><li>to peek</li></ol>
kuovtē|kuov̯t̯ēstē|kuov̯t̯ijstē|kuov̯t̯ijnē|kuov̯t̯ēn|kuov̯t̯ij|kuov̯t̯ēsnē|kuov̯t̯ēk|kuov̯t̯ijnë|kuov̯t̯ijtē|kuovtēnē|kuovtās̯ën|kuovtētē|kuov̯t̯ēptāk̯ëk|kuov̯t̯ēm	<i>noun</i><br><ol><li>snake</li></ol>
kuovčōrē	<i>noun</i><br><ol><li>trout</li></ol>
kuoškë|kuoš̯k̯ëjstē|kuoš̯k̯ëjtē|kuoš̯k̯ëptāk̯ëk|kuoš̯k̯ën|kuoš̯k̯ësnē|kuoš̯k̯ëm|kuoš̯k̯ëstē|kuoškës̯ën|kuoš̯k̯ëjnë|kuoš̯k̯ëj|kuoškënē|kuoškëtē|kuoš̯k̯ëk|kuoš̯k̯ëjnē	<i>noun</i><br><ol><li>rapids</li></ol>
kuoδētēk	<i>verb</i><br><ol><li>to leave, to leave behind</li></ol>
kurttē|kur̯t̯t̯ij|kur̯t̯t̯ēk|kur̯t̯t̯ijnē|kurttās̯ën|kur̯t̯t̯ijnë|kur̯t̯t̯ijstē|kur̯t̯t̯ijtē|kur̯t̯t̯ēsnē|kur̯t̯t̯ēptāk̯ëk|kurttētē|kur̯t̯t̯ēstē|kur̯t̯t̯ēm|kur̯t̯t̯ēn|kurttēnē	<i>noun</i><br><ol><li>loon</li></ol>
kurë	<i>noun</i><br><ol><li>cleft</li></ol>
kusë|kus̯ëptāk̯ëk|kus̯ëjnē|kus̯ëjtē|kusënē|kus̯ëstē|kus̯ën|kus̯ëm|kusëtē|kus̯ësnē|kus̯ëjstē|kus̯ëjnë|kus̯ëj|kusës̯ën|kus̯ëk	<i>noun</i><br><ol><li>cow</li></ol>
kuttë	<i>num</i><br><ol><li>six</li></ol>
kutë	<i>noun</i><br><ol><li>fish sausage</li></ol>
kutëntë	<i>adj</i><br><ol><li>sixth</li></ol>
kuvčā	<i>noun</i><br><ol><li>trout</li></ol>
këckëtēk	<i>verb</i><br><ol><li>to drown</li><li>to suffocate</li></ol>
këckētēk	<i>verb</i><br><ol><li>to pluck</li></ol>
këcōtēk	<i>verb</i><br><ol><li>to hang</li></ol>
këljē	<i>adj</i><br><ol><li>wide</li></ol>
këlkëtēk	<i>verb</i><br><ol><li>to have to, must</li></ol>
këllē	<i>adj</i><br><ol><li>much</li></ol>
këlmujëtēk	<i>verb</i><br><ol><li>to freeze into ice</li></ol>
këlmētēk	<i>verb</i><br><ol><li>to be cold</li></ol>
këlpë	<i>noun</i><br><ol><li>plate in a reindeer horn</li></ol>
këltë	<i>noun</i><br><ol><li>log</li></ol>
këlëjëtēk	<i>verb</i><br><ol><li>to visit</li></ol>
këncë|kën̯c̯ëjnë|kën̯c̯ëjtē|kën̯c̯ësnē|këncës̯ën|kën̯c̯ëjstē|kën̯c̯ëk|këncëtē|këncënē|kën̯c̯ëm|kën̯c̯ën|kën̯c̯ëjnē|kën̯c̯ëstē|kën̯c̯ëptāk̯ëk|kën̯c̯ëj	<i>noun</i><br><ol><li>nail</li><li>claw</li></ol>
këntër	<i>noun</i><br><ol><li>hock</li></ol>
kënë|kënënē|kën̯ëj|kënëtē|kën̯ëjnē|kën̯ësnē|kën̯ëjstē|kën̯ëjnë|kën̯ëk|kën̯ëptāk̯ëk|kën̯ëm|kën̯ën|kën̯ëstē|kën̯ëjtē|kënës̯ën	<i>noun</i><br><ol><li>dandruff</li><li>lichen</li></ol>
këpjë|këp̯j̯ëjstē|këp̯j̯ëk|këpjënē|këpjës̯ën|këp̯j̯ëm|këp̯j̯ëj|këp̯j̯ëstē|këpjëtē|këp̯j̯ëjnë|këp̯j̯ëptāk̯ëk|këp̯j̯ësnē|këp̯j̯ëjtē|këp̯j̯ën|këp̯j̯ëjnē	<i>noun</i><br><ol><li>dust</li></ol>
këppëtēk	<i>verb</i><br><ol><li>to jump around</li></ol>
këpērē	<i>noun</i><br><ol><li>hat</li></ol>
kërccë|kërccënē|kër̯c̯c̯ëk|kër̯c̯c̯ëjnë|kër̯c̯c̯ëm|kër̯c̯c̯ëj|kër̯c̯c̯ëjstē|kërccës̯ën|kër̯c̯c̯ëptāk̯ëk|kër̯c̯c̯ëstē|kërccëtē|kër̯c̯c̯ëjtē|kër̯c̯c̯ësnē|kër̯c̯c̯ën|kër̯c̯c̯ëjnē	<i>noun</i><br><ol><li>strap</li></ol>
kërttëtēk	<i>verb</i><br><ol><li>to tie</li></ol>
kërvētēk	<i>verb</i><br><ol><li>to give way</li></ol>
kërë	<i>noun</i><br><ol><li>rind</li></ol>
kërës	<i>noun</i><br><ol><li>esophagus</li></ol><br><i>adj</i><br><ol><li>hard</li></ol>
kërēstētēk	
kërńēlē	<i>noun</i><br><ol><li>elbow</li></ol>
kërōtēk	<i>verb</i><br><ol><li>to curse</li></ol>
këskë|kës̯k̯ëstē|kës̯k̯ëptāk̯ëk|kës̯k̯ën|kës̯k̯ëj|këskës̯ën|këskëtē|kës̯k̯ëjnë|kës̯k̯ëjtē|këskënē|kës̯k̯ëjstē|kës̯k̯ësnē|kës̯k̯ëm|kës̯k̯ëk|kës̯k̯ëjnē	<i>noun</i><br><ol><li>middle, center</li></ol>
këskëtēk	<i>verb</i><br><ol><li>to ignite with flint</li></ol>
kësnētēk	<i>verb</i><br><ol><li>to sneeze</li></ol>
kësē	<i>adj</i><br><ol><li>thick</li></ol>
kësŋës	<i>noun</i><br><ol><li>juniper</li></ol>
këčëtēk	<i>verb</i><br><ol><li>to ask</li></ol>
këččëtēk	<i>verb</i><br><ol><li>to fall</li></ol>
këńël|këńël̯ëjtē|këńël̯ëm|këńël̯ësnē|këńël̯ëptāk̯ëk|këńël̯ëjnë|këńël̯ëk|këńël̯ëstē|këńël̯ëjstē|këń̯ëltē|këń̯ëlnē|këńël̯ëj|këń̯ël|këń̯ël̯s̯ën|këńël̯ëjnē|këńël̯ën	<i>noun</i><br><ol><li>tear (eye liquid)</li></ol>
këškōtēk	<i>verb</i><br><ol><li>to pull</li><li>to strip</li></ol>
kāckētēk	<i>verb</i><br><ol><li>to bite</li></ol>
